model,hidden_size,num_layers,dropout,learning_rate,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
e30_h2_l1_d0.0_r0.001,2,1,0.0,0.001,1.716834574653705,1.263800014843543,1.120865939278735,1.030597763372792,0.9679172939432992,0.9190416927460168,0.8798517170025243,0.8473775991219613,0.8164283233770065,0.7809404556231366,0.7488441720631388,0.7231866461147864,0.6946366363469098,0.6676784710629119,0.6396107242423628,0.610259246756716,0.5829824438144763,0.558519007450011,0.538460012719863,0.4988866745767494,0.4490999816631277,0.4265294782303687,0.4092843001081712,0.3942185446045672,0.3813353270697718,0.3695243147171619,0.3581867404465046,0.3473487325773471,0.3372498671104096,0.3265818275348386,1.714646116912365,1.5014705105543136,1.3561816394388675,1.2695048777759077,1.195853281915188,1.141636896839738,1.0950927263319492,1.0472176921099423,1.0145094111442563,0.9604720596164464,0.9198009409159422,0.8831842568814754,0.8544346902102232,0.8213849858820438,0.793072441674769,0.7724650180727244,0.7426654107183218,0.713872598490119,0.6946180295228959,0.6335423937395215,0.5993351956501604,0.5841914224922657,0.5587113363526761,0.5357147005334496,0.523074291896075,0.5062952917352319,0.4996227269530296,0.478914998890087,0.4636864781275391,0.4493315844893455
e30_h2_l1_d0.2_r0.001,2,1,0.2,0.001,2.216484098743068,1.8942640813324187,1.831393933766418,1.7955608253002169,1.771329283662637,1.7572956532027986,1.7328898640327983,1.7194387977831893,1.7080937894688712,1.695036870107386,1.681895026855999,1.6691419487615426,1.6538621950725714,1.6411909417255055,1.632810877882772,1.6252762651542825,1.6185575114574695,1.6109926608783502,1.6055796720194733,1.5977315521094535,1.594229550462361,1.589933799261517,1.5834416452447573,1.579608631025296,1.5754194308935767,1.5740876017581258,1.5687577816554656,1.5647552411443657,1.556580428002899,1.554338500503699,2.271122699284553,2.156139506578445,2.1029497816085816,2.0772487927913668,2.0605125782489777,2.042463685107231,2.0223238628268243,1.999399525702,2.023298512113094,2.01035074454546,2.0076990553855896,2.013770211660862,2.0237007511377336,2.0293000239014627,2.031751773701608,2.042563832076639,2.082750673945248,2.0684392123345288,2.0710022706564515,2.139165071196482,2.1368662238165737,2.1308544715654105,2.1799727288886905,2.19809308262188,2.171109174601733,2.218054974471219,2.2530372712854296,2.260871846715361,2.260901180306264,2.3071566239364447
e30_h2_l2_d0.2_r0.001,2,2,0.2,0.001,2.296143345137437,2.006216910258929,1.9399779084583124,1.9029820997781224,1.8585065022945404,1.778366021889117,1.7346921567353109,1.7083239837542177,1.6869452028585803,1.672876978742414,1.6617221504402655,1.6589225145063466,1.6503454340745178,1.637983551833199,1.6297818824261427,1.619134678789394,1.6161835033521883,1.6139312237484174,1.6106572489857671,1.606827315415028,1.6027127953458578,1.603552338277797,1.5987555236703612,1.6005468914778282,1.5952086744987923,1.5958918070954582,1.5919688713537117,1.5892514285959096,1.5864538977748404,1.5887113238898003,2.375429473733902,2.2307393882989883,2.181208032464981,2.139604203414917,2.0773065900444982,2.0061634276270865,1.957435607385636,1.95100498033762,1.913878484249115,1.884663863158226,1.862020473730564,1.843728097951412,1.8386674734830857,1.81958929489851,1.9012442915439605,1.8076628824830048,1.800658223092556,1.7957887438714504,1.84033455028534,1.8123000714182853,1.8275123851776125,1.784235463398695,1.7696427905201912,1.760229460132122,1.7799550451099873,1.7630266296803951,1.8250147910118104,1.801609220200777,1.855975524365902,1.753627916240692
e30_h2_l1_d0.1_r0.001,2,1,0.1,0.001,1.9704960916499297,1.6309285143706531,1.556330095010996,1.490147137032615,1.4389690027770068,1.4089717480954196,1.3829165161725547,1.348150226193832,1.3141383829557234,1.292827399796744,1.2693308712992404,1.2537499027571744,1.2460727498595914,1.2328349027653536,1.2206183462553557,1.2130044036439724,1.209620083778269,1.1831191585817271,1.167643901120623,1.1585799178310567,1.153093557282289,1.144570270389815,1.14389994737092,1.1336016629830004,1.116678953221606,1.1053263516609868,1.0989018837475115,1.093865035843187,1.091071725336214,1.0856342388767335,2.0191998965501785,1.9319809262990952,1.851494956469536,1.7981390900850296,1.7221157959461213,1.7267022255063056,1.6609026749014857,1.6472087995648383,1.6376819152474404,1.6611068293213844,1.652870048737526,1.6390602002263068,1.6840578323483466,1.6460504108130931,1.5930714256107807,1.6011546814739703,1.6057085415840149,1.7044498744010923,1.662090230834484,1.6313556295633316,1.5727217283070087,1.6491874810397624,1.5816790795207023,1.6158660829782483,1.596901671516895,1.6014149788081646,1.6365686166405675,1.6134281669020654,1.6321171654641629,1.59483076403141
e30_h2_l2_d0.0_r0.001,2,2,0.0,0.001,1.9734846752749549,1.6126682313303151,1.5106711929599443,1.4405957750227716,1.3880645533574951,1.3475949095845223,1.3161749094029267,1.2906375467525588,1.269213725317849,1.2504417508830628,1.233667441031668,1.218938894735773,1.2056867309192816,1.1936710066732432,1.1791697775503,1.1567747835593092,1.1403379464613066,1.1232827527734968,1.1095196134401693,1.0968503246221275,1.079939610527621,1.0647108848200904,1.0519732465561893,1.040671941420436,1.0301544499003226,1.0205137091378371,1.0111583553542691,1.0022582744707664,0.9935609480579696,0.9792038686614898,2.0771950096845626,1.9212560321211816,1.831970621752739,1.7465093378424643,1.7099105323433876,1.6706128888368608,1.6357340789079666,1.609730050265789,1.5874462692081928,1.5621325432777404,1.542259103667736,1.5269400040507315,1.516895784342289,1.4961483840286731,1.4875727132856846,1.4783103913128377,1.4541398337602616,1.4396189527571202,1.4223961206555369,1.3992015766620636,1.3841058784484863,1.3758484657466412,1.3440722394943236,1.335417720723152,1.317711214697361,1.3152777085661889,1.2988355270147325,1.2899565616130828,1.2783525241553784,1.2406098584651948
e30_h2_l2_d0.1_r0.001,2,2,0.1,0.001,2.2329143514143097,1.9772619651145404,1.914739552895228,1.8725570561157328,1.81117969984942,1.7305083750334052,1.6974599813852045,1.6779151988479826,1.6635929055955674,1.6479055509169895,1.6337400748160151,1.6249506388061576,1.6208745367136266,1.6048702993273736,1.5930250301844544,1.587585665473673,1.5854570765919156,1.5748698932694063,1.5732905163122548,1.566118033001158,1.5623830883436731,1.5576700479467709,1.554302072644896,1.5528636228594517,1.5478116898357868,1.5425157877114084,1.5387285711301697,1.5367782515572177,1.5296819274127484,1.5258974382436938,2.330877649641037,2.2807200973033903,2.2030960140943527,2.128812232398986,2.04652665681839,2.035742038559913,2.0193491483092307,1.996073127663136,1.9656061256885529,1.8676689398050308,2.0603908198237417,1.9924734835743905,1.96482155687809,1.947333337330818,2.0283060983181,1.9561615314602847,1.9013783045649528,1.869547926390171,2.346027063512802,1.8679374215364457,1.9668751003861429,1.833822473633289,1.8985703502058984,1.91740264275074,2.006434560906887,1.9273271794557567,1.9808016384840013,1.9760528062582017,2.0160975916862487,1.8830979670882224
e30_h4_l1_d0.2_r0.001,4,1,0.2,0.001,1.3310125170239144,0.8098633232961926,0.6871066265475212,0.6169236558987449,0.5582127696877967,0.5214001900361748,0.4999329576997811,0.471460738340641,0.4449956119560999,0.4319874218951186,0.4208765737943972,0.409945287270725,0.4000609036444997,0.3843931620907349,0.3716104318686709,0.3617002414564033,0.355669109734779,0.3482544105621986,0.341237968046808,0.3404196226087244,0.3397827600972209,0.3295241469117554,0.3306414144404698,0.3240557511170188,0.3192527784366781,0.3186997093024146,0.3200525442936613,0.315544335830297,0.3099909243579437,0.3124442928875279,1.0339091031134129,0.879242815001309,0.7825035862527787,0.7201603206314147,0.7100081880837679,0.721567491324991,0.6782944634176791,0.6670767758248374,0.6917063505474478,0.6520173288501799,0.6799874761899933,0.652538027568534,0.6779901395767928,0.671333182673715,0.6049312939047813,0.6305740038761869,0.662556163030956,0.697656232730113,0.710731551627256,0.6219675210511312,0.6649197895148768,0.6315415939703584,0.6193071966089309,0.6403296917209401,0.6203690695531666,0.6605532657260075,0.6257766413062811,0.6600717965332791,0.6292481947651133,0.7446164261490107
e30_h4_l1_d0.0_r0.001,4,1,0.0,0.001,0.945161018482844,0.3958495217301986,0.2392140791341352,0.1441958270225906,0.0926456373440334,0.0450231823778349,0.0286745023210209,0.0199970183125988,0.0148873327694089,0.0118200272035125,0.0098577033074103,0.0082853807084676,0.0070836577584577,0.0061506518240503,0.0054014417270509,0.0048211932845951,0.0042470710649775,0.0038495705955298,0.0034091080687429,0.0030102112310583,0.0026268283926882,0.0022929587604319,0.0020762735790564,0.0018703984568522,0.0016321791504989,0.001508498828703,0.0013585933830373,0.0012156926458647,0.0010720319576858,0.0010152954266612,0.7079688118979335,0.4409569387622177,0.2856719244575127,0.2118043757470324,0.1436745007035788,0.1017658461463172,0.0796081386048346,0.0613113788701768,0.0557036722654069,0.044576443658804,0.0405534331038477,0.0329372893898776,0.0306381631022493,0.0271004590411263,0.0250903107565769,0.0227699735855814,0.0205288323410743,0.0216544813567103,0.0176056488958391,0.0146975221064312,0.0126227324837935,0.0182677877720576,0.0124877777276298,0.010375140955943,0.0089372200567693,0.0085887261650947,0.0086125083658458,0.0071876730968269,0.0074306784085285,0.0070124657250111
e30_h4_l1_d0.1_r0.001,4,1,0.1,0.001,1.2757819511092372,0.8717082028221753,0.7510900565549731,0.6898455216348172,0.6587085490090565,0.632637580042084,0.6119181131373677,0.6004022330833185,0.5878564145428646,0.5794386766820319,0.5468062347313907,0.5220397536489285,0.5093934732905279,0.5032021564934299,0.4985177282371869,0.4827785300799852,0.4755371099444623,0.4662501547513219,0.4596713506619446,0.4516972793743635,0.4387258351801532,0.4240770216293891,0.4170295057721384,0.4142199241683611,0.4085675118452765,0.3991411874340278,0.389886371836061,0.379568524873831,0.3757291166940497,0.3514602976494365,1.14141768283844,0.9369033944040536,0.8397846660062671,0.7974792068995535,0.7472110979028046,0.7161512395560742,0.7042545333709568,0.6909745405182243,0.6787594530295581,0.6614480601558462,0.6236325129339472,0.6025670671881177,0.607868226166442,0.5872971438923851,0.5942148772189394,0.5713779922457412,0.5553016828422435,0.5562323037460446,0.5356373396573588,0.4934553526087664,0.4782655872613192,0.4581631684065796,0.4639804251759313,0.4443985726324841,0.4483544967810623,0.4597899460268206,0.4322721009982749,0.4196756342803128,0.4222639910240657,0.4026814803908113
e30_h4_l2_d0.0_r0.001,4,2,0.0,0.001,0.9676331872901776,0.3465515703194153,0.1600325150724966,0.0954553658442959,0.0647231133116667,0.0451983651549387,0.0313913470900358,0.022210612682104,0.0157927450926733,0.0120352420052558,0.0098705002473966,0.0083655097454011,0.0072759928775524,0.0061865551219236,0.0055982421904893,0.0047943957767097,0.0042627691058228,0.0039067496753732,0.0036111194914317,0.0033873414737901,0.0029461747212328,0.0027938028272541,0.0026943188659406,0.0023360088352943,0.0021054011277165,0.0019736175240158,0.0017749122173039,0.0015878891225468,0.0016232690584415,0.0015364951414434,0.7673756934523582,0.3896181034177541,0.2515609192061238,0.1786762837008573,0.1373926113522378,0.1073773649389506,0.0860661098369048,0.0684047621144563,0.0549686724494211,0.0449673349140444,0.0383871581880899,0.0345725575248419,0.0300408281776879,0.0260728082500339,0.0251159090611938,0.0232808972319093,0.0183167708719498,0.0165868907440351,0.0157710651801593,0.0138387601242509,0.0137153321589401,0.0137574480405593,0.0119716636814635,0.0113592039272931,0.0112015899244055,0.0095664365710345,0.0080754309825184,0.0093521578787556,0.0081942590160237,0.0074583623643447
