Number,word,PoS,percentile freq,num letters,morph structure
1,anxiety,N,"4,45",7,0-1-1
2,briefly,Adv,"4,22",7,0-1-1
3,careful,Adj,"4,59",7,0-1-1
4,coastal,Adj,"4,19",7,0-1-1
5,enabled,V,"4,11",7,0-1-1
6,endless,Adj,"4,18",7,0-1-1
7,farmers,N,"4,43",7,0-1-1
8,glasses,N,"4,34",7,0-1-1
9,genetic,Adj,"4,34",7,0-1-1
10,matches,N,"4,59",7,0-1-1
11,medical,Adj,"5,16",7,0-1-1
12,mixture,N,"4,18",7,0-1-1
13,officer,N,"5,03",7,0-1-1
14,society,N,"5,17",7,0-1-1
15,studied,V,"4,49",7,0-1-1
1,affected,V,"4,64",8,0-1-1
2,alliance,N,"4,4",8,0-1-1
3,clinical,Adj,"4,51",8,0-1-1
4,computer,N,"4,97",8,0-1-1
5,disagree,V,"4,09",8,1-1-0
6,dramatic,Adj,"4,41",8,0-1-1
7,football,N,"5,11",8,0-1-1
8,homeless,Adj,"4,26",8,0-1-1
9,included,V,"5,03",8,0-1-1
10,mentally,Adv,"4,2",8,0-1-1
11,northern,Adj,"4,85",8,0-1-1
12,pictures,N,"4,92",8,0-1-1
13,students,N,"5,25",8,0-1-1
14,ultimate,Adj,"4,53",8,0-1-1
15,warriors,N,"4,3",8,0-1-1
1,allegedly,Adv,"4,06",9,0-1-1
2,confirmed,V,"4,67",9,0-1-1
3,criminals,N,"4,15",9,0-1-1
4,currently,Adv,"5,08",9,0-1-1
5,departure,N,"4,22",9,0-1-1
6,disappear,V,"4,09",9,1-1-0
7,engineers,N,"4,41",9,0-1-1
8,important,Adj,"5,44",9,0-1-1
9,overnight,Adv/Adj,"4,19",9,0-1-1
10,political,Adj,"5,29",9,0-1-1
11,pollution,N,"4,2",9,0-1-1
12,receiving,V,"4,59",9,0-1-1
13,scientist,N,"4,21",9,0-1-1
14,seriously,Adv,"4,94",9,0-1-1
15,wonderful,Adj,"4,85",9,0-1-1
