Number,word,PoS,percentile freq,num letters,morph structure
1,captain,N/V,"4,89",7,0-1-0
2,despite,Prep,5,7,0-1-0
3,gravity,N/V,"4,21",7,0-1-0
4,horizon,N,"4,07",7,0-1-0
5,inspire,V,4,7,0-1-0
6,journey,N/V,"4,65",7,0-1-0
7,kitchen,N,"4,65",7,0-1-0
8,library,N,"4,86",7,0-1-0
9,natural,Adj,"5,11",7,0-1-0
10,rainbow,N,"4,07",7,0-1-0
11,shallow,Adj,"4,04",7,0-1-0
12,strange,Adj,"4,64",7,0-1-0
13,vaccine,N,4,7,0-1-0
14,village,N/Adj,"4,82",7,0-1-0
15,missile,N,"4,14",7,0-1-0
1,absolute,Adj,"4,54",8,0-1-0
2,aluminium,N,"4,01",8,0-1-0
3,calendar,N,"4,3",8,0-1-0
4,elephant,N,"4,08",8,0-1-0
5,gorgeous,Adj,"4,35",8,0-1-0
6,hospital,N/V,"5,07",8,0-1-0
7,medicine,N,"4,73",8,0-1-0
8,mountain,N,"4,73",8,0-1-0
9,remember,V,"5,38",8,0-1-0
10,sandwich,N/V,"4,13",8,0-1-0
11,shoulder,N/V,"4,5",8,0-1-0
12,straight,Adj/Adv,"5,04",8,0-1-0
13,together,Adv,"5,46",8,0-1-0
14,treasure,N/V,"4,17",8,0-1-0
15,exercise,V/N,"4,68",8,0-1-1
1,algorithm,N,"4,02",9,0-1-0
2,aluminium,N,"3,73",9,0-1-0
3,architect,N,"4,08",9,0-1-0
4,automatic,Adj,"4,36",9,0-1-0
5,challenge,N/V,"4,88",9,0-1-0
6,character,N,"5,11",9,0-1-0
7,chocolate,N,"4,49",9,0-1-0
8,desperate,Adj,"4,32",9,0-1-0
9,emergency,N,"4,72",9,0-1-0
10,establish,V,"4,46",9,0-1-0
11,hurricane,N,"4,1",9,0-1-0
12,immediate,Adj,"4,52",9,0-1-0
13,peninsula,N,"4,03",9,0-1-0
14,satellite,N/Adj,"4,33",9,0-1-0
15,surrender,N/V,"4,09",9,0-1-0
