Number,word,PoS,percentile freq,num letters,morph structure
1,amphora,N,"2,21",7,0-1-0
2,stutter,V/N,"2,95",7,0-1-0
3,giraffe,N,"3,32",7,0-1-0
4,compass,N,"3,74",7,0-1-0
5,frisbee,N ,"2,96",7,0-1-0
6,whistle,N,"3,88",7,0-1-0
7,javelin,N,"2,25",7,0-1-0
8,jugular,N/Adj,"2,78",7,0-1-0
9,legible,Adj,"2,8",7,0-1-0
10,liqueur,N,"2,81",7,0-1-0
11,penguin,N,"3,78",7,0-1-0
12,sapient,Adj,"2,1",7,0-1-0
13,satchel,N,"2,9",7,0-1-0
14,savanna,N,"2,17",7,0-1-0
15,whither,Adv,"2,52",7,0-1-0
1,cassette,N,23.91304348,8,0-1-0
2,fumigate,V,"1,87",8,0-1-0
3,gargoyle,N,16.57608696,8,0-1-0
4,instinct,N,19.56521739,8,0-1-0
5,trombone,N,"2,97",8,0-1-0
6,umbrella,N,"3,89",8,0-1-0
7,mushroom,N,17.66304348,8,0-1-0
8,hedgehog,N,"3,25",8,0-1-0
9,persuade,V,22.2826087,8,0-1-0
10,scrabble,N,"3,04",8,0-1-0
11,skeleton,N,17.39130435,8,0-1-0
12,stimulus,N,24.45652174,8,0-1-0
13,kangaroo,N,"3,5",8,0-1-0
14,syndrome,N,22.01086957,8,0-1-0
15,eggplant,N,"3,01",8,0-1-0
1,butterfly,N,"3,93",9,0-1-0
2,avalanche,N,11.95652174,9,0-1-0
3,blaspheme,V,13.85869565,9,0-1-0
4,boomerang,N,14.94565217,9,0-1-0
5,boulevard,N,14.13043478,9,0-1-0
6,catalogue,N,21.19565217,9,0-1-0
7,chameleon,N,12.77173913,9,0-1-0
8,champagne,N,11.41304348,9,0-1-0
9,embarrass,V,23.09782609,9,0-1-0
10,etiquette,N,13.58695652,9,0-1-0
11,hurricane,N,19.02173913,9,0-1-0
12,neighbour,N,16.84782609,9,0-1-0
13,reservoir,N,13.04347826,9,0-1-0
14,threshold,N,16.30434783,9,0-1-0
15,versatile,Adj,15.2173913,9,0-1-0
