Number,word,PoS,percentile freq,num letters,morph structure
1,ajar,adv,"2,57",4,0-1-0
2,balk,V/N,"2,72",4,0-1-0
3,bark,N,"3,85",4,0-1-0
4,rake,N,"3,38",4,0-1-0
5,frog,N,"3,89",4,0-1-0
6,glee,N,"3,49",4,0-1-0
7,heft,V/N,"2,75",4,0-1-0
8,hymn,N,"3,61",4,0-1-0
9,lore,N,"3,55",4,0-1-0
10,sock,N,"3,61",4,0-1-0
11,peel,N,"3,8",4,0-1-0
12,quay,N,"3,26",4,0-1-0
13,quip,V/N,"2,67",4,0-1-0
14,wane,V,"2,83",4,0-1-0
15,zest,N/V,"3,19",4,0-1-0
1,acorn,N,"3,08",5,0-1-0
2,broom,N,"3,42",5,0-1-0
3,scarf,N,"3,68",5,0-1-0
4,glove,N,"3,73",5,0-1-0
5,easel,N,"2,68",5,0-1-0
6,hoist,V,"3,12",5,0-1-0
7,leery,Adj,"2,58",5,0-1-0
8,lithe,Adj,"2,48",5,0-1-0
9,camel,N,"3,64",5,0-1-0
10,mirth,adv,"2,62",5,0-1-0
11,quill,N,"3,11",5,0-1-0
12,scour,V,"2,97",5,0-1-0
13,clown,N,"3,93",5,0-1-0
14,vault,N/V,"3,9",5,0-1-0
15,yacht,N,"3,82",5,0-1-0
1,arcane,Adj,"2,99",6,0-1-0
2,beetle,N,"3,53",6,0-1-0
3,bullet,N,29.89130435,6,0-1-0
4,castle,N/V,30.97826087,6,0-1-0
5,citrus,N,"3,58",6,0-1-0
6,frivol,Adj,10.32608696,6,0-1-0
7,frugal,Adj,"3,11",6,0-1-0
8,mingle,V,10.05434783,6,0-1-0
9,needle,N,"3,98",6,0-1-0
10,peddle,V,10.59782609,6,0-1-0
11,puzzle,N/V,27.98913043,6,0-1-0
12,quiver,N,"2,84",6,0-1-0
13,ramble,V/N,"2,85",6,0-1-0
14,writhe,V,"2,24",6,0-1-0
15,kettle,N,"3,54",6,0-1-0
