,Word,Frequency,Zipf_Frequency,Part_of_Speech,Phonemes,No_Stress
0,the,0.0537,7.73,PRON,"['DH', 'AH0']","['DH', 'AH']"
1,to,0.0269,7.43,PART,"['T', 'UW1']","['T', 'UW']"
2,and,0.0257,7.41,CCONJ,"['AH0', 'N', 'D']","['AH', 'N', 'D']"
3,of,0.0251,7.4,ADP,"['AH1', 'V']","['AH', 'V']"
4,a,0.0229,7.36,PRON,['AH0'],['AH']
5,in,0.0186,7.27,ADP,"['IH0', 'N']","['IH', 'N']"
6,i,0.0123,7.09,PRON,['AY1'],['AY']
7,is,0.0117,7.07,AUX,"['IH1', 'Z']","['IH', 'Z']"
8,for,0.0102,7.01,ADP,"['F', 'AO1', 'R']","['F', 'AO', 'R']"
9,that,0.0102,7.01,PRON,"['DH', 'AE1', 'T']","['DH', 'AE', 'T']"
10,you,0.00955,6.98,PRON,"['Y', 'UW1']","['Y', 'UW']"
11,it,0.00891,6.95,PRON,"['IH1', 'T']","['IH', 'T']"
12,on,0.00813,6.91,ADP,"['AA1', 'N']","['AA', 'N']"
13,with,0.00708,6.85,ADP,"['W', 'IH1', 'DH']","['W', 'IH', 'DH']"
14,this,0.00661,6.82,PRON,"['DH', 'IH1', 'S']","['DH', 'IH', 'S']"
15,was,0.00661,6.82,AUX,"['W', 'AA1', 'Z']","['W', 'AA', 'Z']"
16,be,0.00617,6.79,AUX,"['B', 'IY1']","['B', 'IY']"
17,as,0.00589,6.77,ADP,"['AE1', 'Z']","['AE', 'Z']"
18,are,0.0055,6.74,AUX,"['AA1', 'R']","['AA', 'R']"
19,have,0.00513,6.71,VERB,"['HH', 'AE1', 'V']","['HH', 'AE', 'V']"
20,at,0.00501,6.7,ADP,"['AE1', 'T']","['AE', 'T']"
21,he,0.0049,6.69,PRON,"['HH', 'IY1']","['HH', 'IY']"
22,not,0.0049,6.69,PART,"['N', 'AA1', 'T']","['N', 'AA', 'T']"
23,by,0.00457,6.66,ADP,"['B', 'AY1']","['B', 'AY']"
24,but,0.00427,6.63,CCONJ,"['B', 'AH1', 'T']","['B', 'AH', 'T']"
25,from,0.00427,6.63,ADP,"['F', 'R', 'AH1', 'M']","['F', 'R', 'AH', 'M']"
26,my,0.00372,6.57,PRON,"['M', 'AY1']","['M', 'AY']"
27,or,0.00347,6.54,CCONJ,"['AO1', 'R']","['AO', 'R']"
28,we,0.00347,6.54,PRON,"['W', 'IY1']","['W', 'IY']"
29,an,0.00339,6.53,PRON,"['AE1', 'N']","['AE', 'N']"
30,your,0.00339,6.53,PRON,"['Y', 'AO1', 'R']","['Y', 'AO', 'R']"
31,all,0.00331,6.52,ADV,"['AO1', 'L']","['AO', 'L']"
32,so,0.00331,6.52,ADV,"['S', 'OW1']","['S', 'OW']"
33,his,0.00324,6.51,PRON,"['HH', 'IH1', 'Z']","['HH', 'IH', 'Z']"
34,they,0.00316,6.5,PRON,"['DH', 'EY1']","['DH', 'EY']"
35,me,0.00302,6.48,PRON,"['M', 'IY1']","['M', 'IY']"
36,if,0.00295,6.47,SCONJ,"['IH1', 'F']","['IH', 'F']"
37,one,0.00295,6.47,NUM,"['W', 'AH1', 'N']","['W', 'AH', 'N']"
38,can,0.00288,6.46,AUX,"['K', 'AE1', 'N']","['K', 'AE', 'N']"
39,will,0.00282,6.45,AUX,"['W', 'IH1', 'L']","['W', 'IH', 'L']"
40,just,0.00269,6.43,ADV,"['JH', 'AH1', 'S', 'T']","['JH', 'AH', 'S', 'T']"
41,like,0.00257,6.41,INTJ,"['L', 'AY1', 'K']","['L', 'AY', 'K']"
42,about,0.00251,6.4,ADP,"['AH0', 'B', 'AW1', 'T']","['AH', 'B', 'AW', 'T']"
43,up,0.00245,6.39,ADP,"['AH1', 'P']","['AH', 'P']"
44,out,0.0024,6.38,ADP,"['AW1', 'T']","['AW', 'T']"
45,what,0.0024,6.38,PRON,"['W', 'AH1', 'T']","['W', 'AH', 'T']"
46,has,0.00234,6.37,VERB,"['HH', 'AE1', 'Z']","['HH', 'AE', 'Z']"
47,when,0.00234,6.37,SCONJ,"['W', 'EH1', 'N']","['W', 'EH', 'N']"
48,more,0.00229,6.36,ADJ,"['M', 'AO1', 'R']","['M', 'AO', 'R']"
49,do,0.00224,6.35,VERB,"['D', 'UW1']","['D', 'UW']"
50,no,0.00224,6.35,PRON,"['N', 'OW1']","['N', 'OW']"
51,were,0.00219,6.34,AUX,"['W', 'ER0']","['W', 'ER']"
52,who,0.00219,6.34,PRON,"['HH', 'UW1']","['HH', 'UW']"
