,Unnamed: 0,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Prediction
0,0,attending,RLCH,real,long,complex,2.04e-05,7,4.31,"['AH0', 'T', 'EH1', 'N', 'D', 'IH0', 'NG']","['AH', 'T', 'EH', 'N', 'D', 'IH', 'NG']",VERB,"['AH', 'T', 'EH', 'N', 'D', '<EOS>', '<EOS>']"
1,1,commissioner,RLCH,real,long,complex,2.69e-05,8,4.43,"['K', 'AH0', 'M', 'IH1', 'SH', 'AH0', 'N', 'ER0']","['K', 'AH', 'M', 'IH', 'SH', 'AH', 'N', 'ER']",NOUN,"['K', 'AH', 'M', 'IH', 'SH', '<EOS>', '<EOS>', '<EOS>']"
2,2,operation,RLCH,real,long,complex,8.32e-05,7,4.92,"['AA2', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['AA', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",NOUN,"['AA', 'P', 'ER', 'EY', '<EOS>', '<EOS>', '<EOS>']"
3,3,hospitals,RLCH,real,long,complex,2.14e-05,9,4.33,"['HH', 'AA1', 'S', 'P', 'IH2', 'T', 'AH0', 'L', 'Z']","['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L', 'Z']",NOUN,"['HH', 'AA', 'S', 'P', 'IH', 'L', '<EOS>', '<EOS>', '<EOS>']"
4,4,acquisition,RLCH,real,long,complex,1.82e-05,9,4.26,"['AE2', 'K', 'W', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N']","['AE', 'K', 'W', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']",NOUN,"['AE', 'K', 'W', 'AH', '<EOS>', '<EOS>', '<EOS>', '<EOS>', '<EOS>']"
5,5,drinking,RLCH,real,long,complex,5.13e-05,7,4.71,"['D', 'R', 'IH1', 'NG', 'K', 'IH0', 'NG']","['D', 'R', 'IH', 'NG', 'K', 'IH', 'NG']",VERB,"['D', 'R', 'IH', 'NG', 'K', '<EOS>', '<EOS>']"
6,6,universe,RLCH,real,long,complex,3.89e-05,7,4.59,"['Y', 'UW1', 'N', 'AH0', 'V', 'ER2', 'S']","['Y', 'UW', 'N', 'AH', 'V', 'ER', 'S']",NOUN,"['Y', 'UW', 'N', 'AH', 'V', 'S', '<EOS>']"
7,7,obviously,RLCH,real,long,complex,6.31e-05,8,4.8,"['AA1', 'B', 'V', 'IY0', 'AH0', 'S', 'L', 'IY0']","['AA', 'B', 'V', 'IY', 'AH', 'S', 'L', 'IY']",ADV,"['AA', 'B', 'V', 'IY', 'S', '<EOS>', '<EOS>', '<EOS>']"
8,8,physically,RLCH,real,long,complex,2e-05,8,4.3,"['F', 'IH1', 'Z', 'IH0', 'K', 'AH0', 'L', 'IY0']","['F', 'IH', 'Z', 'IH', 'K', 'AH', 'L', 'IY']",ADV,"['F', 'IH', 'Z', 'IH', 'L', '<EOS>', '<EOS>', '<EOS>']"
9,9,awareness,RLCH,real,long,complex,2.75e-05,7,4.44,"['AH0', 'W', 'EH1', 'R', 'N', 'AH0', 'S']","['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']",NOUN,"['AH', 'W', 'EH', 'R', 'N', '<EOS>', '<EOS>']"
