,No_Stress,Sonority,Type,Prediction
0,"['P', 'T', 'AH']",0,CCV,"['P', 'T', 'AH']"
1,"['P', 'T', 'OY']",0,CCV,"['P', 'T', 'OY']"
2,"['P', 'T', 'AA']",0,CCV,"['P', 'T', 'AA']"
3,"['P', 'T', 'AY']",0,CCV,"['P', 'T', 'AY']"
4,"['P', 'T', 'ER']",0,CCV,"['P', 'ER', 'T']"
5,"['P', 'T', 'AO']",0,CCV,"['P', 'T', 'AO']"
6,"['P', 'T', 'UW']",0,CCV,"['P', 'T', 'UW']"
7,"['P', 'T', 'IH']",0,CCV,"['P', 'T', 'IH']"
8,"['P', 'T', 'EH']",0,CCV,"['P', 'T', 'EH']"
9,"['P', 'T', 'UH']",0,CCV,"['P', 'UH', 'T']"
10,"['P', 'T', 'IY']",0,CCV,"['P', 'T', 'IY']"
11,"['P', 'T', 'EY']",0,CCV,"['P', 'T', 'EY']"
12,"['P', 'T', 'OW']",0,CCV,"['P', 'T', 'OW']"
13,"['P', 'T', 'AE']",0,CCV,"['P', 'T', 'AE']"
14,"['P', 'T', 'AW']",0,CCV,"['T', 'P', 'AW']"
15,"['P', 'K', 'AH']",0,CCV,"['P', 'K', 'AH']"
16,"['P', 'K', 'OY']",0,CCV,"['P', 'K', 'OY']"
17,"['P', 'K', 'AA']",0,CCV,"['P', 'K', 'AA']"
18,"['P', 'K', 'AY']",0,CCV,"['P', 'L', 'AY']"
19,"['P', 'K', 'ER']",0,CCV,"['P', 'ER', 'K']"
20,"['P', 'K', 'AO']",0,CCV,"['P', 'K', 'AO']"
21,"['P', 'K', 'UW']",0,CCV,"['P', 'L', 'UW']"
22,"['P', 'K', 'IH']",0,CCV,"['P', 'K', 'IH']"
23,"['P', 'K', 'EH']",0,CCV,"['P', 'K', 'EH']"
24,"['P', 'K', 'UH']",0,CCV,"['P', 'UH', 'K']"
25,"['P', 'K', 'IY']",0,CCV,"['P', 'IY', 'K']"
26,"['P', 'K', 'EY']",0,CCV,"['P', 'L', 'EY']"
27,"['P', 'K', 'OW']",0,CCV,"['P', 'K', 'OW']"
28,"['P', 'K', 'AE']",0,CCV,"['P', 'AE', 'K']"
29,"['P', 'K', 'AW']",0,CCV,"['P', 'AW', 'K']"
30,"['P', 'B', 'AH']",0,CCV,"['P', 'B', 'AH']"
31,"['P', 'B', 'OY']",0,CCV,"['B', 'OY', 'P']"
32,"['P', 'B', 'AA']",0,CCV,"['B', 'P', 'AA']"
33,"['P', 'B', 'AY']",0,CCV,"['B', 'AY', 'P']"
34,"['P', 'B', 'ER']",0,CCV,"['P', 'B', 'ER']"
35,"['P', 'B', 'AO']",0,CCV,"['P', 'B', 'AO']"
36,"['P', 'B', 'UW']",0,CCV,"['B', 'UW', 'P']"
37,"['P', 'B', 'IH']",0,CCV,"['P', 'B', 'IH']"
38,"['P', 'B', 'EH']",0,CCV,"['P', 'B', 'EH']"
39,"['P', 'B', 'UH']",0,CCV,"['P', 'UH', 'B']"
40,"['P', 'B', 'IY']",0,CCV,"['B', 'IY', 'P']"
41,"['P', 'B', 'EY']",0,CCV,"['P', 'EY', 'B']"
42,"['P', 'B', 'OW']",0,CCV,"['P', 'OW', 'B']"
43,"['P', 'B', 'AE']",0,CCV,"['P', 'AE', 'B']"
44,"['P', 'B', 'AW']",0,CCV,"['P', 'B', 'AW']"
45,"['P', 'D', 'AH']",0,CCV,"['P', 'D', 'AH']"
46,"['P', 'D', 'OY']",0,CCV,"['D', 'P', 'OY']"
47,"['P', 'D', 'AA']",0,CCV,"['P', 'D', 'AA']"
48,"['P', 'D', 'AY']",0,CCV,"['P', 'AY', 'D']"
49,"['P', 'D', 'ER']",0,CCV,"['P', 'ER', 'D']"
50,"['P', 'D', 'AO']",0,CCV,"['P', 'D', 'AO']"
51,"['P', 'D', 'UW']",0,CCV,"['P', 'D', 'UW']"
52,"['P', 'D', 'IH']",0,CCV,"['P', 'D', 'IH']"
53,"['P', 'D', 'EH']",0,CCV,"['P', 'D', 'EH']"
54,"['P', 'D', 'UH']",0,CCV,"['P', 'UH', 'D']"
55,"['P', 'D', 'IY']",0,CCV,"['P', 'D', 'IY']"
56,"['P', 'D', 'EY']",0,CCV,"['P', 'EY', 'D']"
57,"['P', 'D', 'OW']",0,CCV,"['P', 'D', 'OW']"
58,"['P', 'D', 'AE']",0,CCV,"['P', 'AE', 'D']"
59,"['P', 'D', 'AW']",0,CCV,"['P', 'D', 'AW']"
60,"['P', 'G', 'AH']",0,CCV,"['P', 'G', 'AH']"
61,"['P', 'G', 'OY']",0,CCV,"['P', 'OY', 'G']"
62,"['P', 'G', 'AA']",0,CCV,"['P', 'G', 'AA']"
63,"['P', 'G', 'AY']",0,CCV,"['G', 'P', 'AY']"
64,"['P', 'G', 'ER']",0,CCV,"['P', 'ER', 'G']"
65,"['P', 'G', 'AO']",0,CCV,"['P', 'AO', 'G']"
66,"['P', 'G', 'UW']",0,CCV,"['P', 'G', 'UW']"
67,"['P', 'G', 'IH']",0,CCV,"['P', 'IH', 'G']"
68,"['P', 'G', 'EH']",0,CCV,"['P', 'G', 'EH']"
69,"['P', 'G', 'UH']",0,CCV,"['P', 'UH', 'G']"
70,"['P', 'G', 'IY']",0,CCV,"['P', 'G', 'IY']"
71,"['P', 'G', 'EY']",0,CCV,"['P', 'G', 'EY']"
72,"['P', 'G', 'OW']",0,CCV,"['P', 'G', 'OW']"
73,"['P', 'G', 'AE']",0,CCV,"['P', 'AE', 'G']"
74,"['P', 'G', 'AW']",0,CCV,"['P', 'G', 'AW']"
75,"['P', 'F', 'AH']",1,CCV,"['P', 'F', 'AH']"
76,"['P', 'F', 'OY']",1,CCV,"['F', 'OY', 'P']"
