Symbol,Type,Height,Backness,Diphthong,Place,Manner,Voiced
AH,V,Mid,Central,False,,,
OY,V,Mid,Back,True,,,
AA,V,Low,Back,False,,,
AY,V,Low,Central,True,,,
ER,V,Mid,Central,False,,,
AO,V,Mid,Back,False,,,
UW,V,High,Back,False,,,
IH,V,High,Front,False,,,
EH,V,Mid,Front,False,,,
UH,V,High,Back,False,,,
IY,V,High,Front,False,,,
EY,V,Mid,Front,True,,,
OW,V,Mid,Back,True,,,
AE,V,Low,Front,False,,,
AW,V,Low,Central,True,,,
P,C,,,,Labial,Stop,False
T,C,,,,Coronal,Stop,False
K,C,,,,Dorsal,Stop,False
B,C,,,,Labial,Stop,True
D,C,,,,Coronal,Stop,True
G,C,,,,Dorsal,Stop,True
F,C,,,,Labial,Fricative,False
TH,C,,,,Coronal,Fricative,False
S,C,,,,Coronal,Fricative,False
SH,C,,,,Coronal,Fricative,False
Z,C,,,,Coronal,Fricative,True
ZH,C,,,,Coronal,Fricative,True
V,C,,,,Labial,Fricative,True
DH,C,,,,Coronal,Fricative,True
HH,C,,,,Glottal,Fricative,False
CH,C,,,,Coronal,Stop,False
JH,C,,,,Coronal,Stop,True
M,C,,,,Labial,Nasal,True
N,C,,,,Coronal,Nasal,True
NG,C,,,,Dorsal,Nasal,True
L,C,,,,Coronal,Approximant,True
R,C,,,,Coronal,Approximant,True
W,C,,,,Labial,Approximant,True
Y,C,,,,Coronal,Approximant,True
