,Phonemes,No_Stress,Sonority,Type,Length,Prediction,Edit_Distance,Insertions,Deletions,Substitutions,Error_Indices
0,"['P', 'T', 'AH']","['P', 'T', 'AH']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
1,"['AH', 'P', 'T']","['AH', 'P', 'T']",0,VCC,3,"['P', 'AH', 'T']",2,1,1,0,"[1, 2]"
2,"['P', 'T', 'OY']","['P', 'T', 'OY']",0,CCV,3,"['P', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
3,"['OY', 'P', 'T']","['OY', 'P', 'T']",0,VCC,3,"['OY', 'P', '<EOS>']",1,0,0,1,[3]
4,"['P', 'T', 'AA']","['P', 'T', 'AA']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
5,"['AA', 'P', 'T']","['AA', 'P', 'T']",0,VCC,3,"['AA', 'P', 'T']",0,0,0,0,[]
6,"['P', 'T', 'AY']","['P', 'T', 'AY']",0,CCV,3,"['P', 'AY', '<EOS>']",2,0,0,2,"[2, 3]"
7,"['AY', 'P', 'T']","['AY', 'P', 'T']",0,VCC,3,"['AY', 'P', '<EOS>']",1,0,0,1,[3]
8,"['P', 'T', 'ER']","['P', 'T', 'ER']",0,CCV,3,"['P', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
9,"['ER', 'P', 'T']","['ER', 'P', 'T']",0,VCC,3,"['ER', 'P', '<EOS>']",1,0,0,1,[3]
10,"['P', 'T', 'AO']","['P', 'T', 'AO']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
11,"['AO', 'P', 'T']","['AO', 'P', 'T']",0,VCC,3,"['AO', 'P', 'T']",0,0,0,0,[]
12,"['P', 'T', 'UW']","['P', 'T', 'UW']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
13,"['UW', 'P', 'T']","['UW', 'P', 'T']",0,VCC,3,"['UW', 'P', 'T']",0,0,0,0,[]
14,"['P', 'T', 'IH']","['P', 'T', 'IH']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
15,"['IH', 'P', 'T']","['IH', 'P', 'T']",0,VCC,3,"['IH', 'P', '<EOS>']",1,0,0,1,[3]
16,"['P', 'T', 'EH']","['P', 'T', 'EH']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
17,"['EH', 'P', 'T']","['EH', 'P', 'T']",0,VCC,3,"['EH', 'P', '<EOS>']",1,0,0,1,[3]
18,"['P', 'T', 'UH']","['P', 'T', 'UH']",0,CCV,3,"['P', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
19,"['UH', 'P', 'T']","['UH', 'P', 'T']",0,VCC,3,"['P', 'UH', 'T']",2,1,1,0,"[1, 2]"
20,"['P', 'T', 'IY']","['P', 'T', 'IY']",0,CCV,3,"['P', 'IY', '<EOS>']",2,0,0,2,"[2, 3]"
21,"['IY', 'P', 'T']","['IY', 'P', 'T']",0,VCC,3,"['IY', 'P', 'T']",0,0,0,0,[]
22,"['P', 'T', 'EY']","['P', 'T', 'EY']",0,CCV,3,"['P', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
23,"['EY', 'P', 'T']","['EY', 'P', 'T']",0,VCC,3,"['EY', 'P', 'T']",0,0,0,0,[]
24,"['P', 'T', 'OW']","['P', 'T', 'OW']",0,CCV,3,"['P', 'OW', '<EOS>']",2,0,0,2,"[2, 3]"
25,"['OW', 'P', 'T']","['OW', 'P', 'T']",0,VCC,3,"['P', 'OW', 'T']",2,1,1,0,"[1, 2]"
26,"['P', 'T', 'AE']","['P', 'T', 'AE']",0,CCV,3,"['P', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
27,"['AE', 'P', 'T']","['AE', 'P', 'T']",0,VCC,3,"['AE', 'P', 'T']",0,0,0,0,[]
28,"['P', 'T', 'AW']","['P', 'T', 'AW']",0,CCV,3,"['P', 'T', '<EOS>']",1,0,0,1,[3]
29,"['AW', 'P', 'T']","['AW', 'P', 'T']",0,VCC,3,"['P', 'AW', 'T']",2,1,1,0,"[1, 2]"
30,"['P', 'K', 'AH']","['P', 'K', 'AH']",0,CCV,3,"['P', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
31,"['AH', 'P', 'K']","['AH', 'P', 'K']",0,VCC,3,"['AH', 'P', '<EOS>']",1,0,0,1,[3]
32,"['P', 'K', 'OY']","['P', 'K', 'OY']",0,CCV,3,"['P', 'K', '<EOS>']",1,0,0,1,[3]
33,"['OY', 'P', 'K']","['OY', 'P', 'K']",0,VCC,3,"['OY', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
34,"['P', 'K', 'AA']","['P', 'K', 'AA']",0,CCV,3,"['K', 'AA', '<EOS>']",2,1,1,0,"[1, 2, 3]"
35,"['AA', 'P', 'K']","['AA', 'P', 'K']",0,VCC,3,"['AA', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
36,"['P', 'K', 'AY']","['P', 'K', 'AY']",0,CCV,3,"['P', 'L', '<EOS>']",2,0,0,2,"[2, 3]"
37,"['AY', 'P', 'K']","['AY', 'P', 'K']",0,VCC,3,"['AY', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
38,"['P', 'K', 'ER']","['P', 'K', 'ER']",0,CCV,3,"['P', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
39,"['ER', 'P', 'K']","['ER', 'P', 'K']",0,VCC,3,"['ER', 'P', '<EOS>']",1,0,0,1,[3]
40,"['P', 'K', 'AO']","['P', 'K', 'AO']",0,CCV,3,"['P', 'K', '<EOS>']",1,0,0,1,[3]
41,"['AO', 'P', 'K']","['AO', 'P', 'K']",0,VCC,3,"['AO', 'P', '<EOS>']",1,0,0,1,[3]
42,"['P', 'K', 'UW']","['P', 'K', 'UW']",0,CCV,3,"['P', 'UW', '<EOS>']",2,0,0,2,"[2, 3]"
43,"['UW', 'P', 'K']","['UW', 'P', 'K']",0,VCC,3,"['UW', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
44,"['P', 'K', 'IH']","['P', 'K', 'IH']",0,CCV,3,"['P', 'K', '<EOS>']",1,0,0,1,[3]
45,"['IH', 'P', 'K']","['IH', 'P', 'K']",0,VCC,3,"['IH', 'P', '<EOS>']",1,0,0,1,[3]
46,"['P', 'K', 'EH']","['P', 'K', 'EH']",0,CCV,3,"['P', 'K', '<EOS>']",1,0,0,1,[3]
47,"['EH', 'P', 'K']","['EH', 'P', 'K']",0,VCC,3,"['EH', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
48,"['P', 'K', 'UH']","['P', 'K', 'UH']",0,CCV,3,"['P', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
49,"['UH', 'P', 'K']","['UH', 'P', 'K']",0,VCC,3,"['UH', 'P', '<EOS>']",1,0,0,1,[3]
50,"['P', 'K', 'IY']","['P', 'K', 'IY']",0,CCV,3,"['K', 'IY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
51,"['IY', 'P', 'K']","['IY', 'P', 'K']",0,VCC,3,"['IY', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
52,"['P', 'K', 'EY']","['P', 'K', 'EY']",0,CCV,3,"['P', 'L', '<EOS>']",2,0,0,2,"[2, 3]"
53,"['EY', 'P', 'K']","['EY', 'P', 'K']",0,VCC,3,"['P', 'EY', '<EOS>']",3,1,1,1,"[1, 2, 3]"
54,"['P', 'K', 'OW']","['P', 'K', 'OW']",0,CCV,3,"['P', 'OW', '<EOS>']",2,0,0,2,"[2, 3]"
55,"['OW', 'P', 'K']","['OW', 'P', 'K']",0,VCC,3,"['OW', 'P', '<EOS>']",1,0,0,1,[3]
56,"['P', 'K', 'AE']","['P', 'K', 'AE']",0,CCV,3,"['P', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
57,"['AE', 'P', 'K']","['AE', 'P', 'K']",0,VCC,3,"['AE', 'P', '<EOS>']",1,0,0,1,[3]
58,"['P', 'K', 'AW']","['P', 'K', 'AW']",0,CCV,3,"['P', 'K', '<EOS>']",1,0,0,1,[3]
59,"['AW', 'P', 'K']","['AW', 'P', 'K']",0,VCC,3,"['AW', 'K', '<EOS>']",2,0,0,2,"[2, 3]"
60,"['P', 'B', 'AH']","['P', 'B', 'AH']",0,CCV,3,"['P', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
61,"['AH', 'P', 'B']","['AH', 'P', 'B']",0,VCC,3,"['AH', 'P', 'B']",0,0,0,0,[]
62,"['P', 'B', 'OY']","['P', 'B', 'OY']",0,CCV,3,"['B', 'OY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
63,"['OY', 'P', 'B']","['OY', 'P', 'B']",0,VCC,3,"['OY', 'NG', '<EOS>']",2,0,0,2,"[2, 3]"
64,"['P', 'B', 'AA']","['P', 'B', 'AA']",0,CCV,3,"['B', 'AA', '<EOS>']",2,1,1,0,"[1, 2, 3]"
65,"['AA', 'P', 'B']","['AA', 'P', 'B']",0,VCC,3,"['AA', 'P', '<EOS>']",1,0,0,1,[3]
