,neuron_idx,layer_name,real_accuracy,pseudo_accuracy,low_freq_accuracy,high_freq_accuracy,simple_accuracy,complex_accuracy,primacy_accuracy,recency_accuracy,short_accuracy,long_accuracy
0,0,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
1,1,encoder,0.99,0.9575,0.9895833333333334,0.9900568181818182,0.9875,0.9925,0.9941666666666666,0.98,1.0,0.9583333333333334
2,2,encoder,0.99875,0.9675,0.9895833333333334,1.0,0.9975,1.0,0.9925,0.9925,1.0,0.9766666666666667
3,3,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.98
4,4,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9925,1.0,0.9816666666666667
5,5,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.9941666666666666,1.0,0.9833333333333333
6,6,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
7,7,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.9933333333333333,1.0,0.9833333333333333
8,8,encoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9975,0.995,1.0,0.9866666666666667
9,9,encoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9941666666666666,0.9908333333333333,1.0,0.9783333333333333
10,10,encoder,0.995,0.9675,1.0,0.9943181818181818,0.995,0.995,0.9941666666666666,0.9891666666666666,1.0,0.9716666666666667
11,11,encoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.995,1.0,0.9833333333333333
12,12,encoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
13,13,encoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9966666666666667,0.99,1.0,0.9783333333333333
14,14,encoder,1.0,0.965,1.0,1.0,1.0,1.0,0.9941666666666666,0.9908333333333333,1.0,0.9766666666666667
15,15,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9958333333333333,0.9908333333333333,1.0,0.98
16,16,encoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9941666666666666,0.9916666666666667,1.0,0.9783333333333333
17,17,encoder,0.99875,0.9675,1.0,0.9985795454545454,1.0,0.9975,0.9925,0.9916666666666667,1.0,0.9766666666666667
18,18,encoder,0.9775,0.8875,0.96875,0.9786931818181818,0.99,0.965,0.9766666666666667,0.9541666666666667,0.995,0.9
19,19,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9958333333333333,0.9925,1.0,0.98
20,20,encoder,1.0,0.97,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.98
21,21,encoder,0.99625,0.965,0.9895833333333334,0.9971590909090909,0.995,0.9975,0.9916666666666667,0.9883333333333333,0.9983333333333333,0.9733333333333334
22,22,encoder,0.975,0.915,0.9270833333333334,0.9815340909090909,0.9825,0.9675,0.9808333333333333,0.96,1.0,0.91
