,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Vowel Count,Consonant Count,Prediction,Edit_Distance,Insertions,Deletions,Substitutions,Error_Indices
0,attending,RLCH,real,long,complex,2.04e-05,7,4.31,"['AH', 'T', 'EH', 'N', 'D', 'IH', 'NG']","['AH', 'T', 'EH', 'N', 'D', 'IH', 'NG']",VERB,3,4,"['AH', 'T', 'EH', 'N', 'D', 'IH', 'NG']",0,0,0,0,[]
1,commissioner,RLCH,real,long,complex,2.69e-05,8,4.43,"['K', 'AH', 'M', 'IH', 'SH', 'AH', 'N', 'ER']","['K', 'AH', 'M', 'IH', 'SH', 'AH', 'N', 'ER']",NOUN,4,4,"['K', 'AH', 'M', 'IH', 'SH', 'AH', 'N', 'ER']",0,0,0,0,[]
2,operation,RLCH,real,long,complex,8.32e-05,7,4.92,"['AA', 'P', 'ER', 'EY', 'SH', 'AH', 'N']","['AA', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",NOUN,4,3,"['AA', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",0,0,0,0,[]
3,hospitals,RLCH,real,long,complex,2.14e-05,9,4.33,"['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L', 'Z']","['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L', 'Z']",NOUN,3,6,"['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L', 'Z']",0,0,0,0,[]
4,acquisition,RLCH,real,long,complex,1.82e-05,9,4.26,"['AE', 'K', 'W', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']","['AE', 'K', 'W', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']",NOUN,4,5,"['AE', 'K', 'W', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']",0,0,0,0,[]
5,drinking,RLCH,real,long,complex,5.13e-05,7,4.71,"['D', 'R', 'IH', 'NG', 'K', 'IH', 'NG']","['D', 'R', 'IH', 'NG', 'K', 'IH', 'NG']",VERB,2,5,"['D', 'R', 'IH', 'NG', 'K', 'IH', 'NG']",0,0,0,0,[]
6,universe,RLCH,real,long,complex,3.89e-05,7,4.59,"['Y', 'UW', 'N', 'AH', 'V', 'ER', 'S']","['Y', 'UW', 'N', 'AH', 'V', 'ER', 'S']",NOUN,3,4,"['Y', 'UW', 'N', 'AH', 'V', 'ER', 'S']",0,0,0,0,[]
7,obviously,RLCH,real,long,complex,6.31e-05,8,4.8,"['AA', 'B', 'V', 'IY', 'AH', 'S', 'L', 'IY']","['AA', 'B', 'V', 'IY', 'AH', 'S', 'L', 'IY']",ADV,4,4,"['AA', 'B', 'V', 'IY', 'AH', 'S', 'L', 'IY']",0,0,0,0,[]
8,physically,RLCH,real,long,complex,2e-05,8,4.3,"['F', 'IH', 'Z', 'IH', 'K', 'AH', 'L', 'IY']","['F', 'IH', 'Z', 'IH', 'K', 'AH', 'L', 'IY']",ADV,4,4,"['F', 'IH', 'Z', 'IH', 'K', 'AH', 'L', 'IY']",0,0,0,0,[]
9,awareness,RLCH,real,long,complex,2.75e-05,7,4.44,"['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']","['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']",NOUN,3,4,"['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']",0,0,0,0,[]
