,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes
0,the,0.0537,7.73,PRON,"['DH', 'AH0']"
1,and,0.0257,7.41,CCONJ,"['AH0', 'N', 'D']"
2,i,0.0123,7.09,PRON,['AY1']
3,it,0.00891,6.95,PRON,"['IH1', 'T']"
4,on,0.00813,6.91,ADP,"['AA1', 'N']"
5,with,0.00708,6.85,ADP,"['W', 'IH1', 'DH']"
6,this,0.00661,6.82,PRON,"['DH', 'IH1', 'S']"
7,was,0.00661,6.82,AUX,"['W', 'AA1', 'Z']"
8,be,0.00617,6.79,AUX,"['B', 'IY1']"
9,are,0.0055,6.74,AUX,"['AA1', 'R']"
10,have,0.00513,6.71,VERB,"['HH', 'AE1', 'V']"
11,at,0.00501,6.7,ADP,"['AE1', 'T']"
12,not,0.0049,6.69,PART,"['N', 'AA1', 'T']"
13,by,0.00457,6.66,ADP,"['B', 'AY1']"
14,from,0.00427,6.63,ADP,"['F', 'R', 'AH1', 'M']"
15,or,0.00347,6.54,CCONJ,"['AO1', 'R']"
16,we,0.00347,6.54,PRON,"['W', 'IY1']"
17,an,0.00339,6.53,PRON,"['AE1', 'N']"
18,your,0.00339,6.53,PRON,"['Y', 'AO1', 'R']"
19,all,0.00331,6.52,ADV,"['AO1', 'L']"
20,so,0.00331,6.52,ADV,"['S', 'OW1']"
21,his,0.00324,6.51,PRON,"['HH', 'IH1', 'Z']"
22,they,0.00316,6.5,PRON,"['DH', 'EY1']"
23,me,0.00302,6.48,PRON,"['M', 'IY1']"
24,if,0.00295,6.47,SCONJ,"['IH1', 'F']"
25,one,0.00295,6.47,NUM,"['W', 'AH1', 'N']"
26,can,0.00288,6.46,AUX,"['K', 'AE1', 'N']"
27,will,0.00282,6.45,AUX,"['W', 'IH1', 'L']"
28,like,0.00257,6.41,INTJ,"['L', 'AY1', 'K']"
29,about,0.00251,6.4,ADP,"['AH0', 'B', 'AW1', 'T']"
30,up,0.00245,6.39,ADP,"['AH1', 'P']"
31,out,0.0024,6.38,ADP,"['AW1', 'T']"
32,has,0.00234,6.37,VERB,"['HH', 'AE1', 'Z']"
33,when,0.00234,6.37,SCONJ,"['W', 'EH1', 'N']"
34,more,0.00229,6.36,ADJ,"['M', 'AO1', 'R']"
35,do,0.00224,6.35,VERB,"['D', 'UW1']"
36,no,0.00224,6.35,PRON,"['N', 'OW1']"
37,were,0.00219,6.34,AUX,"['W', 'ER0']"
38,who,0.00219,6.34,PRON,"['HH', 'UW1']"
39,had,0.00214,6.33,VERB,"['HH', 'AE1', 'D']"
40,there,0.00204,6.31,PRON,"['DH', 'EH1', 'R']"
41,her,0.002,6.3,PRON,"['HH', 'ER0']"
42,which,0.002,6.3,PRON,"['W', 'IH1', 'CH']"
43,time,0.00195,6.29,NOUN,"['T', 'AY1', 'M']"
44,would,0.00186,6.27,AUX,"['W', 'UH1', 'D']"
45,she,0.00182,6.26,PRON,"['SH', 'IY1']"
46,people,0.00178,6.25,NOUN,"['P', 'IY1', 'P', 'AH0', 'L']"
47,some,0.00158,6.2,PRON,"['S', 'AH1', 'M']"
48,them,0.00155,6.19,PRON,"['DH', 'EH1', 'M']"
49,now,0.00151,6.18,ADV,"['N', 'AW1']"
50,other,0.00145,6.16,ADJ,"['AH1', 'DH', 'ER0']"
51,its,0.00138,6.14,PRON,"['IH1', 'T', 'S']"
52,our,0.00138,6.14,PRON,"['AW1', 'ER0']"
53,than,0.00135,6.13,ADP,"['DH', 'AE1', 'N']"
54,good,0.00132,6.12,ADJ,"['G', 'UH1', 'D']"
55,only,0.00132,6.12,ADV,"['OW1', 'N', 'L', 'IY0']"
56,after,0.00129,6.11,ADP,"['AE1', 'F', 'T', 'ER0']"
57,first,0.00129,6.11,ADV,"['F', 'ER1', 'S', 'T']"
58,him,0.00129,6.11,PRON,"['HH', 'IH1', 'M']"
59,into,0.00129,6.11,ADP,"['IH0', 'N', 'T', 'UW1']"
60,know,0.00126,6.1,VERB,"['N', 'OW1']"
61,see,0.00126,6.1,VERB,"['S', 'IY1']"
62,two,0.00126,6.1,NUM,"['T', 'UW1']"
63,make,0.0012,6.08,VERB,"['M', 'EY1', 'K']"
64,think,0.0012,6.08,VERB,"['TH', 'IH1', 'NG', 'K']"
65,any,0.00117,6.07,PRON,"['EH1', 'N', 'IY0']"
66,these,0.0011,6.04,PRON,"['DH', 'IY1', 'Z']"
67,us,0.0011,6.04,PRON,"['AH1', 'S']"
68,want,0.0011,6.04,VERB,"['W', 'AA1', 'N', 'T']"
69,because,0.00107,6.03,SCONJ,"['B', 'IH0', 'K', 'AO1', 'Z']"
70,go,0.00107,6.03,VERB,"['G', 'OW1']"
71,well,0.00107,6.03,ADV,"['W', 'EH1', 'L']"
72,said,0.00102,6.01,VERB,"['S', 'EH1', 'D']"
73,way,0.00102,6.01,NOUN,"['W', 'EY1']"
74,most,0.001,6.0,ADJ,"['M', 'OW1', 'S', 'T']"
75,much,0.001,6.0,ADJ,"['M', 'AH1', 'CH']"
76,very,0.001,6.0,ADV,"['V', 'EH1', 'R', 'IY0']"
77,where,0.001,6.0,SCONJ,"['W', 'EH1', 'R']"
78,even,0.000977,5.99,ADV,"['IY1', 'V', 'IH0', 'N']"
79,should,0.000977,5.99,AUX,"['SH', 'UH1', 'D']"
80,may,0.000955,5.98,AUX,"['M', 'EY1']"
81,here,0.000933,5.97,ADV,"['HH', 'IY1', 'R']"
82,need,0.000933,5.97,VERB,"['N', 'IY1', 'D']"
83,really,0.000933,5.97,ADV,"['R', 'IH1', 'L', 'IY0']"
84,did,0.000912,5.96,VERB,"['D', 'IH1', 'D']"
85,years,0.000912,5.96,NOUN,"['Y', 'IH1', 'R', 'Z']"
86,being,0.000891,5.95,AUX,"['B', 'IY1', 'IH0', 'NG']"
87,day,0.000891,5.95,NOUN,"['D', 'EY1']"
88,too,0.000891,5.95,ADV,"['T', 'UW1']"
89,going,0.000871,5.94,VERB,"['G', 'OW1', 'IH0', 'NG']"
90,off,0.000851,5.93,ADV,"['AO1', 'F']"
91,why,0.000851,5.93,SCONJ,"['W', 'AY1']"
92,made,0.000832,5.92,VERB,"['M', 'EY1', 'D']"
93,take,0.000832,5.92,VERB,"['T', 'EY1', 'K']"
94,got,0.000813,5.91,VERB,"['G', 'AA1', 'T']"
95,many,0.000813,5.91,ADJ,"['M', 'EH1', 'N', 'IY0']"
96,never,0.000813,5.91,ADV,"['N', 'EH1', 'V', 'ER0']"
97,those,0.000794,5.9,PRON,"['DH', 'OW1', 'Z']"
98,life,0.000776,5.89,NOUN,"['L', 'AY1', 'F']"
99,say,0.000776,5.89,VERB,"['S', 'EY1']"
100,down,0.000759,5.88,ADV,"['D', 'AW1', 'N']"
101,great,0.000759,5.88,ADJ,"['G', 'R', 'EY1', 'T']"
102,through,0.000741,5.87,ADP,"['TH', 'R', 'UW1']"
103,last,0.000724,5.86,ADJ,"['L', 'AE1', 'S', 'T']"
104,while,0.000724,5.86,SCONJ,"['W', 'AY1', 'L']"
105,best,0.000692,5.84,ADJ,"['B', 'EH1', 'S', 'T']"
106,such,0.000692,5.84,ADJ,"['S', 'AH1', 'CH']"
107,love,0.000661,5.82,VERB,"['L', 'AH1', 'V']"
108,man,0.000661,5.82,NOUN,"['M', 'AE1', 'N']"
109,long,0.000646,5.81,ADV,"['L', 'AO1', 'NG']"
110,look,0.000646,5.81,VERB,"['L', 'UH1', 'K']"
111,something,0.000646,5.81,PRON,"['S', 'AH1', 'M', 'TH', 'IH0', 'NG']"
112,use,0.000646,5.81,VERB,"['Y', 'UW1', 'S']"
113,used,0.000631,5.8,VERB,"['Y', 'UW1', 'Z', 'D']"
114,both,0.000617,5.79,CCONJ,"['B', 'OW1', 'TH']"
115,every,0.000617,5.79,PRON,"['EH1', 'V', 'ER0', 'IY0']"
116,am,0.000603,5.78,AUX,"['AE1', 'M']"
117,come,0.000603,5.78,VERB,"['K', 'AH1', 'M']"
118,part,0.000603,5.78,NOUN,"['P', 'AA1', 'R', 'T']"
119,around,0.000589,5.77,ADV,"['ER0', 'AW1', 'N', 'D']"
120,between,0.000589,5.77,ADP,"['B', 'IH0', 'T', 'W', 'IY1', 'N']"
121,find,0.000575,5.76,VERB,"['F', 'AY1', 'N', 'D']"
122,help,0.000562,5.75,VERB,"['HH', 'EH1', 'L', 'P']"
123,high,0.000562,5.75,ADJ,"['HH', 'AY1']"
124,old,0.000562,5.75,ADJ,"['OW1', 'L', 'D']"
125,since,0.000562,5.75,SCONJ,"['S', 'IH1', 'N', 'S']"
126,another,0.00055,5.74,PRON,"['AH0', 'N', 'AH1', 'DH', 'ER0']"
127,does,0.00055,5.74,VERB,"['D', 'AH1', 'Z']"
128,own,0.00055,5.74,VERB,"['OW1', 'N']"
129,under,0.000537,5.73,ADP,"['AH1', 'N', 'D', 'ER0']"
130,during,0.000525,5.72,ADP,"['D', 'UH1', 'R', 'IH0', 'NG']"
131,game,0.000525,5.72,NOUN,"['G', 'EY1', 'M']"
132,give,0.000513,5.71,VERB,"['G', 'IH1', 'V']"
133,house,0.000513,5.71,PROPN,"['HH', 'AW1', 'S']"
134,school,0.000513,5.71,NOUN,"['S', 'K', 'UW1', 'L']"
