Word,Lexicality,Zipf Frequency,Frequency,Phonemes,No Stress,Length,Size
sleeper's,real,1.32,low,"['S', 'L', 'IY1', 'P', 'ER0', 'Z']","['S', 'L', 'IY', 'P', 'ER', 'Z']",6,short
onward,real,3.46,low,"['AO1', 'N', 'W', 'ER0', 'D']","['AO', 'N', 'W', 'ER', 'D']",5,short
adjoins,real,2.38,low,"['AH0', 'JH', 'OY1', 'N', 'Z']","['AH', 'JH', 'OY', 'N', 'Z']",5,short
convening,real,2.76,low,"['K', 'AH0', 'N', 'V', 'IY1', 'N', 'IH0', 'NG']","['K', 'AH', 'N', 'V', 'IY', 'N', 'IH', 'NG']",8,long
solemnized,real,1.74,low,"['S', 'AA1', 'L', 'AH0', 'M', 'AY2', 'N', 'D', 'Z']","['S', 'AA', 'L', 'AH', 'M', 'AY', 'N', 'D', 'Z']",9,long
fliers,real,2.99,low,"['F', 'L', 'AY1', 'ER0', 'Z']","['F', 'L', 'AY', 'ER', 'Z']",5,short
overdose,real,3.57,high,"['OW1', 'V', 'ER0', 'D', 'OW2', 'S']","['OW', 'V', 'ER', 'D', 'OW', 'S']",6,short
attainments,real,2.08,low,"['AH0', 'T', 'EY1', 'N', 'M', 'AH0', 'N', 'T', 'S']","['AH', 'T', 'EY', 'N', 'M', 'AH', 'N', 'T', 'S']",9,long
crosscurrents,real,1.61,low,"['K', 'R', 'AO1', 'S', 'K', 'ER2', 'AH0', 'N', 'T', 'S']","['K', 'R', 'AO', 'S', 'K', 'ER', 'AH', 'N', 'T', 'S']",10,long
anarchists,real,3.17,low,"['AE1', 'N', 'ER0', 'K', 'AH0', 'S', 'T', 'S']","['AE', 'N', 'ER', 'K', 'AH', 'S', 'T', 'S']",8,long
compliance,real,4.17,high,"['K', 'AH0', 'M', 'P', 'L', 'AY1', 'AH0', 'N', 'S']","['K', 'AH', 'M', 'P', 'L', 'AY', 'AH', 'N', 'S']",9,long
collieries,real,2.54,low,"['K', 'AA1', 'L', 'ER0', 'IY0', 'Z']","['K', 'AA', 'L', 'ER', 'IY', 'Z']",6,short
beheads,real,2.03,low,"['B', 'IH0', 'HH', 'IY1', 'D', 'Z']","['B', 'IH', 'HH', 'IY', 'D', 'Z']",6,short
hidden,real,4.53,high,"['HH', 'IH1', 'D', 'AH0', 'N']","['HH', 'IH', 'D', 'AH', 'N']",5,short
angler,real,2.84,low,"['AE1', 'NG', 'G', 'L', 'ER0']","['AE', 'NG', 'G', 'L', 'ER']",5,short
hooliganism,real,2.42,low,"['HH', 'UW1', 'L', 'IH0', 'G', 'AH0', 'N', 'IH2', 'Z', 'AH0', 'M']","['HH', 'UW', 'L', 'IH', 'G', 'AH', 'N', 'IH', 'Z', 'AH', 'M']",11,long
distribution,real,4.64,high,"['D', 'IH2', 'S', 'T', 'R', 'AH0', 'B', 'Y', 'UW1', 'SH', 'AH0', 'N']","['D', 'IH', 'S', 'T', 'R', 'AH', 'B', 'Y', 'UW', 'SH', 'AH', 'N']",12,long
rotations,real,3.19,low,"['R', 'OW0', 'T', 'EY1', 'SH', 'AH0', 'N', 'Z']","['R', 'OW', 'T', 'EY', 'SH', 'AH', 'N', 'Z']",8,long
formidably,real,1.79,low,"['F', 'AO1', 'R', 'M', 'AH0', 'D', 'AH0', 'B', 'L', 'IY0']","['F', 'AO', 'R', 'M', 'AH', 'D', 'AH', 'B', 'L', 'IY']",10,long
uproarious,real,2.06,low,"['AH0', 'P', 'R', 'UW1', 'R', 'IY0', 'AH0', 'Z']","['AH', 'P', 'R', 'UW', 'R', 'IY', 'AH', 'Z']",8,long
collusion,real,3.43,low,"['K', 'AH0', 'L', 'UW1', 'ZH', 'AH0', 'N']","['K', 'AH', 'L', 'UW', 'ZH', 'AH', 'N']",7,long
inattentive,real,2.44,low,"['IH2', 'N', 'AH0', 'T', 'EH1', 'N', 'T', 'IH0', 'V']","['IH', 'N', 'AH', 'T', 'EH', 'N', 'T', 'IH', 'V']",9,long
dwarfish,real,1.57,low,"['D', 'W', 'AO1', 'R', 'F', 'IH2', 'SH']","['D', 'W', 'AO', 'R', 'F', 'IH', 'SH']",7,long
undeterred,real,2.56,low,"['AH2', 'N', 'D', 'IH0', 'T', 'ER1', 'D']","['AH', 'N', 'D', 'IH', 'T', 'ER', 'D']",7,long
miscalculating,real,1.46,low,"['M', 'IH0', 'S', 'K', 'AE1', 'L', 'K', 'Y', 'AH0', 'L', 'EY2', 'T', 'IH0', 'NG']","['M', 'IH', 'S', 'K', 'AE', 'L', 'K', 'Y', 'AH', 'L', 'EY', 'T', 'IH', 'NG']",14,long
