Unnamed: 0,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
0,decycle,long,7,,,complex,pseudo,,"['D', 'IH0', 'S', 'AY1', 'K', 'AH0', 'L']","['D', 'IH', 'S', 'AY', 'K', 'AH', 'L']",PLC
1,devably,long,7,,,complex,pseudo,,"['D', 'EH1', 'V', 'AH0', 'B', 'L', 'IY0']","['D', 'EH', 'V', 'AH', 'B', 'L', 'IY']",PLC
5,enspect,long,7,,,complex,pseudo,,"['IH0', 'N', 'S', 'P', 'EH1', 'K', 'T']","['IH', 'N', 'S', 'P', 'EH', 'K', 'T']",PLC
17,rearful,long,7,,,complex,pseudo,,"['R', 'IY0', 'AO1', 'F', 'S', 'AH0', 'L']","['R', 'IY', 'AO', 'F', 'S', 'AH', 'L']",PLC
19,remoral,long,7,,,complex,pseudo,,"['R', 'IY0', 'M', 'AO1', 'R', 'AH0', 'L']","['R', 'IY', 'M', 'AO', 'R', 'AH', 'L']",PLC
21,renstop,long,7,,,complex,pseudo,,"['R', 'EH1', 'N', 'S', 'T', 'AA2', 'P']","['R', 'EH', 'N', 'S', 'T', 'AA', 'P']",PLC
24,senstop,long,7,,,complex,pseudo,,"['S', 'EH1', 'N', 'S', 'T', 'AA2', 'P']","['S', 'EH', 'N', 'S', 'T', 'AA', 'P']",PLC
30,tenstop,long,7,,,complex,pseudo,,"['T', 'EH1', 'N', 'S', 'T', 'AH0', 'P']","['T', 'EH', 'N', 'S', 'T', 'AH', 'P']",PLC
34,dishaven,long,8,,,complex,pseudo,,"['D', 'IH0', 'S', 'HH', 'EY1', 'V', 'AH0', 'N']","['D', 'IH', 'S', 'HH', 'EY', 'V', 'AH', 'N']",PLC
35,dishonal,long,8,,,complex,pseudo,,"['D', 'IH1', 'S', 'HH', 'AH0', 'N', 'AH0', 'L']","['D', 'IH', 'S', 'HH', 'AH', 'N', 'AH', 'L']",PLC
37,egoistep,long,7,,,complex,pseudo,,"['EH1', 'G', 'AH0', 'S', 'T', 'EY2', 'P']","['EH', 'G', 'AH', 'S', 'T', 'EY', 'P']",PLC
39,entanize,long,7,,,complex,pseudo,,"['EH1', 'N', 'T', 'AH0', 'N', 'AY2', 'Z']","['EH', 'N', 'T', 'AH', 'N', 'AY', 'Z']",PLC
42,impolder,long,7,,,complex,pseudo,,"['IH0', 'M', 'P', 'OW1', 'L', 'D', 'ER0']","['IH', 'M', 'P', 'OW', 'L', 'D', 'ER']",PLC
44,overstic,long,7,,,complex,pseudo,,"['OW1', 'V', 'ER0', 'S', 'T', 'IH2', 'K']","['OW', 'V', 'ER', 'S', 'T', 'IH', 'K']",PLC
45,reimporm,long,7,,,complex,pseudo,,"['R', 'AY1', 'M', 'P', 'AO2', 'R', 'M']","['R', 'AY', 'M', 'P', 'AO', 'R', 'M']",PLC
46,reustful,long,7,,,complex,pseudo,,"['R', 'OY1', 'S', 'T', 'F', 'AH0', 'L']","['R', 'OY', 'S', 'T', 'F', 'AH', 'L']",PLC
51,sprictep,long,8,,,complex,pseudo,,"['S', 'P', 'R', 'IH1', 'K', 'T', 'EH2', 'P']","['S', 'P', 'R', 'IH', 'K', 'T', 'EH', 'P']",PLC
52,spricter,long,7,,,complex,pseudo,,"['S', 'P', 'R', 'IH1', 'K', 'T', 'ER0']","['S', 'P', 'R', 'IH', 'K', 'T', 'ER']",PLC
53,sprindly,long,8,,,complex,pseudo,,"['S', 'P', 'R', 'IH1', 'N', 'D', 'L', 'IY0']","['S', 'P', 'R', 'IH', 'N', 'D', 'L', 'IY']",PLC
