Unnamed: 0,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
2,devally,short,6,,,complex,pseudo,,"['D', 'EH1', 'V', 'AH0', 'L', 'IY0']","['D', 'EH', 'V', 'AH', 'L', 'IY']",PSC
3,dislave,short,6,,,complex,pseudo,,"['D', 'IH0', 'S', 'L', 'AA1', 'V']","['D', 'IH', 'S', 'L', 'AA', 'V']",PSC
4,enslike,short,6,,,complex,pseudo,,"['EH1', 'N', 'S', 'L', 'AY2', 'K']","['EH', 'N', 'S', 'L', 'AY', 'K']",PSC
6,fatalue,short,6,,,complex,pseudo,,"['F', 'AE1', 'T', 'AH0', 'L', 'UW2']","['F', 'AE', 'T', 'AH', 'L', 'UW']",PSC
7,fatcher,short,4,,,complex,pseudo,,"['F', 'AE1', 'CH', 'ER0']","['F', 'AE', 'CH', 'ER']",PSC
8,immover,short,5,,,complex,pseudo,,"['IH1', 'M', 'OW0', 'V', 'ER0']","['IH', 'M', 'OW', 'V', 'ER']",PSC
9,inslave,short,6,,,complex,pseudo,,"['IH0', 'N', 'S', 'L', 'EY1', 'V']","['IH', 'N', 'S', 'L', 'EY', 'V']",PSC
10,inslike,short,6,,,complex,pseudo,,"['IH1', 'L', 'N', 'S', 'AY2', 'K']","['IH', 'L', 'N', 'S', 'AY', 'K']",PSC
11,modalue,short,6,,,complex,pseudo,,"['M', 'AA1', 'D', 'AH0', 'L', 'UW2']","['M', 'AA', 'D', 'AH', 'L', 'UW']",PSC
12,movally,short,6,,,complex,pseudo,,"['M', 'UW1', 'V', 'AH0', 'L', 'IY0']","['M', 'UW', 'V', 'AH', 'L', 'IY']",PSC
13,movalue,short,6,,,complex,pseudo,,"['M', 'OW1', 'V', 'AH0', 'L', 'UW2']","['M', 'OW', 'V', 'AH', 'L', 'UW']",PSC
14,nonsory,short,6,,,complex,pseudo,,"['N', 'AA1', 'N', 'S', 'ER0', 'IY0']","['N', 'AA', 'N', 'S', 'ER', 'IY']",PSC
15,nonstor,short,6,,,complex,pseudo,,"['N', 'AA1', 'N', 'S', 'T', 'ER0']","['N', 'AA', 'N', 'S', 'T', 'ER']",PSC
16,reactop,short,6,,,complex,pseudo,,"['R', 'IY1', 'K', 'T', 'AA2', 'P']","['R', 'IY', 'K', 'T', 'AA', 'P']",PSC
18,recoder,short,6,,,complex,pseudo,,"['R', 'IY0', 'K', 'OW1', 'D', 'ER0']","['R', 'IY', 'K', 'OW', 'D', 'ER']",PSC
20,rensory,short,6,,,complex,pseudo,,"['R', 'EH1', 'N', 'S', 'ER0', 'IY0']","['R', 'EH', 'N', 'S', 'ER', 'IY']",PSC
22,renstor,short,6,,,complex,pseudo,,"['R', 'EH1', 'N', 'S', 'T', 'ER0']","['R', 'EH', 'N', 'S', 'T', 'ER']",PSC
23,senewal,short,6,,,complex,pseudo,,"['S', 'EH1', 'N', 'W', 'AH0', 'L']","['S', 'EH', 'N', 'W', 'AH', 'L']",PSC
25,senstor,short,6,,,complex,pseudo,,"['S', 'EH1', 'N', 'S', 'T', 'ER0']","['S', 'EH', 'N', 'S', 'T', 'ER']",PSC
26,teactop,short,6,,,complex,pseudo,,"['T', 'IY1', 'K', 'T', 'AA2', 'P']","['T', 'IY', 'K', 'T', 'AA', 'P']",PSC
27,teactor,short,5,,,complex,pseudo,,"['T', 'IY1', 'K', 'T', 'ER0']","['T', 'IY', 'K', 'T', 'ER']",PSC
28,tenewal,short,6,,,complex,pseudo,,"['T', 'EH1', 'N', 'W', 'AH0', 'L']","['T', 'EH', 'N', 'W', 'AH', 'L']",PSC
29,tensory,short,6,,,complex,pseudo,,"['T', 'EH1', 'N', 'S', 'ER0', 'IY0']","['T', 'EH', 'N', 'S', 'ER', 'IY']",PSC
31,tenstor,short,6,,,complex,pseudo,,"['T', 'EH1', 'N', 'S', 'T', 'ER0']","['T', 'EH', 'N', 'S', 'T', 'ER']",PSC
32,watally,short,6,,,complex,pseudo,,"['W', 'AO1', 'T', 'AH0', 'L', 'IY0']","['W', 'AO', 'T', 'AH', 'L', 'IY']",PSC
33,watalue,short,6,,,complex,pseudo,,"['W', 'AO1', 'T', 'AH0', 'L', 'AW0']","['W', 'AO', 'T', 'AH', 'L', 'AW']",PSC
36,egoisely,short,6,,,complex,pseudo,,"['IY1', 'JH', 'AH0', 'S', 'L', 'IY0']","['IY', 'JH', 'AH', 'S', 'L', 'IY']",PSC
38,egoister,short,6,,,complex,pseudo,,"['IY1', 'G', 'AH0', 'S', 'T', 'ER0']","['IY', 'G', 'AH', 'S', 'T', 'ER']",PSC
40,fourness,short,6,,,complex,pseudo,,"['F', 'AO1', 'R', 'N', 'AH0', 'S']","['F', 'AO', 'R', 'N', 'AH', 'S']",PSC
41,fourtive,short,6,,,complex,pseudo,,"['F', 'AO1', 'R', 'T', 'IH0', 'V']","['F', 'AO', 'R', 'T', 'IH', 'V']",PSC
43,overster,short,6,,,complex,pseudo,,"['OW1', 'V', 'ER0', 'S', 'T', 'ER0']","['OW', 'V', 'ER', 'S', 'T', 'ER']",PSC
47,reustler,short,6,,,complex,pseudo,,"['R', 'OY1', 'S', 'T', 'L', 'ER0']","['R', 'OY', 'S', 'T', 'L', 'ER']",PSC
48,searless,short,5,,,complex,pseudo,,"['S', 'ER1', 'L', 'AH0', 'S']","['S', 'ER', 'L', 'AH', 'S']",PSC
49,seasonor,short,6,,,complex,pseudo,,"['S', 'IY1', 'Z', 'AH0', 'N', 'ER0']","['S', 'IY', 'Z', 'AH', 'N', 'ER']",PSC
50,sourtive,short,6,,,complex,pseudo,,"['S', 'AO1', 'R', 'T', 'IH0', 'V']","['S', 'AO', 'R', 'T', 'IH', 'V']",PSC
60,teasonor,short,6,,,complex,pseudo,,"['T', 'IY1', 'Z', 'AH0', 'N', 'ER0']","['T', 'IY', 'Z', 'AH', 'N', 'ER']",PSC
67,unshonor,short,6,,,complex,pseudo,,"['AH0', 'N', 'SH', 'AA1', 'N', 'ER0']","['AH', 'N', 'SH', 'AA', 'N', 'ER']",PSC
81,discreach,short,6,,,complex,pseudo,,"['D', 'IH1', 'S', 'K', 'R', 'IY0']","['D', 'IH', 'S', 'K', 'R', 'IY']",PSC
89,immerlize,short,6,,,complex,pseudo,,"['IH1', 'M', 'ER0', 'L', 'AY2', 'Z']","['IH', 'M', 'ER', 'L', 'AY', 'Z']",PSC
90,immerpass,short,6,,,complex,pseudo,,"['IH1', 'M', 'ER0', 'P', 'AE2', 'S']","['IH', 'M', 'ER', 'P', 'AE', 'S']",PSC
92,immertile,short,6,,,complex,pseudo,,"['IH1', 'M', 'ER0', 'T', 'IH0', 'L']","['IH', 'M', 'ER', 'T', 'IH', 'L']",PSC
93,immorance,short,6,,,complex,pseudo,,"['IH1', 'M', 'ER0', 'AH0', 'N', 'S']","['IH', 'M', 'ER', 'AH', 'N', 'S']",PSC
105,overiline,short,6,,,complex,pseudo,,"['OW1', 'V', 'ER0', 'L', 'AY2', 'N']","['OW', 'V', 'ER', 'L', 'AY', 'N']",PSC
108,overreate,short,6,,,complex,pseudo,,"['OW1', 'V', 'ER0', 'R', 'IY2', 'T']","['OW', 'V', 'ER', 'R', 'IY', 'T']",PSC
133,sterreach,short,6,,,complex,pseudo,,"['S', 'T', 'EH1', 'R', 'IY0', 'K']","['S', 'T', 'EH', 'R', 'IY', 'K']",PSC
147,uneartile,short,6,,,complex,pseudo,,"['AH0', 'N', 'ER1', 'T', 'AH0', 'L']","['AH', 'N', 'ER', 'T', 'AH', 'L']",PSC
153,unnaturse,short,6,,,complex,pseudo,,"['AH0', 'N', 'AE1', 'CH', 'AH0', 'S']","['AH', 'N', 'AE', 'CH', 'AH', 'S']",PSC
158,weimburse,short,6,,,complex,pseudo,,"['W', 'AY1', 'M', 'B', 'ER2', 'S']","['W', 'AY', 'M', 'B', 'ER', 'S']",PSC
171,woodorize,short,6,,,complex,pseudo,,"['W', 'UH1', 'D', 'ER0', 'AY2', 'Z']","['W', 'UH', 'D', 'ER', 'AY', 'Z']",PSC
173,yellowess,short,6,,,complex,pseudo,,"['Y', 'EH1', 'L', 'OW0', 'IH0', 'S']","['Y', 'EH', 'L', 'OW', 'IH', 'S']",PSC
175,dislave,short,6,,,complex,pseudo,,"['D', 'IH0', 'S', 'L', 'AA1', 'V']","['D', 'IH', 'S', 'L', 'AA', 'V']",PSC
176,enslike,short,6,,,complex,pseudo,,"['EH1', 'N', 'S', 'L', 'AY2', 'K']","['EH', 'N', 'S', 'L', 'AY', 'K']",PSC
178,fatalue,short,6,,,complex,pseudo,,"['F', 'AE1', 'T', 'AH0', 'L', 'UW2']","['F', 'AE', 'T', 'AH', 'L', 'UW']",PSC
179,fatcher,short,4,,,complex,pseudo,,"['F', 'AE1', 'CH', 'ER0']","['F', 'AE', 'CH', 'ER']",PSC
180,immover,short,5,,,complex,pseudo,,"['IH1', 'M', 'OW0', 'V', 'ER0']","['IH', 'M', 'OW', 'V', 'ER']",PSC
