Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
difference,real,5.01,high,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'S']",7,long,complex,RLCH,,,,,"['D', 'IH', 'F', 'ER', 'AH', 'N', 'S']"
exposed,real,4.51,high,"['IH0', 'K', 'S', 'P', 'OW1', 'Z', 'D']",7,long,complex,RLCH,,,,,"['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']"
partisan,real,3.81,high,"['P', 'AA1', 'R', 'T', 'AH0', 'Z', 'AH0', 'N']",8,long,complex,RLCH,,,,,"['P', 'AA', 'R', 'T', 'AH', 'Z', 'AH', 'N']"
proclaimed,real,3.77,high,"['P', 'R', 'OW0', 'K', 'L', 'EY1', 'M', 'D']",8,long,complex,RLCH,,,,,"['P', 'R', 'OW', 'K', 'L', 'EY', 'M', 'D']"
membership,real,4.47,high,"['M', 'EH1', 'M', 'B', 'ER0', 'SH', 'IH2', 'P']",8,long,complex,RLCH,,,,,"['M', 'EH', 'M', 'B', 'ER', 'SH', 'IH', 'P']"
egyptian,real,4.21,high,"['IH0', 'JH', 'IH1', 'P', 'SH', 'AH0', 'N']",7,long,complex,RLCH,,,,,"['IH', 'JH', 'IH', 'P', 'SH', 'AH', 'N']"
cooperate,real,3.79,high,"['K', 'OW0', 'AA1', 'P', 'ER0', 'EY2', 'T']",7,long,complex,RLCH,,,,,"['K', 'OW', 'AA', 'P', 'ER', 'EY', 'T']"
declines,real,3.53,high,"['D', 'IH0', 'K', 'L', 'AY1', 'N', 'Z']",7,long,complex,RLCH,,,,,"['D', 'IH', 'K', 'L', 'AY', 'N', 'Z']"
illnesses,real,3.67,high,"['IH1', 'L', 'N', 'AH0', 'S', 'IH0', 'Z']",7,long,complex,RLCH,,,,,"['IH', 'L', 'N', 'AH', 'S', 'IH', 'Z']"
employment,real,4.56,high,"['EH0', 'M', 'P', 'L', 'OY1', 'M', 'AH0', 'N', 'T']",9,long,complex,RLCH,,,,,"['EH', 'M', 'P', 'L', 'OY', 'M', 'AH', 'N', 'T']"
removal,real,4.35,high,"['R', 'IH0', 'M', 'UW1', 'V', 'AH0', 'L']",7,long,complex,RLCH,,,,,"['R', 'IH', 'M', 'UW', 'V', 'AH', 'L']"
patriot,real,3.73,high,"['P', 'EY1', 'T', 'R', 'IY0', 'AH0', 'T']",7,long,complex,RLCH,,,,,"['P', 'EY', 'T', 'R', 'IY', 'AH', 'T']"
awareness,real,4.44,high,"['AH0', 'W', 'EH1', 'R', 'N', 'AH0', 'S']",7,long,complex,RLCH,,,,,"['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']"
depicted,real,3.77,high,"['D', 'IH0', 'P', 'IH1', 'K', 'T', 'AH0', 'D']",8,long,complex,RLCH,,,,,"['D', 'IH', 'P', 'IH', 'K', 'T', 'AH', 'D']"
nutrient,real,3.51,high,"['N', 'UW1', 'T', 'R', 'IY0', 'AH0', 'N', 'T']",8,long,complex,RLCH,,,,,"['N', 'UW', 'T', 'R', 'IY', 'AH', 'N', 'T']"
extension,real,4.46,high,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']",9,long,complex,RLCH,,,,,"['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']"
subjected,real,3.86,high,"['S', 'AH0', 'B', 'JH', 'EH1', 'K', 'T', 'IH0', 'D']",9,long,complex,RLCH,,,,,"['S', 'AH', 'B', 'JH', 'EH', 'K', 'T', 'IH', 'D']"
