Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
extrusion,real,2.76,low,"['IH0', 'K', 'S', 'T', 'R', 'UW1', 'ZH', 'AH0', 'N']",9,long,complex,RLCL,,,,,"['IH', 'K', 'S', 'T', 'R', 'UW', 'ZH', 'AH', 'N']"
exorcized,real,1.21,low,"['EH1', 'K', 'S', 'ER0', 'S', 'AY2', 'Z', 'D']",8,long,complex,RLCL,,,,,"['EH', 'K', 'S', 'ER', 'S', 'AY', 'Z', 'D']"
retooling,real,2.21,low,"['R', 'IY0', 'T', 'UW1', 'L', 'IH0', 'NG']",7,long,complex,RLCL,,,,,"['R', 'IY', 'T', 'UW', 'L', 'IH', 'NG']"
residuary,real,1.78,low,"['R', 'EH1', 'Z', 'IH0', 'D', 'AO2', 'R', 'IY0']",8,long,complex,RLCL,,,,,"['R', 'EH', 'Z', 'IH', 'D', 'AO', 'R', 'IY']"
arraignment,real,2.8,low,"['ER0', 'EY1', 'N', 'M', 'AH0', 'N', 'T']",7,long,complex,RLCL,,,,,"['ER', 'EY', 'N', 'M', 'AH', 'N', 'T']"
blearily,real,1.28,low,"['B', 'L', 'IH1', 'R', 'AH0', 'L', 'IY0']",7,long,complex,RLCL,,,,,"['B', 'L', 'IH', 'R', 'AH', 'L', 'IY']"
transverse,real,3.27,low,"['T', 'R', 'AE0', 'N', 'Z', 'V', 'ER1', 'S']",8,long,complex,RLCL,,,,,"['T', 'R', 'AE', 'N', 'Z', 'V', 'ER', 'S']"
defaulters,real,2.17,low,"['D', 'IH0', 'F', 'AO1', 'L', 'T', 'ER0', 'Z']",8,long,complex,RLCL,,,,,"['D', 'IH', 'F', 'AO', 'L', 'T', 'ER', 'Z']"
migrating,real,3.25,low,"['M', 'AY1', 'G', 'R', 'EY2', 'T', 'IH0', 'NG']",8,long,complex,RLCL,,,,,"['M', 'AY', 'G', 'R', 'EY', 'T', 'IH', 'NG']"
upholsterer,real,1.89,low,"['AH0', 'P', 'OW1', 'L', 'S', 'T', 'ER0', 'R']",8,long,complex,RLCL,,,,,"['AH', 'P', 'OW', 'L', 'S', 'T', 'ER', 'R']"
unpacking,real,2.89,low,"['AH0', 'N', 'P', 'AE1', 'K', 'IH0', 'NG']",7,long,complex,RLCL,,,,,"['AH', 'N', 'P', 'AE', 'K', 'IH', 'NG']"
singable,real,1.56,low,"['S', 'IH1', 'NG', 'G', 'AH0', 'B', 'AH0', 'L']",8,long,complex,RLCL,,,,,"['S', 'IH', 'NG', 'G', 'AH', 'B', 'AH', 'L']"
appraisal,real,3.43,low,"['AH0', 'P', 'R', 'EY1', 'Z', 'AH0', 'L']",7,long,complex,RLCL,,,,,"['AH', 'P', 'R', 'EY', 'Z', 'AH', 'L']"
starveling,real,1.23,low,"['S', 'T', 'AA1', 'R', 'V', 'AH0', 'L', 'IH0', 'NG']",9,long,complex,RLCL,,,,,"['S', 'T', 'AA', 'R', 'V', 'AH', 'L', 'IH', 'NG']"
hollowly,real,1.32,low,"['HH', 'AA1', 'L', 'AH0', 'W', 'L', 'IY0']",7,long,complex,RLCL,,,,,"['HH', 'AA', 'L', 'AH', 'W', 'L', 'IY']"
unquenched,real,1.16,low,"['AH0', 'N', 'K', 'AH1', 'N', 'T', 'IH0', 'D']",8,long,complex,RLCL,,,,,"['AH', 'N', 'K', 'AH', 'N', 'T', 'IH', 'D']"
alliterate,real,1.07,low,"['AH0', 'L', 'IH1', 'T', 'ER0', 'AH0', 'T']",7,long,complex,RLCL,,,,,"['AH', 'L', 'IH', 'T', 'ER', 'AH', 'T']"
genitives,real,1.03,low,"['JH', 'EH1', 'N', 'AH0', 'T', 'IH0', 'V', 'Z']",8,long,complex,RLCL,,,,,"['JH', 'EH', 'N', 'AH', 'T', 'IH', 'V', 'Z']"
debaucheries,real,1.21,low,"['D', 'AH0', 'B', 'AA1', 'CH', 'ER0', 'IY0', 'Z']",8,long,complex,RLCL,,,,,"['D', 'AH', 'B', 'AA', 'CH', 'ER', 'IY', 'Z']"
enzymatic,real,2.77,low,"['EH2', 'N', 'Z', 'AY0', 'M', 'AE1', 'T', 'IH0', 'K']",9,long,complex,RLCL,,,,,"['EH', 'N', 'Z', 'AY', 'M', 'AE', 'T', 'IH', 'K']"
overwhelms,real,2.57,low,"['OW2', 'V', 'ER0', 'W', 'EH1', 'L', 'M', 'Z']",8,long,complex,RLCL,,,,,"['OW', 'V', 'ER', 'W', 'EH', 'L', 'M', 'Z']"
