Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
abandon,real,4.02,high,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N']",7,long,simple,RLSH,,,,,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N']"
abraham,real,3.98,high,"['EY1', 'B', 'R', 'AH0', 'HH', 'AE2', 'M']",7,long,simple,RLSH,,,,,"['EY', 'B', 'R', 'AH', 'HH', 'AE', 'M']"
accident,real,4.71,high,"['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T']",8,long,simple,RLSH,,,,,"['AE', 'K', 'S', 'AH', 'D', 'AH', 'N', 'T']"
adjacent,real,4.12,high,"['AH0', 'JH', 'EY1', 'S', 'AH0', 'N', 'T']",7,long,simple,RLSH,,,,,"['AH', 'JH', 'EY', 'S', 'AH', 'N', 'T']"
alabama,real,4.26,high,"['AE2', 'L', 'AH0', 'B', 'AE1', 'M', 'AH0']",7,long,simple,RLSH,,,,,"['AE', 'L', 'AH', 'B', 'AE', 'M', 'AH']"
alcohol,real,4.61,high,"['AE1', 'L', 'K', 'AH0', 'HH', 'AA2', 'L']",7,long,simple,RLSH,,,,,"['AE', 'L', 'K', 'AH', 'HH', 'AA', 'L']"
algebra,real,3.77,high,"['AE1', 'L', 'JH', 'AH0', 'B', 'R', 'AH0']",7,long,simple,RLSH,,,,,"['AE', 'L', 'JH', 'AH', 'B', 'R', 'AH']"
america,real,5.22,high,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0']",7,long,simple,RLSH,,,,,"['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH']"
amnesty,real,3.63,high,"['AE1', 'M', 'N', 'AH0', 'S', 'T', 'IY0']",7,long,simple,RLSH,,,,,"['AE', 'M', 'N', 'AH', 'S', 'T', 'IY']"
apocalypse,real,3.71,high,"['AH0', 'P', 'AA1', 'K', 'AH0', 'L', 'IH2', 'P', 'S']",9,long,simple,RLSH,,,,,"['AH', 'P', 'AA', 'K', 'AH', 'L', 'IH', 'P', 'S']"
arkansas,real,4.05,high,"['AA1', 'R', 'K', 'AH0', 'N', 'S', 'AA2']",7,long,simple,RLSH,,,,,"['AA', 'R', 'K', 'AH', 'N', 'S', 'AA']"
arrogant,real,3.74,high,"['EH1', 'R', 'AH0', 'G', 'AH0', 'N', 'T']",7,long,simple,RLSH,,,,,"['EH', 'R', 'AH', 'G', 'AH', 'N', 'T']"
arsenal,real,4.31,high,"['AA1', 'R', 'S', 'AH0', 'N', 'AH0', 'L']",7,long,simple,RLSH,,,,,"['AA', 'R', 'S', 'AH', 'N', 'AH', 'L']"
arthritis,real,3.61,high,"['AA0', 'R', 'TH', 'R', 'AY1', 'T', 'AH0', 'S']",8,long,simple,RLSH,,,,,"['AA', 'R', 'TH', 'R', 'AY', 'T', 'AH', 'S']"
babylon,real,3.54,high,"['B', 'AE1', 'B', 'AH0', 'L', 'AA2', 'N']",7,long,simple,RLSH,,,,,"['B', 'AE', 'B', 'AH', 'L', 'AA', 'N']"
barbecue,real,3.62,high,"['B', 'AA1', 'R', 'B', 'IH0', 'K', 'Y', 'UW2']",8,long,simple,RLSH,,,,,"['B', 'AA', 'R', 'B', 'IH', 'K', 'Y', 'UW']"
boulevard,real,3.7,high,"['B', 'UH1', 'L', 'AH0', 'V', 'AA2', 'R', 'D']",8,long,simple,RLSH,,,,,"['B', 'UH', 'L', 'AH', 'V', 'AA', 'R', 'D']"
caribbean,real,4.12,high,"['K', 'ER0', 'IH1', 'B', 'IY0', 'AH0', 'N']",7,long,simple,RLSH,,,,,"['K', 'ER', 'IH', 'B', 'IY', 'AH', 'N']"
connecticut,real,4.11,high,"['K', 'AH0', 'N', 'EH1', 'T', 'AH0', 'K', 'AH0', 'T']",9,long,simple,RLSH,,,,,"['K', 'AH', 'N', 'EH', 'T', 'AH', 'K', 'AH', 'T']"
casual,real,4.23,high,"['K', 'AE1', 'ZH', 'AH0', 'W', 'AH0', 'L']",7,long,simple,RLSH,,,,,"['K', 'AE', 'ZH', 'AH', 'W', 'AH', 'L']"
deputy,real,4.55,high,"['D', 'EH1', 'P', 'Y', 'AH0', 'T', 'IY0']",7,long,simple,RLSH,,,,,"['D', 'EH', 'P', 'Y', 'AH', 'T', 'IY']"
dimension,real,4.02,high,"['D', 'IH0', 'M', 'EH1', 'N', 'SH', 'AH0', 'N']",8,long,simple,RLSH,,,,,"['D', 'IH', 'M', 'EH', 'N', 'SH', 'AH', 'N']"
elephant,real,4.08,high,"['EH1', 'L', 'AH0', 'F', 'AH0', 'N', 'T']",7,long,simple,RLSH,,,,,"['EH', 'L', 'AH', 'F', 'AH', 'N', 'T']"
faculty,real,4.32,high,"['F', 'AE1', 'K', 'AH0', 'L', 'T', 'IY0']",7,long,simple,RLSH,,,,,"['F', 'AE', 'K', 'AH', 'L', 'T', 'IY']"
fantasy,real,4.52,high,"['F', 'AE1', 'N', 'T', 'AH0', 'S', 'IY0']",7,long,simple,RLSH,,,,,"['F', 'AE', 'N', 'T', 'AH', 'S', 'IY']"
february,real,5.03,high,"['F', 'EH1', 'B', 'Y', 'AH0', 'W', 'EH2', 'R', 'IY0']",9,long,simple,RLSH,,,,,"['F', 'EH', 'B', 'Y', 'AH', 'W', 'EH', 'R', 'IY']"
galaxy,real,4.28,high,"['G', 'AE1', 'L', 'AH0', 'K', 'S', 'IY0']",7,long,simple,RLSH,,,,,"['G', 'AE', 'L', 'AH', 'K', 'S', 'IY']"
garment,real,3.59,high,"['G', 'AA1', 'R', 'M', 'AH0', 'N', 'T']",7,long,simple,RLSH,,,,,"['G', 'AA', 'R', 'M', 'AH', 'N', 'T']"
harvest,real,4.03,high,"['HH', 'AA1', 'R', 'V', 'AH0', 'S', 'T']",7,long,simple,RLSH,,,,,"['HH', 'AA', 'R', 'V', 'AH', 'S', 'T']"
hospital,real,5.07,high,"['HH', 'AA1', 'S', 'P', 'IH2', 'T', 'AH0', 'L']",8,long,simple,RLSH,,,,,"['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L']"
husband,real,5.0,high,"['HH', 'AH1', 'Z', 'B', 'AH0', 'N', 'D']",7,long,simple,RLSH,,,,,"['HH', 'AH', 'Z', 'B', 'AH', 'N', 'D']"
