Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
daffodil,real,2.56,low,"['D', 'AE1', 'F', 'AH0', 'D', 'IH2', 'L']",7,long,simple,RLSL,,,,,"['D', 'AE', 'F', 'AH', 'D', 'IH', 'L']"
dalmatian,real,2.66,low,"['D', 'AE0', 'L', 'M', 'EY1', 'SH', 'AH0', 'N']",8,long,simple,RLSL,,,,,"['D', 'AE', 'L', 'M', 'EY', 'SH', 'AH', 'N']"
debacle,real,3.21,low,"['D', 'AH0', 'B', 'AA1', 'K', 'AH0', 'L']",7,long,simple,RLSL,,,,,"['D', 'AH', 'B', 'AA', 'K', 'AH', 'L']"
fahrenheit,real,3.24,low,"['F', 'EH1', 'R', 'AH0', 'N', 'HH', 'AY2', 'T']",8,long,simple,RLSL,,,,,"['F', 'EH', 'R', 'AH', 'N', 'HH', 'AY', 'T']"
falsetto,real,2.69,low,"['F', 'AO0', 'L', 'S', 'EH1', 'T', 'OW2']",7,long,simple,RLSL,,,,,"['F', 'AO', 'L', 'S', 'EH', 'T', 'OW']"
fandango,real,2.68,low,"['F', 'AE0', 'N', 'D', 'AE1', 'NG', 'G', 'OW2']",8,long,simple,RLSL,,,,,"['F', 'AE', 'N', 'D', 'AE', 'NG', 'G', 'OW']"
galapagos,real,2.92,low,"['G', 'AH0', 'L', 'AA1', 'P', 'AH0', 'G', 'OW0', 'Z']",9,long,simple,RLSL,,,,,"['G', 'AH', 'L', 'AA', 'P', 'AH', 'G', 'OW', 'Z']"
gastric,real,3.3,low,"['G', 'AE1', 'S', 'T', 'R', 'IH0', 'K']",7,long,simple,RLSL,,,,,"['G', 'AE', 'S', 'T', 'R', 'IH', 'K']"
gauntlet,real,3.14,low,"['G', 'AO1', 'N', 'T', 'L', 'AH0', 'T']",7,long,simple,RLSL,,,,,"['G', 'AO', 'N', 'T', 'L', 'AH', 'T']"
gibraltar,real,3.35,low,"['JH', 'IH0', 'B', 'R', 'AO1', 'L', 'T', 'ER0']",8,long,simple,RLSL,,,,,"['JH', 'IH', 'B', 'R', 'AO', 'L', 'T', 'ER']"
