Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
deeper,real,4.3,high,"['D', 'IY1', 'P', 'ER0']",4,short,complex,RSCH,,,,,"['D', 'IY', 'P', 'ER']"
owner,real,4.83,high,"['OW1', 'N', 'ER0']",3,short,complex,RSCH,,,,,"['OW', 'N', 'ER']"
imposed,real,4.16,high,"['IH0', 'M', 'P', 'OW1', 'Z', 'D']",6,short,complex,RSCH,,,,,"['IH', 'M', 'P', 'OW', 'Z', 'D']"
local,real,5.43,high,"['L', 'OW1', 'K', 'AH0', 'L']",5,short,complex,RSCH,,,,,"['L', 'OW', 'K', 'AH', 'L']"
smarter,real,3.91,high,"['S', 'M', 'AA1', 'R', 'T', 'ER0']",6,short,complex,RSCH,,,,,"['S', 'M', 'AA', 'R', 'T', 'ER']"
softly,real,3.77,high,"['S', 'AO1', 'F', 'T', 'L', 'IY0']",6,short,complex,RSCH,,,,,"['S', 'AO', 'F', 'T', 'L', 'IY']"
hopeless,real,3.71,high,"['HH', 'OW1', 'P', 'L', 'AH0', 'S']",6,short,complex,RSCH,,,,,"['HH', 'OW', 'P', 'L', 'AH', 'S']"
focus,real,5.0,high,"['F', 'OW1', 'K', 'AH0', 'S']",5,short,complex,RSCH,,,,,"['F', 'OW', 'K', 'AH', 'S']"
renamed,real,3.54,high,"['R', 'IY0', 'N', 'EY1', 'M', 'D']",6,short,complex,RSCH,,,,,"['R', 'IY', 'N', 'EY', 'M', 'D']"
caller,real,3.61,high,"['K', 'AO1', 'L', 'ER0']",4,short,complex,RSCH,,,,,"['K', 'AO', 'L', 'ER']"
favorite,real,4.97,high,"['F', 'EY1', 'V', 'ER0', 'IH0', 'T']",6,short,complex,RSCH,,,,,"['F', 'EY', 'V', 'ER', 'IH', 'T']"
overly,real,3.83,high,"['OW1', 'V', 'ER0', 'L', 'IY0']",5,short,complex,RSCH,,,,,"['OW', 'V', 'ER', 'L', 'IY']"
governor,real,4.71,high,"['G', 'AH1', 'V', 'ER0', 'N', 'ER0']",6,short,complex,RSCH,,,,,"['G', 'AH', 'V', 'ER', 'N', 'ER']"
highly,real,4.89,high,"['HH', 'AY1', 'L', 'IY0']",4,short,complex,RSCH,,,,,"['HH', 'AY', 'L', 'IY']"
divers,real,3.63,high,"['D', 'AY1', 'V', 'ER0', 'Z']",5,short,complex,RSCH,,,,,"['D', 'AY', 'V', 'ER', 'Z']"
undo,real,3.57,high,"['AH0', 'N', 'D', 'UW1']",4,short,complex,RSCH,,,,,"['AH', 'N', 'D', 'UW']"
greater,real,4.9,high,"['G', 'R', 'EY1', 'T', 'ER0']",5,short,complex,RSCH,,,,,"['G', 'R', 'EY', 'T', 'ER']"
painful,real,4.32,high,"['P', 'EY1', 'N', 'F', 'AH0', 'L']",6,short,complex,RSCH,,,,,"['P', 'EY', 'N', 'F', 'AH', 'L']"
needy,real,3.58,high,"['N', 'IY1', 'D', 'IY0']",4,short,complex,RSCH,,,,,"['N', 'IY', 'D', 'IY']"
effects,real,4.89,high,"['IH0', 'F', 'EH1', 'K', 'T', 'S']",6,short,complex,RSCH,,,,,"['IH', 'F', 'EH', 'K', 'T', 'S']"
report,real,5.32,high,"['R', 'IY0', 'P', 'AO1', 'R', 'T']",6,short,complex,RSCH,,,,,"['R', 'IY', 'P', 'AO', 'R', 'T']"
memory,real,4.81,high,"['M', 'EH1', 'M', 'ER0', 'IY0']",5,short,complex,RSCH,,,,,"['M', 'EH', 'M', 'ER', 'IY']"
sixth,real,4.38,high,"['S', 'IH1', 'K', 'S', 'TH']",5,short,complex,RSCH,,,,,"['S', 'IH', 'K', 'S', 'TH']"
poorly,real,4.1,high,"['P', 'UH1', 'R', 'L', 'IY0']",5,short,complex,RSCH,,,,,"['P', 'UH', 'R', 'L', 'IY']"
header,real,3.88,high,"['HH', 'EH1', 'D', 'ER0']",4,short,complex,RSCH,,,,,"['HH', 'EH', 'D', 'ER']"
happily,real,4.11,high,"['HH', 'AE1', 'P', 'AH0', 'L', 'IY0']",6,short,complex,RSCH,,,,,"['HH', 'AE', 'P', 'AH', 'L', 'IY']"
trainer,real,4.08,high,"['T', 'R', 'EY1', 'N', 'ER0']",5,short,complex,RSCH,,,,,"['T', 'R', 'EY', 'N', 'ER']"
famous,real,4.84,high,"['F', 'EY1', 'M', 'AH0', 'S']",5,short,complex,RSCH,,,,,"['F', 'EY', 'M', 'AH', 'S']"
postage,real,3.51,high,"['P', 'OW1', 'S', 'T', 'AH0', 'JH']",6,short,complex,RSCH,,,,,"['P', 'OW', 'S', 'T', 'AH', 'JH']"
repairs,real,4.08,high,"['R', 'IH0', 'P', 'EH1', 'R', 'Z']",6,short,complex,RSCH,,,,,"['R', 'IH', 'P', 'EH', 'R', 'Z']"
readers,real,4.41,high,"['R', 'IY1', 'D', 'ER0', 'Z']",5,short,complex,RSCH,,,,,"['R', 'IY', 'D', 'ER', 'Z']"
intake,real,3.98,high,"['IH1', 'N', 'T', 'EY2', 'K']",5,short,complex,RSCH,,,,,"['IH', 'N', 'T', 'EY', 'K']"
sailors,real,3.75,high,"['S', 'EY1', 'L', 'ER0', 'Z']",5,short,complex,RSCH,,,,,"['S', 'EY', 'L', 'ER', 'Z']"
founders,real,3.83,high,"['F', 'AW1', 'N', 'D', 'ER0', 'Z']",6,short,complex,RSCH,,,,,"['F', 'AW', 'N', 'D', 'ER', 'Z']"
suppress,real,3.66,high,"['S', 'AH0', 'P', 'R', 'EH1', 'S']",6,short,complex,RSCH,,,,,"['S', 'AH', 'P', 'R', 'EH', 'S']"
user,real,4.69,high,"['Y', 'UW1', 'Z', 'ER0']",4,short,complex,RSCH,,,,,"['Y', 'UW', 'Z', 'ER']"
meant,real,4.94,high,"['M', 'EH1', 'N', 'T']",4,short,complex,RSCH,,,,,"['M', 'EH', 'N', 'T']"
stronger,real,4.55,high,"['S', 'T', 'R', 'AO1', 'NG', 'ER0']",6,short,complex,RSCH,,,,,"['S', 'T', 'R', 'AO', 'NG', 'ER']"
shortage,real,3.91,high,"['SH', 'AO1', 'R', 'T', 'AH0', 'JH']",6,short,complex,RSCH,,,,,"['SH', 'AO', 'R', 'T', 'AH', 'JH']"
beware,real,3.7,high,"['B', 'IH0', 'W', 'EH1', 'R']",5,short,complex,RSCH,,,,,"['B', 'IH', 'W', 'EH', 'R']"
harder,real,4.57,high,"['HH', 'AA1', 'R', 'D', 'ER0']",5,short,complex,RSCH,,,,,"['HH', 'AA', 'R', 'D', 'ER']"
enable,real,4.3,high,"['EH0', 'N', 'EY1', 'B', 'AH0', 'L']",6,short,complex,RSCH,,,,,"['EH', 'N', 'EY', 'B', 'AH', 'L']"
dispatch,real,3.76,high,"['D', 'IH0', 'S', 'P', 'AE1', 'CH']",6,short,complex,RSCH,,,,,"['D', 'IH', 'S', 'P', 'AE', 'CH']"
insights,real,3.86,high,"['IH1', 'N', 'S', 'AY2', 'T', 'S']",6,short,complex,RSCH,,,,,"['IH', 'N', 'S', 'AY', 'T', 'S']"
moisture,real,3.9,high,"['M', 'OY1', 'S', 'CH', 'ER0']",5,short,complex,RSCH,,,,,"['M', 'OY', 'S', 'CH', 'ER']"
drivers,real,4.56,high,"['D', 'R', 'AY1', 'V', 'ER0', 'Z']",6,short,complex,RSCH,,,,,"['D', 'R', 'AY', 'V', 'ER', 'Z']"
fuzzy,real,3.65,high,"['F', 'AH1', 'Z', 'IY0']",4,short,complex,RSCH,,,,,"['F', 'AH', 'Z', 'IY']"
workers,real,4.95,high,"['W', 'ER1', 'K', 'ER0', 'Z']",5,short,complex,RSCH,,,,,"['W', 'ER', 'K', 'ER', 'Z']"
wholesome,real,3.51,high,"['HH', 'OW1', 'L', 'S', 'AH0', 'M']",6,short,complex,RSCH,,,,,"['HH', 'OW', 'L', 'S', 'AH', 'M']"
neural,real,3.76,high,"['N', 'UH1', 'R', 'AH0', 'L']",5,short,complex,RSCH,,,,,"['N', 'UH', 'R', 'AH', 'L']"
boiler,real,3.71,high,"['B', 'OY1', 'L', 'ER0']",4,short,complex,RSCH,,,,,"['B', 'OY', 'L', 'ER']"
reduce,real,4.73,high,"['R', 'AH0', 'D', 'UW1', 'S']",5,short,complex,RSCH,,,,,"['R', 'AH', 'D', 'UW', 'S']"
polar,real,3.96,high,"['P', 'OW1', 'L', 'ER0']",4,short,complex,RSCH,,,,,"['P', 'OW', 'L', 'ER']"
cuban,real,3.93,high,"['K', 'Y', 'UW1', 'B', 'AH0', 'N']",6,short,complex,RSCH,,,,,"['K', 'Y', 'UW', 'B', 'AH', 'N']"
pressures,real,3.91,high,"['P', 'R', 'EH1', 'SH', 'ER0', 'Z']",6,short,complex,RSCH,,,,,"['P', 'R', 'EH', 'SH', 'ER', 'Z']"
radius,real,3.86,high,"['R', 'EY1', 'D', 'IY0', 'AH0', 'S']",6,short,complex,RSCH,,,,,"['R', 'EY', 'D', 'IY', 'AH', 'S']"
overdose,real,3.57,high,"['OW1', 'V', 'ER0', 'D', 'OW2', 'S']",6,short,complex,RSCH,,,,,"['OW', 'V', 'ER', 'D', 'OW', 'S']"
frozen,real,4.32,high,"['F', 'R', 'OW1', 'Z', 'AH0', 'N']",6,short,complex,RSCH,,,,,"['F', 'R', 'OW', 'Z', 'AH', 'N']"
vanity,real,3.74,high,"['V', 'AE1', 'N', 'AH0', 'T', 'IY0']",6,short,complex,RSCH,,,,,"['V', 'AE', 'N', 'AH', 'T', 'IY']"
allowance,real,3.85,high,"['AH0', 'L', 'AW1', 'AH0', 'N', 'S']",6,short,complex,RSCH,,,,,"['AH', 'L', 'AW', 'AH', 'N', 'S']"
enrolled,real,3.92,high,"['EH0', 'N', 'R', 'OW1', 'L', 'D']",6,short,complex,RSCH,,,,,"['EH', 'N', 'R', 'OW', 'L', 'D']"
lunar,real,3.77,high,"['L', 'UW1', 'N', 'ER0']",4,short,complex,RSCH,,,,,"['L', 'UW', 'N', 'ER']"
safer,real,4.09,high,"['S', 'EY1', 'F', 'ER0']",4,short,complex,RSCH,,,,,"['S', 'EY', 'F', 'ER']"
impaired,real,3.68,high,"['IH0', 'M', 'P', 'EH1', 'R', 'D']",6,short,complex,RSCH,,,,,"['IH', 'M', 'P', 'EH', 'R', 'D']"
spicy,real,3.8,high,"['S', 'P', 'AY1', 'S', 'IY0']",5,short,complex,RSCH,,,,,"['S', 'P', 'AY', 'S', 'IY']"
insane,real,4.4,high,"['IH0', 'N', 'S', 'EY1', 'N']",5,short,complex,RSCH,,,,,"['IH', 'N', 'S', 'EY', 'N']"
riders,real,3.99,high,"['R', 'AY1', 'D', 'ER0', 'Z']",5,short,complex,RSCH,,,,,"['R', 'AY', 'D', 'ER', 'Z']"
spanish,real,4.73,high,"['S', 'P', 'AE1', 'N', 'IH0', 'SH']",6,short,complex,RSCH,,,,,"['S', 'P', 'AE', 'N', 'IH', 'SH']"
vastly,real,3.62,high,"['V', 'AE1', 'S', 'T', 'L', 'IY0']",6,short,complex,RSCH,,,,,"['V', 'AE', 'S', 'T', 'L', 'IY']"
pointer,real,3.62,high,"['P', 'OY1', 'N', 'T', 'ER0']",5,short,complex,RSCH,,,,,"['P', 'OY', 'N', 'T', 'ER']"
pottery,real,3.7,high,"['P', 'AA1', 'T', 'ER0', 'IY0']",5,short,complex,RSCH,,,,,"['P', 'AA', 'T', 'ER', 'IY']"
viewer,real,3.77,high,"['V', 'Y', 'UW1', 'ER0']",4,short,complex,RSCH,,,,,"['V', 'Y', 'UW', 'ER']"
surreal,real,3.59,high,"['S', 'ER0', 'IY1', 'L']",4,short,complex,RSCH,,,,,"['S', 'ER', 'IY', 'L']"
outside,real,5.25,high,"['AW1', 'T', 'S', 'AY1', 'D']",5,short,complex,RSCH,,,,,"['AW', 'T', 'S', 'AY', 'D']"
heavily,real,4.54,high,"['HH', 'EH1', 'V', 'AH0', 'L', 'IY0']",6,short,complex,RSCH,,,,,"['HH', 'EH', 'V', 'AH', 'L', 'IY']"
into,real,6.11,high,"['IH0', 'N', 'T', 'UW1']",4,short,complex,RSCH,,,,,"['IH', 'N', 'T', 'UW']"
heavier,real,3.85,high,"['HH', 'EH1', 'V', 'IY0', 'ER0']",5,short,complex,RSCH,,,,,"['HH', 'EH', 'V', 'IY', 'ER']"
eighteen,real,3.81,high,"['EY0', 'T', 'IY1', 'N']",4,short,complex,RSCH,,,,,"['EY', 'T', 'IY', 'N']"
seller,real,4.01,high,"['S', 'EH1', 'L', 'ER0']",4,short,complex,RSCH,,,,,"['S', 'EH', 'L', 'ER']"
downtown,real,4.4,high,"['D', 'AW1', 'N', 'T', 'AW1', 'N']",6,short,complex,RSCH,,,,,"['D', 'AW', 'N', 'T', 'AW', 'N']"
heater,real,3.55,high,"['HH', 'IY1', 'T', 'ER0']",4,short,complex,RSCH,,,,,"['HH', 'IY', 'T', 'ER']"
server,real,4.46,high,"['S', 'ER1', 'V', 'ER0']",4,short,complex,RSCH,,,,,"['S', 'ER', 'V', 'ER']"
solar,real,4.53,high,"['S', 'OW1', 'L', 'ER0']",4,short,complex,RSCH,,,,,"['S', 'OW', 'L', 'ER']"
richer,real,3.71,high,"['R', 'IH1', 'CH', 'ER0']",4,short,complex,RSCH,,,,,"['R', 'IH', 'CH', 'ER']"
poker,real,3.97,high,"['P', 'OW1', 'K', 'ER0']",4,short,complex,RSCH,,,,,"['P', 'OW', 'K', 'ER']"
elderly,real,4.15,high,"['EH1', 'L', 'D', 'ER0', 'L', 'IY0']",6,short,complex,RSCH,,,,,"['EH', 'L', 'D', 'ER', 'L', 'IY']"
lesser,real,4.13,high,"['L', 'EH1', 'S', 'ER0']",4,short,complex,RSCH,,,,,"['L', 'EH', 'S', 'ER']"
survives,real,3.55,high,"['S', 'ER0', 'V', 'AY1', 'V', 'Z']",6,short,complex,RSCH,,,,,"['S', 'ER', 'V', 'AY', 'V', 'Z']"
rental,real,4.1,high,"['R', 'EH1', 'N', 'T', 'AH0', 'L']",6,short,complex,RSCH,,,,,"['R', 'EH', 'N', 'T', 'AH', 'L']"
fallen,real,4.39,high,"['F', 'AA1', 'L', 'AH0', 'N']",5,short,complex,RSCH,,,,,"['F', 'AA', 'L', 'AH', 'N']"
biggest,real,4.93,high,"['B', 'IH1', 'G', 'AH0', 'S', 'T']",6,short,complex,RSCH,,,,,"['B', 'IH', 'G', 'AH', 'S', 'T']"
simply,real,5.08,high,"['S', 'IH1', 'M', 'P', 'L', 'IY0']",6,short,complex,RSCH,,,,,"['S', 'IH', 'M', 'P', 'L', 'IY']"
generate,real,4.22,high,"['JH', 'EH1', 'N', 'ER0', 'EY2', 'T']",6,short,complex,RSCH,,,,,"['JH', 'EH', 'N', 'ER', 'EY', 'T']"
