Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
embitter,real,1.19,low,"['EH0', 'M', 'B', 'IH1', 'T', 'ER0']",6,short,complex,RSCL,,,,,"['EH', 'M', 'B', 'IH', 'T', 'ER']"
caterer,real,2.73,low,"['K', 'EY1', 'T', 'ER0', 'ER0']",5,short,complex,RSCL,,,,,"['K', 'EY', 'T', 'ER', 'ER']"
hustler,real,2.98,low,"['HH', 'AH1', 'S', 'AH0', 'L', 'ER0']",6,short,complex,RSCL,,,,,"['HH', 'AH', 'S', 'AH', 'L', 'ER']"
sizzler,real,2.2,low,"['S', 'IH1', 'Z', 'L', 'ER0']",5,short,complex,RSCL,,,,,"['S', 'IH', 'Z', 'L', 'ER']"
pushy,real,3.0,low,"['P', 'UH1', 'SH', 'IY0']",4,short,complex,RSCL,,,,,"['P', 'UH', 'SH', 'IY']"
outlast,real,2.81,low,"['AW1', 'T', 'L', 'AE2', 'S', 'T']",6,short,complex,RSCL,,,,,"['AW', 'T', 'L', 'AE', 'S', 'T']"
doubtless,real,3.09,low,"['D', 'AW1', 'T', 'L', 'AH0', 'S']",6,short,complex,RSCL,,,,,"['D', 'AW', 'T', 'L', 'AH', 'S']"
scourers,real,1.05,low,"['S', 'K', 'AW1', 'ER0', 'R', 'Z']",6,short,complex,RSCL,,,,,"['S', 'K', 'AW', 'ER', 'R', 'Z']"
stagers,real,1.61,low,"['S', 'T', 'EY1', 'JH', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'T', 'EY', 'JH', 'ER', 'Z']"
loiterers,real,1.37,low,"['L', 'OY1', 'T', 'ER0', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['L', 'OY', 'T', 'ER', 'ER', 'Z']"
stoical,real,1.81,low,"['S', 'T', 'OW1', 'K', 'AH0', 'L']",6,short,complex,RSCL,,,,,"['S', 'T', 'OW', 'K', 'AH', 'L']"
epilogue,real,3.13,low,"['EH1', 'P', 'AH0', 'L', 'AO2', 'G']",6,short,complex,RSCL,,,,,"['EH', 'P', 'AH', 'L', 'AO', 'G']"
duller,real,2.45,low,"['D', 'AH1', 'L', 'ER0']",4,short,complex,RSCL,,,,,"['D', 'AH', 'L', 'ER']"
wishful,real,3.11,low,"['W', 'IH1', 'SH', 'F', 'AH0', 'L']",6,short,complex,RSCL,,,,,"['W', 'IH', 'SH', 'F', 'AH', 'L']"
