Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Condition,Morphology,No Stress
tidy,real,3.53,high,"['T', 'AY1', 'D', 'IY0']",4,short,RSSH,simple,"['T', 'AY', 'D', 'IY']"
rebel,real,4.08,high,"['R', 'IH0', 'B', 'EH1', 'L']",5,short,RSSH,simple,"['R', 'IH', 'B', 'EH', 'L']"
sox,real,3.84,high,"['S', 'AA1', 'K', 'S']",4,short,RSSH,simple,"['S', 'AA', 'K', 'S']"
decree,real,3.82,high,"['D', 'IH0', 'K', 'R', 'IY1']",5,short,RSSH,simple,"['D', 'IH', 'K', 'R', 'IY']"
select,real,4.45,high,"['S', 'AH0', 'L', 'EH1', 'K', 'T']",6,short,RSSH,simple,"['S', 'AH', 'L', 'EH', 'K', 'T']"
tin,real,4.03,high,"['T', 'IH1', 'N']",3,short,RSSH,simple,"['T', 'IH', 'N']"
drawer,real,3.78,high,"['D', 'R', 'AO1', 'R']",4,short,RSSH,simple,"['D', 'R', 'AO', 'R']"
anthem,real,3.91,high,"['AE1', 'N', 'TH', 'AH0', 'M']",5,short,RSSH,simple,"['AE', 'N', 'TH', 'AH', 'M']"
half,real,5.41,high,"['HH', 'AE1', 'F']",3,short,RSSH,simple,"['HH', 'AE', 'F']"
kent,real,4.17,high,"['K', 'EH1', 'N', 'T']",4,short,RSSH,simple,"['K', 'EH', 'N', 'T']"
mature,real,4.28,high,"['M', 'AH0', 'CH', 'UH1', 'R']",5,short,RSSH,simple,"['M', 'AH', 'CH', 'UH', 'R']"
wing,real,4.61,high,"['W', 'IH1', 'NG']",3,short,RSSH,simple,"['W', 'IH', 'NG']"
petty,real,4.07,high,"['P', 'EH1', 'T', 'IY0']",4,short,RSSH,simple,"['P', 'EH', 'T', 'IY']"
step,real,5.13,high,"['S', 'T', 'EH1', 'P']",4,short,RSSH,simple,"['S', 'T', 'EH', 'P']"
grew,real,4.69,high,"['G', 'R', 'UW1']",3,short,RSSH,simple,"['G', 'R', 'UW']"
beta,real,4.2,high,"['B', 'EY1', 'T', 'AH0']",4,short,RSSH,simple,"['B', 'EY', 'T', 'AH']"
assess,real,4.07,high,"['AH0', 'S', 'EH1', 'S']",4,short,RSSH,simple,"['AH', 'S', 'EH', 'S']"
crop,real,4.15,high,"['K', 'R', 'AA1', 'P']",4,short,RSSH,simple,"['K', 'R', 'AA', 'P']"
entire,real,5.09,high,"['IH0', 'N', 'T', 'AY1', 'ER0']",5,short,RSSH,simple,"['IH', 'N', 'T', 'AY', 'ER']"
triple,real,4.31,high,"['T', 'R', 'IH1', 'P', 'AH0', 'L']",6,short,RSSH,simple,"['T', 'R', 'IH', 'P', 'AH', 'L']"
thing,real,5.72,high,"['TH', 'IH1', 'NG']",3,short,RSSH,simple,"['TH', 'IH', 'NG']"
elf,real,3.65,high,"['EH1', 'L', 'F']",3,short,RSSH,simple,"['EH', 'L', 'F']"
mice,real,4.09,high,"['M', 'AY1', 'S']",3,short,RSSH,simple,"['M', 'AY', 'S']"
choir,real,3.88,high,"['K', 'W', 'AY1', 'ER0']",4,short,RSSH,simple,"['K', 'W', 'AY', 'ER']"
boot,real,4.19,high,"['B', 'UW1', 'T']",3,short,RSSH,simple,"['B', 'UW', 'T']"
noon,real,4.11,high,"['N', 'UW1', 'N']",3,short,RSSH,simple,"['N', 'UW', 'N']"
method,real,4.8,high,"['M', 'EH1', 'TH', 'AH0', 'D']",5,short,RSSH,simple,"['M', 'EH', 'TH', 'AH', 'D']"
vault,real,3.9,high,"['V', 'AO1', 'L', 'T']",4,short,RSSH,simple,"['V', 'AO', 'L', 'T']"
belly,real,4.1,high,"['B', 'EH1', 'L', 'IY0']",4,short,RSSH,simple,"['B', 'EH', 'L', 'IY']"
home,real,5.81,high,"['HH', 'OW1', 'M']",3,short,RSSH,simple,"['HH', 'OW', 'M']"
bash,real,3.81,high,"['B', 'AE1', 'SH']",3,short,RSSH,simple,"['B', 'AE', 'SH']"
deliver,real,4.55,high,"['D', 'IH0', 'L', 'IH1', 'V', 'ER0']",6,short,RSSH,simple,"['D', 'IH', 'L', 'IH', 'V', 'ER']"
worm,real,3.77,high,"['W', 'ER1', 'M']",3,short,RSSH,simple,"['W', 'ER', 'M']"
meet,real,5.27,high,"['M', 'IY1', 'T']",3,short,RSSH,simple,"['M', 'IY', 'T']"
sketch,real,4.04,high,"['S', 'K', 'EH1', 'CH']",4,short,RSSH,simple,"['S', 'K', 'EH', 'CH']"
chest,real,4.52,high,"['CH', 'EH1', 'S', 'T']",4,short,RSSH,simple,"['CH', 'EH', 'S', 'T']"
