Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Condition,Morphology,No Stress
burrow,real,3.1,low,"['B', 'ER1', 'OW0']",3,short,RSSL,simple,"['B', 'ER', 'OW']"
revery,real,1.1,low,"['R', 'EH1', 'V', 'ER0', 'IY0']",5,short,RSSL,simple,"['R', 'EH', 'V', 'ER', 'IY']"
fisk,real,3.04,low,"['F', 'IH1', 'S', 'K']",4,short,RSSL,simple,"['F', 'IH', 'S', 'K']"
attire,real,3.49,low,"['AH0', 'T', 'AY1', 'ER0']",4,short,RSSL,simple,"['AH', 'T', 'AY', 'ER']"
skirmish,real,3.06,low,"['S', 'K', 'ER1', 'M', 'IH0', 'SH']",6,short,RSSL,simple,"['S', 'K', 'ER', 'M', 'IH', 'SH']"
cairns,real,3.29,low,"['K', 'EH1', 'R', 'N', 'Z']",5,short,RSSL,simple,"['K', 'EH', 'R', 'N', 'Z']"
barge,real,3.5,low,"['B', 'AA1', 'R', 'JH']",4,short,RSSL,simple,"['B', 'AA', 'R', 'JH']"
apropos,real,2.69,low,"['AE2', 'P', 'R', 'AH0', 'P', 'OW1']",6,short,RSSL,simple,"['AE', 'P', 'R', 'AH', 'P', 'OW']"
dogma,real,3.27,low,"['D', 'AA1', 'G', 'M', 'AH0']",5,short,RSSL,simple,"['D', 'AA', 'G', 'M', 'AH']"
humpty,real,2.63,low,"['HH', 'AH1', 'M', 'P', 'T', 'IY0']",6,short,RSSL,simple,"['HH', 'AH', 'M', 'P', 'T', 'IY']"
silo,real,3.02,low,"['S', 'AY1', 'L', 'OW0']",4,short,RSSL,simple,"['S', 'AY', 'L', 'OW']"
franc,real,3.11,low,"['F', 'R', 'AE1', 'NG', 'K']",5,short,RSSL,simple,"['F', 'R', 'AE', 'NG', 'K']"
wharf,real,3.48,low,"['W', 'AO1', 'R', 'F']",4,short,RSSL,simple,"['W', 'AO', 'R', 'F']"
quip,real,2.67,low,"['K', 'W', 'IH1', 'P']",4,short,RSSL,simple,"['K', 'W', 'IH', 'P']"
burgeon,real,1.65,low,"['B', 'ER1', 'JH', 'AH0', 'N']",5,short,RSSL,simple,"['B', 'ER', 'JH', 'AH', 'N']"
stalk,real,3.46,low,"['S', 'T', 'AO1', 'K']",4,short,RSSL,simple,"['S', 'T', 'AO', 'K']"
concur,real,3.18,low,"['K', 'AH0', 'N', 'K', 'ER1']",5,short,RSSL,simple,"['K', 'AH', 'N', 'K', 'ER']"
tosh,real,2.85,low,"['T', 'AA1', 'SH']",3,short,RSSL,simple,"['T', 'AA', 'SH']"
lire,real,2.89,low,"['L', 'IH1', 'R', 'AH0']",4,short,RSSL,simple,"['L', 'IH', 'R', 'AH']"
omelet,real,2.63,low,"['AA1', 'M', 'L', 'AH0', 'T']",5,short,RSSL,simple,"['AA', 'M', 'L', 'AH', 'T']"
botch,real,2.4,low,"['B', 'AA1', 'CH']",3,short,RSSL,simple,"['B', 'AA', 'CH']"
aegean,real,2.93,low,"['IH0', 'JH', 'IY1', 'AH0', 'N']",5,short,RSSL,simple,"['IH', 'JH', 'IY', 'AH', 'N']"
