Word,Lexicality,Zipf Frequency,Frequency,Phonemes,No Stress,Length,Size
alf,real,3.1,low,"['AE1', 'L', 'F']","['AE', 'L', 'F']",3,short
alfa,real,3.07,low,"['AE1', 'L', 'F', 'AH0']","['AE', 'L', 'F', 'AH']",4,short
alfresco,real,2.24,low,"['AE2', 'L', 'F', 'R', 'EH1', 'F', 'S', 'K', 'OW0']","['AE', 'L', 'F', 'R', 'EH', 'F', 'S', 'K', 'OW']",9,long
algebra,real,3.77,high,"['AE1', 'L', 'JH', 'AH0', 'B', 'R', 'AH0']","['AE', 'L', 'JH', 'AH', 'B', 'R', 'AH']",7,long
alger,real,2.62,low,"['AE1', 'L', 'JH', 'ER0']","['AE', 'L', 'JH', 'ER']",4,short
algorithm,real,4.02,high,"['AE1', 'L', 'G', 'ER0', 'IH2', 'DH', 'AH0', 'M']","['AE', 'L', 'G', 'ER', 'IH', 'DH', 'AH', 'M']",8,long
alia,real,3.12,low,"['AA1', 'L', 'IY0', 'AH0']","['AA', 'L', 'IY', 'AH']",4,short
alias,real,3.46,low,"['EY1', 'L', 'IY0', 'AH0', 'S']","['EY', 'L', 'IY', 'AH', 'S']",5,short
alight,real,3.0,low,"['AH0', 'L', 'AY1', 'T']","['AH', 'L', 'AY', 'T']",4,short
allegro,real,2.71,low,"['AH0', 'L', 'EH1', 'G', 'R', 'OW2']","['AH', 'L', 'EH', 'G', 'R', 'OW']",6,short
aliquot,real,1.94,low,"['AH0', 'L', 'IH1', 'K', 'W', 'AA0', 'T']","['AH', 'L', 'IH', 'K', 'W', 'AA', 'T']",7,long
alison,real,3.76,high,"['AE1', 'L', 'IH0', 'S', 'AH0', 'N']","['AE', 'L', 'IH', 'S', 'AH', 'N']",6,short
alizarin,real,1.58,low,"['AE2', 'L', 'IY0', 'Z', 'AE1', 'R', 'AH0', 'N']","['AE', 'L', 'IY', 'Z', 'AE', 'R', 'AH', 'N']",8,long
allay,real,2.69,low,"['AH0', 'L', 'EY1']","['AH', 'L', 'EY']",3,short
allege,real,3.18,low,"['AH0', 'L', 'EH1', 'JH']","['AH', 'L', 'EH', 'JH']",4,short
allegheny,real,3.09,low,"['AE2', 'L', 'AH0', 'G', 'EY1', 'N', 'IY0']","['AE', 'L', 'AH', 'G', 'EY', 'N', 'IY']",7,long
allegretto,real,1.86,low,"['AE2', 'L', 'G', 'EH1', 'R', 'T', 'OW0', 'T']","['AE', 'L', 'G', 'EH', 'R', 'T', 'OW', 'T']",8,long
alleluia,real,2.46,low,"['AE2', 'L', 'AH0', 'L', 'UW1', 'AH0']","['AE', 'L', 'AH', 'L', 'UW', 'AH']",6,short
alleviate,real,3.52,high,"['AH0', 'L', 'IY1', 'V', 'IY0', 'EY2', 'T']","['AH', 'L', 'IY', 'V', 'IY', 'EY', 'T']",7,long
alligator,real,3.32,low,"['AE1', 'L', 'AH0', 'G', 'EY2', 'T', 'ER0']","['AE', 'L', 'AH', 'G', 'EY', 'T', 'ER']",7,long
allot,real,2.79,low,"['AH0', 'L', 'AA1', 'T']","['AH', 'L', 'AA', 'T']",4,short
alloy,real,3.61,high,"['AE1', 'L', 'OY2']","['AE', 'L', 'OY']",3,short
allure,real,3.15,low,"['AH0', 'L', 'UH1', 'R']","['AH', 'L', 'UH', 'R']",4,short
alluvial,real,2.87,low,"['AE2', 'L', 'UW1', 'V', 'IY0', 'AH0', 'L']","['AE', 'L', 'UW', 'V', 'IY', 'AH', 'L']",7,long
alluvium,real,2.16,low,"['AH0', 'L', 'UW1', 'V', 'IY0', 'AH0', 'M']","['AH', 'L', 'UW', 'V', 'IY', 'AH', 'M']",7,long
ally,real,4.1,high,"['AE1', 'L', 'AY0']","['AE', 'L', 'AY']",3,short
alma,real,3.57,high,"['AE1', 'L', 'M', 'AH0']","['AE', 'L', 'M', 'AH']",4,short
almagest,real,1.53,low,"['AE1', 'L', 'M', 'AH0', 'JH', 'AH0', 'S', 'T']","['AE', 'L', 'M', 'AH', 'JH', 'AH', 'S', 'T']",8,long
almanac,real,3.06,low,"['AO1', 'L', 'M', 'AH0', 'N', 'AE2', 'K']","['AO', 'L', 'M', 'AH', 'N', 'AE', 'K']",7,long
almoner,real,1.82,low,"['AA1', 'L', 'M', 'AH0', 'N', 'ER0']","['AA', 'L', 'M', 'AH', 'N', 'ER']",6,short
alopecia,real,2.66,low,"['AE2', 'L', 'AH0', 'P', 'EH1', 'S', 'IY0', 'AH0']","['AE', 'L', 'AH', 'P', 'EH', 'S', 'IY', 'AH']",8,long
alpaca,real,2.8,low,"['AE0', 'L', 'P', 'AE1', 'K', 'AH0']","['AE', 'L', 'P', 'AE', 'K', 'AH']",6,short
alpert,real,2.48,low,"['AE1', 'L', 'P', 'ER0', 'T']","['AE', 'L', 'P', 'ER', 'T']",5,short
alphabet,real,3.7,high,"['AE1', 'L', 'F', 'AH0', 'B', 'EH2', 'T']","['AE', 'L', 'F', 'AH', 'B', 'EH', 'T']",7,long
alpha,real,4.25,high,"['AE1', 'L', 'F', 'AH0']","['AE', 'L', 'F', 'AH']",4,short
alphonse,real,2.84,low,"['AE0', 'L', 'F', 'AA1', 'N', 'Z']","['AE', 'L', 'F', 'AA', 'N', 'Z']",6,short
alsace,real,2.77,low,"['AE0', 'L', 'S', 'AA1', 'S']","['AE', 'L', 'S', 'AA', 'S']",5,short
alsop,real,2.25,low,"['AE1', 'L', 'S', 'AA0', 'P']","['AE', 'L', 'S', 'AA', 'P']",5,short
altar,real,3.8,high,"['AO1', 'L', 'T', 'ER0']","['AO', 'L', 'T', 'ER']",4,short
althea,real,2.56,low,"['AE0', 'L', 'TH', 'IY1', 'AH0']","['AE', 'L', 'TH', 'IY', 'AH']",5,short
alton,real,3.18,low,"['AO1', 'L', 'T', 'AH0', 'N']","['AO', 'L', 'T', 'AH', 'N']",5,short
alto,real,3.47,low,"['AE1', 'L', 'T', 'OW0']","['AE', 'L', 'T', 'OW']",4,short
alumna,real,2.47,low,"['AH0', 'L', 'AH1', 'M', 'N', 'AH0']","['AH', 'L', 'AH', 'M', 'N', 'AH']",6,short
alumnus,real,2.91,low,"['AH0', 'L', 'AH1', 'M', 'N', 'AH0', 'S']","['AH', 'L', 'AH', 'M', 'N', 'AH', 'S']",7,long
alva,real,2.73,low,"['AE1', 'L', 'V', 'AH0']","['AE', 'L', 'V', 'AH']",4,short
