,Phonemes,No Stress,Type,Included,Voicing,Place,Manner,Height,Backness,Rounding,Dipthong
0,['AH0'],['AH'],V,True,,,,Low,Central,Unrounded,False
1,['OY0'],['OY'],V,True,,,,,,,True
2,['AA0'],['AA'],V,True,,,,Low,Central,Unrounded,False
3,['AY0'],['AY'],V,True,,,,Low-Mid,Front,Unrounded,False
4,['ER0'],['ER'],V,True,,,,Low-Mid,Central,Unrounded,False
5,['AO0'],['AO'],V,True,,,,Low-Mid,Back,Rounded,False
6,['UW0'],['UW'],V,True,,,,High,Back,Rounded,False
7,['IH0'],['IH'],V,True,,,,High,Front,Unrounded,False
8,['EH0'],['EH'],V,True,,,,Low-Mid,Front,Unrounded,False
9,['UH0'],['UH'],V,True,,,,High,Back,Rounded,False
10,['IY0'],['IY'],V,True,,,,High,Front,Unrounded,False
11,['EY0'],['EY'],V,True,,,,,,,True
12,['OW0'],['OW'],V,True,,,,,,,True
13,['AE0'],['AE'],V,True,,,,Low,Front,Unrounded,False
14,['AW0'],['AW'],V,True,,,,,,,True
15,['P'],['P'],C,True,Voiceless,Bilabial,Plosive,,,,
16,['T'],['T'],C,True,Voiceless,Alveolar,Plosive,,,,
17,['K'],['K'],C,True,Voiceless,Velar,Plosive,,,,
18,['B'],['B'],C,True,Voiced,Bilabial,Plosive,,,,
19,['D'],['D'],C,True,Voiced,Alveolar,Plosive,,,,
20,['G'],['G'],C,True,Voiced,Velar,Plosive,,,,
21,['F'],['F'],C,True,Voiceless,Labiodental,Fricative,,,,
22,['TH'],['TH'],C,True,Voiceless,Dental,Fricative,,,,
23,['S'],['S'],C,True,Voiceless,Alveolar,Fricative,,,,
24,['SH'],['SH'],C,False,Voiceless,Postalveolar,Fricative,,,,
25,['Z'],['Z'],C,True,Voiced,Alveolar,Fricative,,,,
26,['ZH'],['ZH'],C,True,Voiced,Postalveolar,Fricative,,,,
27,['V'],['V'],C,True,Voiced,Labiodental,Fricative,,,,
28,['DH'],['DH'],C,True,Voiced,Dental,Fricative,,,,
29,['HH'],['HH'],C,True,Voiceless,Glottal,Fricative,,,,
30,['CH'],['CH'],C,True,Voiceless,Palatal,Affricate,,,,
31,['JH'],['JH'],C,True,Voiced,Palatal,Affricate,,,,
32,['M'],['M'],C,True,Voiced,Bilabial,Nasal,,,,
33,['N'],['N'],C,True,Voiced,Alveolar,Nasal,,,,
34,['NG'],['NG'],C,True,Voiced,Velar,Nasal,,,,
35,['L'],['L'],C,True,Voiced,Alveolar,Liquid,,,,
36,['R'],['R'],C,True,Voiced,Alveolar,Liquid,,,,
37,['W'],['W'],C,True,Voiced,Bilabial,Glide,,,,
38,['Y'],['Y'],C,True,Voiced,Palatal,Glide,,,,
