Symbol,Type,High,Mid,Low,Front,Central,Back,Diphthong,Labial,Coronal,Dorsal,Glottal,Stop,Fricative,Nasal,Approximant,Voiced
AH,V,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OY,V,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AA,V,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AY,V,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ER,V,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AO,V,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UW,V,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IH,V,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EH,V,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UH,V,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IY,V,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EY,V,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
OW,V,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AE,V,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AW,V,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
P,C,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
T,C,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
K,C,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
B,C,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
D,C,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
G,C,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
F,C,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
TH,C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
S,C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
SH,C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Z,C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
ZH,C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
V,C,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DH,C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
HH,C,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
CH,C,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
JH,C,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
M,C,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
N,C,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
NG,C,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
L,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
R,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
W,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Y,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
