,Word,Phonemes,No Stress,Length
2373,exclat,"['EH1', 'K', 'S', 'K', 'L', 'AE2', 'T']","['EH', 'K', 'S', 'K', 'L', 'AE', 'T']",7
2493,unitic,"['Y', 'UW1', 'N', 'IH0', 'T', 'IH2', 'K']","['Y', 'UW', 'N', 'IH', 'T', 'IH', 'K']",7
2747,reprox,"['R', 'IY0', 'P', 'R', 'AO1', 'K', 'S']","['R', 'IY', 'P', 'R', 'AO', 'K', 'S']",7
3087,exprop,"['EH1', 'K', 'S', 'P', 'R', 'AA2', 'P']","['EH', 'K', 'S', 'P', 'R', 'AA', 'P']",7
3229,plexan,"['P', 'L', 'EH1', 'K', 'S', 'AH0', 'N']","['P', 'L', 'EH', 'K', 'S', 'AH', 'N']",7
3321,pedusac,"['P', 'EH2', 'D', 'AH0', 'S', 'UW1', 'S', 'K']","['P', 'EH', 'D', 'AH', 'S', 'UW', 'S', 'K']",8
3330,plectic,"['P', 'L', 'EH1', 'K', 'T', 'IH0', 'K']","['P', 'L', 'EH', 'K', 'T', 'IH', 'K']",7
3332,dissible,"['D', 'IH1', 'S', 'AH0', 'B', 'AH0', 'L']","['D', 'IH', 'S', 'AH', 'B', 'AH', 'L']",7
3363,reficate,"['R', 'EH1', 'F', 'IH0', 'K', 'EY0', 'T']","['R', 'EH', 'F', 'IH', 'K', 'EY', 'T']",7
3371,durivate,"['D', 'UH1', 'R', 'IY1', 'V', 'EY0', 'T']","['D', 'UH', 'R', 'IY', 'V', 'EY', 'T']",7
3404,spently,"['S', 'P', 'EH1', 'N', 'T', 'L', 'IY0']","['S', 'P', 'EH', 'N', 'T', 'L', 'IY']",7
3410,hasiden,"['HH', 'AE1', 'Z', 'IH0', 'D', 'AH0', 'N']","['HH', 'AE', 'Z', 'IH', 'D', 'AH', 'N']",7
3438,irestio,"['IH0', 'R', 'EH1', 'S', 'T', 'IY0', 'OW0']","['IH', 'R', 'EH', 'S', 'T', 'IY', 'OW']",7
3444,pregnol,"['P', 'R', 'EH1', 'G', 'N', 'AH0', 'L']","['P', 'R', 'EH', 'G', 'N', 'AH', 'L']",7
3446,togento,"['T', 'OW0', 'JH', 'EH1', 'N', 'T', 'OW0']","['T', 'OW', 'JH', 'EH', 'N', 'T', 'OW']",7
3450,indorcy,"['IH1', 'N', 'D', 'R', 'AH0', 'S', 'IY0']","['IH', 'N', 'D', 'R', 'AH', 'S', 'IY']",7
3484,consica,"['K', 'AH0', 'N', 'S', 'IH1', 'K', 'AH0']","['K', 'AH', 'N', 'S', 'IH', 'K', 'AH']",7
3493,extring,"['EH1', 'K', 'S', 'T', 'R', 'IH0', 'NG']","['EH', 'K', 'S', 'T', 'R', 'IH', 'NG']",7
3508,lantral,"['L', 'AE1', 'N', 'T', 'R', 'AH0', 'L']","['L', 'AE', 'N', 'T', 'R', 'AH', 'L']",7
3520,minatif,"['M', 'IH0', 'N', 'AA1', 'T', 'IH0', 'F']","['M', 'IH', 'N', 'AA', 'T', 'IH', 'F']",7

3527,registy,"['R', 'IH0', 'JH', 'IH1', 'S', 'T', 'IY0']","['R', 'IH', 'JH', 'IH', 'S', 'T', 'IY']",7
3540,taxond,"['T', 'AE1', 'K', 'S', 'AH0', 'N', 'D']","['T', 'AE', 'K', 'S', 'AH', 'N', 'D']",7
3586,inticin,"['IH1', 'N', 'T', 'IH0', 'S', 'IH0', 'N']","['IH', 'N', 'T', 'IH', 'S', 'IH', 'N']",7
3599,opentry,"['OW1', 'P', 'AH0', 'N', 'T', 'R', 'IY0']","['OW', 'P', 'AH', 'N', 'T', 'R', 'IY']",7
