,Word,Phonemes,No Stress,Length,characterDist,phonemeDist
2373,exclat,"['EH1', 'K', 'S', 'K', 'L', 'AE2', 'T']","['EH', 'K', 'S', 'K', 'L', 'AE', 'T']",7,0.3333333333333333,0.2857142857142857
2493,unitic,"['Y', 'UW1', 'N', 'IH0', 'T', 'IH2', 'K']","['Y', 'UW', 'N', 'IH', 'T', 'IH', 'K']",7,0.3333333333333333,0.2857142857142857
2533,exectr,"['IH0', 'G', 'Z', 'EH1', 'K', 'T', 'ER0']","['IH', 'G', 'Z', 'EH', 'K', 'T', 'ER']",7,0.3333333333333333,0.2857142857142857
2574,newisf,"['N', 'UW1', 'Z', 'W', 'IH0', 'K', 'S']","['N', 'UW', 'Z', 'W', 'IH', 'K', 'S']",7,0.3333333333333333,0.2857142857142857
2601,depubl,"['D', 'EH1', 'P', 'AH0', 'B', 'AH0', 'L']","['D', 'EH', 'P', 'AH', 'B', 'AH', 'L']",7,0.3333333333333333,0.2857142857142857
2615,execid,"['EH1', 'K', 'S', 'IH0', 'S', 'EH0', 'D']","['EH', 'K', 'S', 'IH', 'S', 'EH', 'D']",7,0.3333333333333333,0.42857142857142855
2731,kiditl,"['K', 'IH1', 'D', 'AH0', 'T', 'AH0', 'L']","['K', 'IH', 'D', 'AH', 'T', 'AH', 'L']",7,0.5,0.2857142857142857
2747,reprox,"['R', 'IY0', 'P', 'R', 'AO1', 'K', 'S']","['R', 'IY', 'P', 'R', 'AO', 'K', 'S']",7,0.3333333333333333,0.42857142857142855
2958,socupa,"['S', 'AH0', 'K', 'Y', 'UW1', 'P', 'AH0']","['S', 'AH', 'K', 'Y', 'UW', 'P', 'AH']",7,0.3333333333333333,0.42857142857142855
2987,divici,"['D', 'IH0', 'V', 'Y', 'UW1', 'S', 'IY0']","['D', 'IH', 'V', 'Y', 'UW', 'S', 'IY']",7,0.3333333333333333,0.2857142857142857
3043,tursib,"['T', 'ER1', 'S', 'AH0', 'B', 'AH0', 'M']","['T', 'ER', 'S', 'AH', 'B', 'AH', 'M']",7,0.3333333333333333,0.42857142857142855
3087,exprop,"['EH1', 'K', 'S', 'P', 'R', 'AA2', 'P']","['EH', 'K', 'S', 'P', 'R', 'AA', 'P']",7,0.3333333333333333,0.42857142857142855
3229,plexan,"['P', 'L', 'EH1', 'K', 'S', 'AH0', 'N']","['P', 'L', 'EH', 'K', 'S', 'AH', 'N']",7,0.3333333333333333,0.2857142857142857
3244,beficl,"['B', 'IH0', 'F', 'IH1', 'K', 'AH0', 'L']","['B', 'IH', 'F', 'IH', 'K', 'AH', 'L']",7,0.3333333333333333,0.2857142857142857
3257,trysib,"['T', 'R', 'IH1', 'S', 'AH0', 'B', 'AH0', 'N']","['T', 'R', 'IH', 'S', 'AH', 'B', 'AH', 'N']",8,0.5,0.375
3273,locura,"['L', 'OW0', 'K', 'Y', 'UH1', 'R', 'AH0']","['L', 'OW', 'K', 'Y', 'UH', 'R', 'AH']",7,0.3333333333333333,0.42857142857142855
3295,tosbabl,"['T', 'OW1', 'S', 'B', 'AH0', 'B', 'AH0', 'L']","['T', 'OW', 'S', 'B', 'AH', 'B', 'AH', 'L']",8,0.42857142857142855,0.375
3302,unaboli,"['Y', 'UW2', 'N', 'AH0', 'B', 'OW1', 'L', 'IY0']","['Y', 'UW', 'N', 'AH', 'B', 'OW', 'L', 'IY']",8,0.2857142857142857,0.375
3321,pedusac,"['P', 'EH2', 'D', 'AH0', 'S', 'UW1', 'S', 'K']","['P', 'EH', 'D', 'AH', 'S', 'UW', 'S', 'K']",8,0.2857142857142857,0.5
3325,exprovi,"['IH0', 'K', 'S', 'P', 'R', 'UW1', 'V', 'IY0']","['IH', 'K', 'S', 'P', 'R', 'UW', 'V', 'IY']",8,0.42857142857142855,0.375
3330,plectit,"['P', 'L', 'EH1', 'K', 'T', 'IH0', 'T']","['P', 'L', 'EH', 'K', 'T', 'IH', 'T']",7,0.2857142857142857,0.2857142857142857
3332,dissibl,"['D', 'IH1', 'S', 'AH0', 'B', 'AH0', 'L']","['D', 'IH', 'S', 'AH', 'B', 'AH', 'L']",7,0.42857142857142855,0.2857142857142857
3345,conctli,"['K', 'AA1', 'N', 'T', 'K', 'L', 'IY0']","['K', 'AA', 'N', 'T', 'K', 'L', 'IY']",7,0.42857142857142855,0.2857142857142857
3353,outuals,"['AW1', 'T', 'Y', 'UW0', 'AH0', 'L', 'Z']","['AW', 'T', 'Y', 'UW', 'AH', 'L', 'Z']",7,0.2857142857142857,0.42857142857142855
3356,establi,"['EH0', 'S', 'T', 'AA1', 'B', 'L', 'IY0']","['EH', 'S', 'T', 'AA', 'B', 'L', 'IY']",7,0.2857142857142857,0.42857142857142855
