,Word,Phonemes,No Stress,Length
1,sec,"['S', 'EH1', 'K']","['S', 'EH', 'K']",3
2,aro,"['AA1', 'R', 'OW0']","['AA', 'R', 'OW']",3
5,mot,"['M', 'AO1', 'T']","['M', 'AO', 'T']",3
6,sta,"['S', 'T', 'AH1']","['S', 'T', 'AH']",3
7,hig,"['HH', 'AY1', 'G']","['HH', 'AY', 'G']",3
10,rel,"['R', 'EH1', 'L']","['R', 'EH', 'L']",3
11,ref,"['R', 'EH1', 'F']","['R', 'EH', 'F']",3
15,ser,"['S', 'EH1', 'R']","['S', 'EH', 'R']",3
17,reb,"['R', 'EH1', 'B']","['R', 'EH', 'B']",3
18,pos,"['P', 'AA1', 'S']","['P', 'AA', 'S']",3
20,clo,"['K', 'L', 'OW1']","['K', 'L', 'OW']",3
24,sys,"['S', 'IH1', 'S']","['S', 'IH', 'S']",3
26,bal,"['B', 'AE1', 'L']","['B', 'AE', 'L']",3
33,fas,"['F', 'AE1', 'Z']","['F', 'AE', 'Z']",3
34,isl,"['IH1', 'S', 'AH0', 'L']","['IH', 'S', 'AH', 'L']",4
35,nic,"['EH1', 'N', 'AY1', 'S', 'IY1']","['EH', 'N', 'AY', 'S', 'IY']",5
36,rep,"['R', 'EH1', 'P']","['R', 'EH', 'P']",3
42,bri,"['B', 'R', 'AY1']","['B', 'R', 'AY']",3
43,sig,"['S', 'IH1', 'G']","['S', 'IH', 'G']",3
47,ind,"['IH1', 'N', 'D']","['IH', 'N', 'D']",3
49,int,"['IH1', 'N', 'T']","['IH', 'N', 'T']",3
51,adv,"['AE1', 'D', 'V', 'IY0']","['AE', 'D', 'V', 'IY']",4
52,dia,"['D', 'IY1', 'AH0']","['D', 'IY', 'AH']",3
53,fac,"['F', 'AE1', 'K']","['F', 'AE', 'K']",3
55,inv,"['IH1', 'N', 'V']","['IH', 'N', 'V']",3
57,lon,"['L', 'AA1', 'N']","['L', 'AA', 'N']",3
60,dro,"['D', 'R', 'OW1']","['D', 'R', 'OW']",3
65,mec,"['M', 'EH1', 'K']","['M', 'EH', 'K']",3
68,exp,"['EH1', 'K', 'S', 'P']","['EH', 'K', 'S', 'P']",4
69,pul,"['P', 'AH1', 'L']","['P', 'AH', 'L']",3
70,alw,"['AE1', 'L', 'W', 'AA0']","['AE', 'L', 'W', 'AA']",4
72,dat,"['D', 'AE1', 'T']","['D', 'AE', 'T']",3
74,vol,"['V', 'OW1', 'L']","['V', 'OW', 'L']",3
75,alr,"['AA1', 'L', 'ER0']","['AA', 'L', 'ER']",3
78,sev,"['S', 'EH1', 'V']","['S', 'EH', 'V']",3
79,nat,"['N', 'AE1', 'T']","['N', 'AE', 'T']",3
80,inj,"['IH1', 'N', 'JH']","['IH', 'N', 'JH']",3
81,sco,"['S', 'K', 'OW1']","['S', 'K', 'OW']",3
82,cos,"['K', 'AO1', 'S']","['K', 'AO', 'S']",3
83,tot,"['T', 'AA1', 'T']","['T', 'AA', 'T']",3
84,dev,"['D', 'EH1', 'V']","['D', 'EH', 'V']",3
85,fol,"['F', 'OW1', 'L']","['F', 'OW', 'L']",3
87,bro,"['B', 'R', 'OW1']","['B', 'R', 'OW']",3
88,tal,"['T', 'AA1', 'L']","['T', 'AA', 'L']",3
89,ger,"['JH', 'EH1', 'R']","['JH', 'EH', 'R']",3
91,cli,"['K', 'L', 'AY1']","['K', 'L', 'AY']",3
92,chr,"['CH', 'IY1', 'ER1']","['CH', 'IY', 'ER']",3
93,gra,"['G', 'R', 'AA1']","['G', 'R', 'AA']",3
95,emp,"['EH1', 'M', 'P']","['EH', 'M', 'P']",3
97,mem,"['M', 'EH1', 'M']","['M', 'EH', 'M']",3
101,saf,"['S', 'AE1', 'F']","['S', 'AE', 'F']",3
102,gua,"['G', 'W', 'AA1']","['G', 'W', 'AA']",3
