,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
5212,recauses,"['R', 'IH0', 'K', 'AO1', 'Z', 'IH0', 'Z']","['R', 'IH', 'K', 'AO', 'Z', 'IH', 'Z']",7,complex,PLC,long
7197,belenter,"['B', 'EH1', 'L', 'AH0', 'N', 'T', 'ER0']","['B', 'EH', 'L', 'AH', 'N', 'T', 'ER']",7,complex,PLC,long
9542,canuted,"['K', 'AH0', 'N', 'UW1', 'T', 'AH0', 'D']","['K', 'AH', 'N', 'UW', 'T', 'AH', 'D']",7,complex,PLC,long
5501,uneasic,"['Y', 'UW2', 'N', 'IY1', 'Z', 'IH0', 'K']","['Y', 'UW', 'N', 'IY', 'Z', 'IH', 'K']",7,complex,PLC,long
6659,hargings,"['HH', 'AA1', 'R', 'JH', 'IH0', 'NG', 'Z']","['HH', 'AA', 'R', 'JH', 'IH', 'NG', 'Z']",7,complex,PLC,long
5898,pubsides,"['P', 'AH1', 'B', 'S', 'AY2', 'D', 'Z']","['P', 'AH', 'B', 'S', 'AY', 'D', 'Z']",7,complex,PLC,long
7717,unledging,"['AH0', 'N', 'L', 'EH1', 'JH', 'IH0', 'NG']","['AH', 'N', 'L', 'EH', 'JH', 'IH', 'NG']",7,complex,PLC,long
3994,editral,"['EH1', 'D', 'AH0', 'T', 'R', 'AH0', 'L']","['EH', 'D', 'AH', 'T', 'R', 'AH', 'L']",7,complex,PLC,long
6894,desocio,"['D', 'AH0', 'S', 'OW1', 'SH', 'IY0', 'OW0']","['D', 'AH', 'S', 'OW', 'SH', 'IY', 'OW']",7,complex,PLC,long
7316,foluted,"['F', 'AH0', 'L', 'UW1', 'T', 'IH0', 'D']","['F', 'AH', 'L', 'UW', 'T', 'IH', 'D']",7,complex,PLC,long
4761,concathy,"['K', 'AH0', 'N', 'K', 'AA1', 'TH', 'IY0']","['K', 'AH', 'N', 'K', 'AA', 'TH', 'IY']",7,complex,PLC,long
9219,pervicious,"['P', 'ER0', 'V', 'IH1', 'SH', 'AH0', 'S']","['P', 'ER', 'V', 'IH', 'SH', 'AH', 'S']",7,complex,PLC,long
5138,appedial,"['AH0', 'P', 'IY1', 'D', 'IY0', 'AH0', 'L']","['AH', 'P', 'IY', 'D', 'IY', 'AH', 'L']",7,complex,PLC,long
10201,momocal,"['M', 'AA1', 'M', 'AH0', 'K', 'AH0', 'L']","['M', 'AA', 'M', 'AH', 'K', 'AH', 'L']",7,complex,PLC,long
9257,univel,"['Y', 'UW1', 'N', 'AH0', 'V', 'AH0', 'L']","['Y', 'UW', 'N', 'AH', 'V', 'AH', 'L']",7,complex,PLC,long
4189,inducty,"['IH0', 'N', 'D', 'AH1', 'K', 'T', 'IY0']","['IH', 'N', 'D', 'AH', 'K', 'T', 'IY']",7,complex,PLC,long
8899,retabit,"['R', 'EH0', 'T', 'AE1', 'B', 'IH0', 'T']","['R', 'EH', 'T', 'AE', 'B', 'IH', 'T']",7,complex,PLC,long
3498,actitome,"['AE1', 'K', 'T', 'IH0', 'T', 'OW0', 'M']","['AE', 'K', 'T', 'IH', 'T', 'OW', 'M']",7,complex,PLC,long
6477,himilays,"['HH', 'IH1', 'M', 'AH0', 'L', 'EY2', 'S']","['HH', 'IH', 'M', 'AH', 'L', 'EY', 'S']",7,complex,PLC,long
3910,tweecty,"['T', 'W', 'EH1', 'T', 'S', 'K', 'IY0']","['T', 'W', 'EH', 'T', 'S', 'K', 'IY']",7,complex,PLC,long
4168,decamber,"['D', 'IH0', 'K', 'AE1', 'M', 'B', 'ER0']","['D', 'IH', 'K', 'AE', 'M', 'B', 'ER']",7,complex,PLC,long
9752,bampion,"['B', 'AE1', 'M', 'P', 'IY0', 'AH0', 'N']","['B', 'AE', 'M', 'P', 'IY', 'AH', 'N']",7,complex,PLC,long
8220,attatings,"['AH0', 'T', 'AE1', 'T', 'IH0', 'NG', 'Z']","['AH', 'T', 'AE', 'T', 'IH', 'NG', 'Z']",7,complex,PLC,long
8710,havices,"['HH', 'AE1', 'V', 'AY0', 'S', 'AH0', 'Z']","['HH', 'AE', 'V', 'AY', 'S', 'AH', 'Z']",7,complex,PLC,long
9295,opartion,"['AH0', 'P', 'AA1', 'R', 'SH', 'AH0', 'N']","['AH', 'P', 'AA', 'R', 'SH', 'AH', 'N']",7,complex,PLC,long
9671,inhering,"['IH0', 'N', 'HH', 'EH1', 'R', 'IH0', 'NG']","['IH', 'N', 'HH', 'EH', 'R', 'IH', 'NG']",7,complex,PLC,long
9092,anybols,"['EH1', 'N', 'IY0', 'B', 'AO2', 'L', 'Z']","['EH', 'N', 'IY', 'B', 'AO', 'L', 'Z']",7,complex,PLC,long
10160,pretral,"['P', 'R', 'IY1', 'T', 'R', 'AH0', 'L']","['P', 'R', 'IY', 'T', 'R', 'AH', 'L']",7,complex,PLC,long
5921,beanspore,"['B', 'IY1', 'N', 'S', 'P', 'AO2', 'R']","['B', 'IY', 'N', 'S', 'P', 'AO', 'R']",7,complex,PLC,long
3711,brovelf,"['B', 'R', 'OW1', 'V', 'EH0', 'L', 'F']","['B', 'R', 'OW', 'V', 'EH', 'L', 'F']",7,complex,PLC,long
4608,festomine,"['F', 'EH0', 'S', 'AH0', 'M', 'AY1', 'N']","['F', 'EH', 'S', 'AH', 'M', 'AY', 'N']",7,complex,PLC,long
7263,publity,"['P', 'AH1', 'B', 'L', 'IH0', 'T', 'IY0']","['P', 'AH', 'B', 'L', 'IH', 'T', 'IY']",7,complex,PLC,long
8403,cervided,"['S', 'ER1', 'V', 'AY1', 'D', 'AH0', 'D']","['S', 'ER', 'V', 'AY', 'D', 'AH', 'D']",7,complex,PLC,long
7533,buitines,"['B', 'Y', 'UW1', 'T', 'IY2', 'N', 'Z']","['B', 'Y', 'UW', 'T', 'IY', 'N', 'Z']",7,complex,PLC,long
6289,intipal,"['IH1', 'N', 'T', 'IH0', 'P', 'AH0', 'L']","['IH', 'N', 'T', 'IH', 'P', 'AH', 'L']",7,complex,PLC,long
