,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
8,dishaven,long,8,,,complex,pseudo,,"['D', 'IH0', 'S', 'HH', 'EY1', 'V', 'AH0', 'N']","['D', 'IH', 'S', 'HH', 'EY', 'V', 'AH', 'N']",PLC
9,dishonal,long,8,,,complex,pseudo,,"['D', 'IH1', 'S', 'HH', 'AH0', 'N', 'AH0', 'L']","['D', 'IH', 'S', 'HH', 'AH', 'N', 'AH', 'L']",PLC
16,sprictal,long,8,,,complex,pseudo,,"['S', 'P', 'R', 'IH1', 'K', 'T', 'AA2', 'L']","['S', 'P', 'R', 'IH', 'K', 'T', 'AA', 'L']",PLC
18,sprindly,long,8,,,complex,pseudo,,"['S', 'P', 'R', 'IH1', 'N', 'D', 'L', 'IY0']","['S', 'P', 'R', 'IH', 'N', 'D', 'L', 'IY']",PLC
19,skringel,long,8,,,complex,pseudo,,"['S', 'K', 'R', 'IH1', 'N', 'G', 'AH0', 'L']","['S', 'K', 'R', 'IH', 'N', 'G', 'AH', 'L']",PLC
20,staricture,long,8,,,complex,pseudo,,"['S', 'T', 'AA1', 'R', 'IH0', 'K', 'CH', 'ER0']","['S', 'T', 'AA', 'R', 'IH', 'K', 'CH', 'ER']",PLC
21,strimply,long,8,,,complex,pseudo,,"['S', 'T', 'R', 'IH1', 'M', 'P', 'L', 'IY0']","['S', 'T', 'R', 'IH', 'M', 'P', 'L', 'IY']",PLC
22,sumtible,long,8,,,complex,pseudo,,"['S', 'AH1', 'M', 'T', 'AH0', 'B', 'AH0', 'L']","['S', 'AH', 'M', 'T', 'AH', 'B', 'AH', 'L']",PLC
25,truzable,long,8,,,complex,pseudo,,"['T', 'R', 'UW1', 'Z', 'AH0', 'B', 'AH0', 'L']","['T', 'R', 'UW', 'Z', 'AH', 'B', 'AH', 'L']",PLC
27,unifort,long,8,,,complex,pseudo,,"['Y', 'UW1', 'N', 'IH0', 'F', 'AO2', 'R', 'T']","['Y', 'UW', 'N', 'IH', 'F', 'AO', 'R', 'T']",PLC
31,unwisiter,long,8,,,complex,pseudo,,"['AH0', 'N', 'W', 'IH1', 'Z', 'IH0', 'T', 'ER0']","['AH', 'N', 'W', 'IH', 'Z', 'IH', 'T', 'ER']",PLC
33,bewistic,long,8,,,complex,pseudo,,"['B', 'IY0', 'W', 'IH1', 'S', 'T', 'IH0', 'K']","['B', 'IY', 'W', 'IH', 'S', 'T', 'IH', 'K']",PLC
35,womangle,long,8,,,complex,pseudo,,"['W', 'UH1', 'M', 'AH0', 'N', 'G', 'AH0', 'L']","['W', 'UH', 'M', 'AH', 'N', 'G', 'AH', 'L']",PLC
40,dydenist,long,8,,,complex,pseudo,,"['D', 'AY1', 'D', 'AH0', 'N', 'IH0', 'S', 'T']","['D', 'AY', 'D', 'AH', 'N', 'IH', 'S', 'T']",PLC
42,deodorist,long,8,,,complex,pseudo,,"['D', 'IY1', 'OW0', 'D', 'ER0', 'IH0', 'S', 'T']","['D', 'IY', 'OW', 'D', 'ER', 'IH', 'S', 'T']",PLC
44,discreeler,long,8,,,complex,pseudo,,"['D', 'IH0', 'S', 'K', 'R', 'IY1', 'L', 'ER0']","['D', 'IH', 'S', 'K', 'R', 'IY', 'L', 'ER']",PLC
47,disreturb,long,8,,,complex,pseudo,,"['D', 'IH0', 'S', 'R', 'IH0', 'T', 'ER1', 'B']","['D', 'IH', 'S', 'R', 'IH', 'T', 'ER', 'B']",PLC
48,distfully,long,8,,,complex,pseudo,,"['D', 'IH1', 'S', 'T', 'F', 'AH0', 'L', 'IY0']","['D', 'IH', 'S', 'T', 'F', 'AH', 'L', 'IY']",PLC
49,formaline,long,8,,,complex,pseudo,,"['F', 'AO1', 'R', 'M', 'AH0', 'L', 'IY2', 'N']","['F', 'AO', 'R', 'M', 'AH', 'L', 'IY', 'N']",PLC
56,infersold,long,8,,,complex,pseudo,,"['IH0', 'N', 'F', 'ER1', 'S', 'AH0', 'L', 'D']","['IH', 'N', 'F', 'ER', 'S', 'AH', 'L', 'D']",PLC
57,miscreeckt,long,8,,,complex,pseudo,,"['M', 'IH0', 'S', 'K', 'R', 'IY1', 'K', 'T']","['M', 'IH', 'S', 'K', 'R', 'IY', 'K', 'T']",PLC
61,mistfully,long,8,,,complex,pseudo,,"['M', 'IH1', 'S', 'T', 'F', 'AH0', 'L', 'IY0']","['M', 'IH', 'S', 'T', 'F', 'AH', 'L', 'IY']",PLC
62,gormalone,long,8,,,complex,pseudo,,"['G', 'AO1', 'R', 'M', 'AH0', 'L', 'OW2', 'N']","['G', 'AO', 'R', 'M', 'AH', 'L', 'OW', 'N']",PLC
63,overility,long,8,,,complex,pseudo,,"['OW2', 'V', 'ER0', 'IH0', 'L', 'IH1', 'T', 'IY0']","['OW', 'V', 'ER', 'IH', 'L', 'IH', 'T', 'IY']",PLC
66,pitlessly,long,8,,,complex,pseudo,,"['P', 'IH1', 'T', 'L', 'AH0', 'S', 'L', 'IY0']","['P', 'IH', 'T', 'L', 'AH', 'S', 'L', 'IY']",PLC
70,redefully,long,8,,,complex,pseudo,,"['R', 'EH1', 'D', 'AH0', 'F', 'AH0', 'L', 'IY0']","['R', 'EH', 'D', 'AH', 'F', 'AH', 'L', 'IY']",PLC
72,rederlity,long,8,,,complex,pseudo,,"['R', 'EH1', 'D', 'ER0', 'L', 'AH0', 'T', 'IY0']","['R', 'EH', 'D', 'ER', 'L', 'AH', 'T', 'IY']",PLC
74,reperpast,long,8,,,complex,pseudo,,"['R', 'EH1', 'P', 'ER0', 'P', 'AH0', 'S', 'T']","['R', 'EH', 'P', 'ER', 'P', 'AH', 'S', 'T']",PLC
76,raversold,long,8,,,complex,pseudo,,"['R', 'EY1', 'V', 'ER0', 'S', 'OW0', 'L', 'D']","['R', 'EY', 'V', 'ER', 'S', 'OW', 'L', 'D']",PLC
78,reinstake,long,8,,,complex,pseudo,,"['R', 'IY2', 'IH0', 'N', 'S', 'T', 'EY1', 'K']","['R', 'IY', 'IH', 'N', 'S', 'T', 'EY', 'K']",PLC
81,remistate,long,8,,,complex,pseudo,,"['R', 'EH1', 'M', 'AH0', 'S', 'T', 'EY2', 'T']","['R', 'EH', 'M', 'AH', 'S', 'T', 'EY', 'T']",PLC
84,reolorize,long,8,,,complex,pseudo,,"['R', 'IY0', 'OW1', 'L', 'ER0', 'R', 'AY2', 'Z']","['R', 'IY', 'OW', 'L', 'ER', 'R', 'AY', 'Z']",PLC
85,steriline,long,8,,,complex,pseudo,,"['S', 'T', 'EH1', 'R', 'AH0', 'L', 'IY2', 'N']","['S', 'T', 'EH', 'R', 'AH', 'L', 'IY', 'N']",PLC
86,sterreact,long,8,,,complex,pseudo,,"['S', 'T', 'EH1', 'R', 'IY0', 'AE2', 'K', 'T']","['S', 'T', 'EH', 'R', 'IY', 'AE', 'K', 'T']",PLC
92,undeflate,long,8,,,complex,pseudo,,"['AH1', 'N', 'D', 'AH0', 'F', 'L', 'EY2', 'T']","['AH', 'N', 'D', 'AH', 'F', 'L', 'EY', 'T']",PLC
94,underlity,long,8,,,complex,pseudo,,"['AH0', 'N', 'D', 'ER1', 'L', 'AE0', 'T', 'IY0']","['AH', 'N', 'D', 'ER', 'L', 'AE', 'T', 'IY']",PLC
101,unmistade,long,8,,,complex,pseudo,,"['AH1', 'N', 'M', 'IH0', 'S', 'T', 'AE2', 'D']","['AH', 'N', 'M', 'IH', 'S', 'T', 'AE', 'D']",PLC
102,nomistate,long,8,,,complex,pseudo,,"['N', 'AA1', 'M', 'IH1', 'S', 'T', 'AH0', 'T']","['N', 'AA', 'M', 'IH', 'S', 'T', 'AH', 'T']",PLC
103,vulgarist,long,8,,,complex,pseudo,,"['V', 'AH1', 'L', 'G', 'ER0', 'IH0', 'S', 'T']","['V', 'AH', 'L', 'G', 'ER', 'IH', 'S', 'T']",PLC
116,witifully,long,8,,,complex,pseudo,,"['W', 'IH1', 'T', 'IH0', 'F', 'AH0', 'L', 'IY0']","['W', 'IH', 'T', 'IH', 'F', 'AH', 'L', 'IY']",PLC
