,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
5225,jospitim,"['JH', 'AA1', 'S', 'P', 'IH0', 'T', 'IH2', 'M']","['JH', 'AA', 'S', 'P', 'IH', 'T', 'IH', 'M']",8,simple,PLS,long
5247,regartal,"['R', 'IH0', 'G', 'AA1', 'R', 'T', 'AH0', 'L']","['R', 'IH', 'G', 'AA', 'R', 'T', 'AH', 'L']",8,simple,PLS,long
5263,himbrion,"['HH', 'IH1', 'M', 'B', 'R', 'IY0', 'AH0', 'N']","['HH', 'IH', 'M', 'B', 'R', 'IY', 'AH', 'N']",8,simple,PLS,long
5420,cloballis,"['K', 'L', 'OW1', 'B', 'AH0', 'L', 'IH0', 'S']","['K', 'L', 'OW', 'B', 'AH', 'L', 'IH', 'S']",8,simple,PLS,long
5686,junnspand,"['JH', 'AH1', 'N', 'S', 'P', 'AE2', 'N', 'D']","['JH', 'AH', 'N', 'S', 'P', 'AE', 'N', 'D']",8,simple,PLS,long
5687,tasdolyme,"['T', 'AE1', 'Z', 'D', 'AH0', 'L', 'AY2', 'M']","['T', 'AE', 'Z', 'D', 'AH', 'L', 'AY', 'M']",8,simple,PLS,long
5867,lastomen,"['L', 'AE1', 'S', 'T', 'AH0', 'M', 'AH0', 'N']","['L', 'AE', 'S', 'T', 'AH', 'M', 'AH', 'N']",8,simple,PLS,long
6020,curroxima,"['K', 'ER0', 'AH0', 'K', 'S', 'IY1', 'M', 'AH0']","['K', 'ER', 'AH', 'K', 'S', 'IY', 'M', 'AH']",8,simple,PLS,long
6028,cassitana,"['K', 'AE2', 'S', 'AH0', 'T', 'EY1', 'N', 'AH0']","['K', 'AE', 'S', 'AH', 'T', 'EY', 'N', 'AH']",8,simple,PLS,long
6045,secerold,"['S', 'EH1', 'S', 'IH0', 'R', 'OW2', 'L', 'D']","['S', 'EH', 'S', 'IH', 'R', 'OW', 'L', 'D']",8,simple,PLS,long
