,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
68,mucipital,long,9,,,simple,pseudo,,"['M', 'AH0', 'S', 'IH1', 'P', 'IH0', 'T', 'AH0', 'L']","['M', 'AH', 'S', 'IH', 'P', 'IH', 'T', 'AH', 'L']",PLS
98,advantint,long,9,,,simple,pseudo,,"['AE0', 'D', 'V', 'AE1', 'N', 'T', 'IH0', 'N', 'T']","['AE', 'D', 'V', 'AE', 'N', 'T', 'IH', 'N', 'T']",PLS
108,avalitect,long,9,,,simple,pseudo,,"['AE0', 'V', 'AE1', 'L', 'IH1', 'T', 'IH0', 'K', 'T']","['AE', 'V', 'AE', 'L', 'IH', 'T', 'IH', 'K', 'T']",PLS
112,baventina,long,9,,,simple,pseudo,,"['B', 'AA0', 'V', 'EH0', 'N', 'T', 'IY1', 'N', 'AH0']","['B', 'AA', 'V', 'EH', 'N', 'T', 'IY', 'N', 'AH']",PLS
129,coallencite,long,9,,,simple,pseudo,,"['K', 'OW0', 'AA1', 'L', 'EH0', 'N', 'S', 'AY0', 'T']","['K', 'OW', 'AA', 'L', 'EH', 'N', 'S', 'AY', 'T']",PLS
131,colofaust,long,9,,,simple,pseudo,,"['K', 'AH1', 'L', 'AH0', 'F', 'OW2', 'S', 'T']","['K', 'AH', 'L', 'AH', 'F', 'OW', 'S', 'T']",PLS
147,franciple,long,9,,,simple,pseudo,,"['F', 'R', 'AE1', 'N', 'S', 'AH0', 'P', 'AH0', 'L']","['F', 'R', 'AE', 'N', 'S', 'AH', 'P', 'AH', 'L']",PLS
157,progralia,long,9,,,simple,pseudo,,"['P', 'R', 'OW0', 'G', 'R', 'EY1', 'L', 'IY0', 'AH0']","['P', 'R', 'OW', 'G', 'R', 'EY', 'L', 'IY', 'AH']",PLS
164,septerest,long,9,,,simple,pseudo,,"['S', 'EH1', 'P', 'S', 'T', 'ER0', 'AH0', 'S', 'T']","['S', 'EH', 'P', 'S', 'T', 'ER', 'AH', 'S', 'T']",PLS
166,telentage,long,9,,,simple,pseudo,,"['T', 'EH1', 'L', 'AH0', 'N', 'T', 'EY2', 'JH', 'T']","['T', 'EH', 'L', 'AH', 'N', 'T', 'EY', 'JH', 'T']",PLS
167,valegrang,long,9,,,simple,pseudo,,"['V', 'EY1', 'L', 'G', 'AA0', 'R', 'JH', 'IH0', 'NG']","['V', 'EY', 'L', 'G', 'AA', 'R', 'JH', 'IH', 'NG']",PLS
177,wisconsus,long,9,,,simple,pseudo,,"['W', 'IH1', 'S', 'K', 'AH0', 'N', 'S', 'AH0', 'Z']","['W', 'IH', 'S', 'K', 'AH', 'N', 'S', 'AH', 'Z']",PLS
179,yesperest,long,9,,,simple,pseudo,,"['Y', 'EH1', 'S', 'P', 'IH0', 'R', 'EH0', 'S', 'T']","['Y', 'EH', 'S', 'P', 'IH', 'R', 'EH', 'S', 'T']",PLS
