,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
623,anot,"['AH0', 'N', 'OW1', 'T']","['AH', 'N', 'OW', 'T']",4,complex,PSC,short
632,ront,"['R', 'AA1', 'N', 'T']","['R', 'AA', 'N', 'T']",4,complex,PSC,short
644,valo,"['V', 'AA1', 'L', 'OW0']","['V', 'AA', 'L', 'OW']",4,complex,PSC,short
659,defoo,"['D', 'EH1', 'F', 'UW0']","['D', 'EH', 'F', 'UW']",4,complex,PSC,short
668,opty,"['AA1', 'P', 'T', 'IY0']","['AA', 'P', 'T', 'IY']",4,complex,PSC,short
752,alop,"['AE1', 'L', 'AH0', 'P']","['AE', 'L', 'AH', 'P']",4,complex,PSC,short
786,enit,"['EH1', 'N', 'IH0', 'T']","['EH', 'N', 'IH', 'T']",4,complex,PSC,short
825,edio,"['IY1', 'D', 'IY0', 'OW0']","['IY', 'D', 'IY', 'OW']",4,complex,PSC,short
898,unall,"['AH0', 'N', 'AE1', 'L']","['AH', 'N', 'AE', 'L']",4,complex,PSC,short
931,givy,"['G', 'IY1', 'V', 'IY0']","['G', 'IY', 'V', 'IY']",4,complex,PSC,short
947,obsough,"['AA1', 'B', 'S', 'OW0']","['AA', 'B', 'S', 'OW']",4,complex,PSC,short
1017,anym,"['AE1', 'N', 'IH0', 'M']","['AE', 'N', 'IH', 'M']",4,complex,PSC,short
1087,joro,"['JH', 'AO1', 'R', 'OW0']","['JH', 'AO', 'R', 'OW']",4,complex,PSC,short
1089,favy,"['F', 'EY1', 'V', 'IY0']","['F', 'EY', 'V', 'IY']",4,complex,PSC,short
1116,inveau,"['IH1', 'N', 'V', 'OW0']","['IH', 'N', 'V', 'OW']",4,complex,PSC,short
10080,apprew,"['AH0', 'P', 'R', 'UW1']","['AH', 'P', 'R', 'UW']",4,complex,PSC,short
10075,othice,"['AA1', 'TH', 'IH0', 'S']","['AA', 'TH', 'IH', 'S']",4,complex,PSC,short
10016,schient,"['SH', 'IY1', 'N', 'T']","['SH', 'IY', 'N', 'T']",4,complex,PSC,short
10030,shoughty,"['SH', 'AW1', 'T', 'IY0']","['SH', 'AW', 'T', 'IY']",4,complex,PSC,short
9611,dommer,"['D', 'AA1', 'M', 'ER0']","['D', 'AA', 'M', 'ER']",4,complex,PSC,short
9580,joursed,"['JH', 'ER1', 'Z', 'D']","['JH', 'ER', 'Z', 'D']",4,complex,PSC,short
9556,issort,"['IH1', 'S', 'ER0', 'T']","['IH', 'S', 'ER', 'T']",4,complex,PSC,short
9420,paylow,"['P', 'EY1', 'L', 'OW2']","['P', 'EY', 'L', 'OW']",4,complex,PSC,short
9470,neetched,"['N', 'IY1', 'CH', 'T']","['N', 'IY', 'CH', 'T']",4,complex,PSC,short
9404,leauter,"['L', 'UW1', 'T', 'ER0']","['L', 'UW', 'T', 'ER']",4,complex,PSC,short
9255,wouther,"['W', 'AH1', 'DH', 'ER0']","['W', 'AH', 'DH', 'ER']",4,complex,PSC,short
9241,eithing,"['AY1', 'DH', 'IH0', 'NG']","['AY', 'DH', 'IH', 'NG']",4,complex,PSC,short
9237,ourain,"['AW0', 'R', 'EY1', 'N']","['AW', 'R', 'EY', 'N']",4,complex,PSC,short
9173,autching,"['AO1', 'CH', 'IH0', 'NG']","['AO', 'CH', 'IH', 'NG']",4,complex,PSC,short
9150,irreed,"['IH0', 'R', 'IY1', 'D']","['IH', 'R', 'IY', 'D']",4,complex,PSC,short
9109,temough,"['T', 'EH1', 'M', 'AW0']","['T', 'EH', 'M', 'AW']",4,complex,PSC,short
9090,attrow,"['AE1', 'T', 'R', 'OW0']","['AE', 'T', 'R', 'OW']",4,complex,PSC,short
8705,occone,"['AH0', 'K', 'OW1', 'N']","['AH', 'K', 'OW', 'N']",4,complex,PSC,short
8635,jermer,"['JH', 'ER1', 'M', 'ER0']","['JH', 'ER', 'M', 'ER']",4,complex,PSC,short
2482,assock,"['AE1', 'S', 'AH0', 'K']","['AE', 'S', 'AH', 'K']",4,complex,PSC,short
2524,buylow,"['B', 'AY1', 'L', 'OW2']","['B', 'AY', 'L', 'OW']",4,complex,PSC,short
2622,showic,"['SH', 'OW1', 'IH0', 'K']","['SH', 'OW', 'IH', 'K']",4,complex,PSC,short
2764,appore,"['AH0', 'P', 'AO1', 'R']","['AH', 'P', 'AO', 'R']",4,complex,PSC,short
2841,uness,"['AH0', 'N', 'EH1', 'S']","['AH', 'N', 'EH', 'S']",4,complex,PSC,short
2996,illume,"['IH0', 'L', 'UW1', 'M']","['IH', 'L', 'UW', 'M']",4,complex,PSC,short
3074,unerge,"['AH0', 'N', 'ER1', 'JH']","['AH', 'N', 'ER', 'JH']",4,complex,PSC,short
