,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
1471,seget,"['S', 'EH1', 'G', 'IH0', 'T']","['S', 'EH', 'G', 'IH', 'T']",5,simple,PSS,short
1484,fesig,"['F', 'EH1', 'S', 'IH0', 'G']","['F', 'EH', 'S', 'IH', 'G']",5,simple,PSS,short
1589,smazi,"['S', 'M', 'AA1', 'Z', 'IY0']","['S', 'M', 'AA', 'Z', 'IY']",5,simple,PSS,short
1678,euris,"['Y', 'UW1', 'R', 'IH0', 'S']","['Y', 'UW', 'R', 'IH', 'S']",5,simple,PSS,short
1907,oriva,"['AO0', 'R', 'IY1', 'V', 'AH0']","['AO', 'R', 'IY', 'V', 'AH']",5,simple,PSS,short
1952,estit,"['EH1', 'S', 'T', 'IH0', 'T']","['EH', 'S', 'T', 'IH', 'T']",5,simple,PSS,short
2117,dolif,"['D', 'AA1', 'L', 'IH0', 'F']","['D', 'AA', 'L', 'IH', 'F']",5,simple,PSS,short
1995,slosp,"['S', 'L', 'AA1', 'S', 'P']","['S', 'L', 'AA', 'S', 'P']",5,simple,PSS,short
2267,anaha,"['AE1', 'N', 'AH0', 'HH', 'AA2']","['AE', 'N', 'AH', 'HH', 'AA']",5,simple,PSS,short
2279,motac,"['M', 'OW1', 'T', 'AH0', 'K']","['M', 'OW', 'T', 'AH', 'K']",5,simple,PSS,short
2319,favig,"['F', 'AA1', 'V', 'IH0', 'G']","['F', 'AA', 'V', 'IH', 'G']",5,simple,PSS,short
2345,otroa,"['AW0', 'T', 'R', 'OW1', 'AH0']","['AW', 'T', 'R', 'OW', 'AH']",5,simple,PSS,short
2412,sithro,"['S', 'IH1', 'TH', 'R', 'OW0']","['S', 'IH', 'TH', 'R', 'OW']",5,simple,PSS,short
2427,addrol,"['AE1', 'D', 'R', 'AH0', 'L']","['AE', 'D', 'R', 'AH', 'L']",5,simple,PSS,short
2458,nethio,"['N', 'EH1', 'TH', 'IY0', 'OW0']","['N', 'EH', 'TH', 'IY', 'OW']",5,simple,PSS,short
2460,jultur,"['JH', 'UW1', 'L', 'T', 'ER0']","['JH', 'UW', 'L', 'T', 'ER']",5,simple,PSS,short
2491,mellem,"['M', 'EH1', 'L', 'IH0', 'M']","['M', 'EH', 'L', 'IH', 'M']",5,simple,PSS,short
2647,naudin,"['N', 'AO1', 'D', 'IH0', 'N']","['N', 'AO', 'D', 'IH', 'N']",5,simple,PSS,short
2677,althod,"['AE1', 'L', 'TH', 'AH0', 'D']","['AE', 'L', 'TH', 'AH', 'D']",5,simple,PSS,short
2684,sommis,"['S', 'AA1', 'M', 'IH0', 'S']","['S', 'AA', 'M', 'IH', 'S']",5,simple,PSS,short
2707,basire,"['B', 'AH0', 'S', 'IY1', 'R']","['B', 'AH', 'S', 'IY', 'R']",5,simple,PSS,short
2749,waffit,"['W', 'AA1', 'F', 'IH0', 'T']","['W', 'AA', 'F', 'IH', 'T']",5,simple,PSS,short
2804,mussid,"['M', 'AH1', 'S', 'IH0', 'D']","['M', 'AH', 'S', 'IH', 'D']",5,simple,PSS,short
2828,syseth,"['S', 'AY1', 'S', 'EH2', 'TH']","['S', 'AY', 'S', 'EH', 'TH']",5,simple,PSS,short
2869,dimeth,"['D', 'IH1', 'M', 'IH0', 'TH']","['D', 'IH', 'M', 'IH', 'TH']",5,simple,PSS,short
2909,thapet,"['TH', 'AE1', 'P', 'AH0', 'T']","['TH', 'AE', 'P', 'AH', 'T']",5,simple,PSS,short
3040,durdin,"['D', 'ER1', 'D', 'IH0', 'N']","['D', 'ER', 'D', 'IH', 'N']",5,simple,PSS,short
3090,happos,"['HH', 'AE1', 'P', 'OW0', 'Z']","['HH', 'AE', 'P', 'OW', 'Z']",5,simple,PSS,short
3167,pothol,"['P', 'AA1', 'TH', 'AH0', 'L']","['P', 'AA', 'TH', 'AH', 'L']",5,simple,PSS,short
3200,speeho,"['S', 'P', 'IY1', 'HH', 'OW0']","['S', 'P', 'IY', 'HH', 'OW']",5,simple,PSS,short
3232,surkine,"['S', 'ER1', 'K', 'AY0', 'N']","['S', 'ER', 'K', 'AY', 'N']",5,simple,PSS,short
3250,telide,"['T', 'EH0', 'L', 'AY1', 'D']","['T', 'EH', 'L', 'AY', 'D']",5,simple,PSS,short
4213,churact,"['CH', 'ER0', 'AE1', 'K', 'T']","['CH', 'ER', 'AE', 'K', 'T']",5,simple,PSS,short
4342,hercene,"['HH', 'ER1', 'S', 'IY0', 'N']","['HH', 'ER', 'S', 'IY', 'N']",5,simple,PSS,short
4461,fackda,"['F', 'AE1', 'K', 'D', 'AH0']","['F', 'AE', 'K', 'D', 'AH']",5,simple,PSS,short
4617,govior,"['G', 'OW1', 'V', 'Y', 'ER0']","['G', 'OW', 'V', 'Y', 'ER']",5,simple,PSS,short
