,Word,Phonemes,No Stress,Length,Morphology
224,mcq,"['M', 'AH0', 'K', 'F', 'AO1', 'K']","['M', 'AH', 'K', 'F', 'AO', 'K']",6,simple
663,insw,"['IH1', 'N', 'S', 'W', 'EH0', 'K']","['IH', 'N', 'S', 'W', 'EH', 'K']",6,simple
957,expl,"['EH1', 'K', 'S', 'P', 'AH0', 'L']","['EH', 'K', 'S', 'P', 'AH', 'L']",6,simple
1440,mexte,"['M', 'EH1', 'K', 'S', 'T', 'IY0']","['M', 'EH', 'K', 'S', 'T', 'IY']",6,simple
1693,suric,"['S', 'Y', 'UH1', 'R', 'IH0', 'K']","['S', 'Y', 'UH', 'R', 'IH', 'K']",6,simple
1760,numpl,"['N', 'AH1', 'M', 'P', 'AH0', 'L']","['N', 'AH', 'M', 'P', 'AH', 'L']",6,simple
1800,expli,"['EH1', 'K', 'S', 'P', 'L', 'IY0']","['EH', 'K', 'S', 'P', 'L', 'IY']",6,simple
1809,utili,"['Y', 'UW0', 'T', 'IY1', 'L', 'IY0']","['Y', 'UW', 'T', 'IY', 'L', 'IY']",6,simple
1832,canua,"['K', 'AE1', 'N', 'Y', 'UW0', 'AH0']","['K', 'AE', 'N', 'Y', 'UW', 'AH']",6,simple
2198,concl,"['K', 'AA1', 'NG', 'K', 'AH0', 'L']","['K', 'AA', 'NG', 'K', 'AH', 'L']",6,simple
2286,citua,"['CH', 'IY0', 'UW1', 'T', 'UW0', 'AH0']","['CH', 'IY', 'UW', 'T', 'UW', 'AH']",6,simple
2307,expla,"['EH1', 'K', 'S', 'P', 'L', 'AH0']","['EH', 'K', 'S', 'P', 'L', 'AH']",6,simple
2337,fuclud,"['K', 'AH0', 'L', 'K', 'AH1', 'D']","['K', 'AH', 'L', 'K', 'AH', 'D']",6,simple
2339,suprit,"['S', 'AH1', 'P', 'R', 'IH0', 'T']","['S', 'AH', 'P', 'R', 'IH', 'T']",6,simple
2340,advart,"['AE1', 'D', 'V', 'AA2', 'R', 'T']","['AE', 'D', 'V', 'AA', 'R', 'T']",6,simple
2343,segolv,"['S', 'EH1', 'G', 'OW0', 'L', 'V']","['S', 'EH', 'G', 'OW', 'L', 'V']",6,simple
