,Word,Phonemes,No Stress,Length,characterDist,phonemeDist
0,exc,"['EH1', 'K', 'S']","['EH', 'K', 'S']",3,0.3333333333333333,0.0
1,sec,"['S', 'EH1', 'K']","['S', 'EH', 'K']",3,0.3333333333333333,0.3333333333333333
2,aro,"['AA1', 'R', 'OW0']","['AA', 'R', 'OW']",3,0.3333333333333333,0.3333333333333333
5,mot,"['M', 'AO1', 'T']","['M', 'AO', 'T']",3,0.3333333333333333,0.3333333333333333
6,sta,"['S', 'T', 'AH1']","['S', 'T', 'AH']",3,0.3333333333333333,0.3333333333333333
7,hig,"['HH', 'AY1', 'G']","['HH', 'AY', 'G']",3,0.3333333333333333,0.3333333333333333
10,rel,"['R', 'EH1', 'L']","['R', 'EH', 'L']",3,0.3333333333333333,0.3333333333333333
11,ref,"['R', 'EH1', 'F']","['R', 'EH', 'F']",3,0.3333333333333333,0.3333333333333333
14,com,"['K', 'AA1', 'M']","['K', 'AA', 'M']",3,0.3333333333333333,0.0
15,ser,"['S', 'EH1', 'R']","['S', 'EH', 'R']",3,0.3333333333333333,0.3333333333333333
16,con,"['K', 'AA1', 'N']","['K', 'AA', 'N']",3,0.3333333333333333,0.0
17,reb,"['R', 'EH1', 'B']","['R', 'EH', 'B']",3,0.3333333333333333,0.3333333333333333
18,pos,"['P', 'AA1', 'S']","['P', 'AA', 'S']",3,0.3333333333333333,0.3333333333333333
19,giv,"['G', 'IH1', 'V']","['G', 'IH', 'V']",3,0.3333333333333333,0.0
20,clo,"['K', 'L', 'OW1']","['K', 'L', 'OW']",3,0.3333333333333333,0.3333333333333333
21,dil,"['D', 'IH1', 'L']","['D', 'IH', 'L']",3,0.3333333333333333,0.0
22,rec,"['R', 'EH1', 'K']","['R', 'EH', 'K']",3,0.3333333333333333,0.0
23,str,"['S', 'T', 'ER1', 'N', 'IY0']","['S', 'T', 'ER', 'N', 'IY']",5,0.3333333333333333,0.2
24,sys,"['S', 'IH1', 'S']","['S', 'IH', 'S']",3,0.3333333333333333,0.3333333333333333
26,bal,"['B', 'AE1', 'L']","['B', 'AE', 'L']",3,0.3333333333333333,0.3333333333333333
27,dec,"['D', 'EH1', 'K']","['D', 'EH', 'K']",3,0.3333333333333333,0.0
28,gro,"['G', 'R', 'OW1']","['G', 'R', 'OW']",3,0.3333333333333333,0.0
30,wor,"['W', 'AO1', 'R']","['W', 'AO', 'R']",3,0.3333333333333333,0.0
31,bil,"['B', 'IH1', 'L']","['B', 'IH', 'L']",3,0.3333333333333333,0.0
33,fas,"['F', 'AE1', 'Z']","['F', 'AE', 'Z']",3,0.3333333333333333,0.3333333333333333
34,isl,"['IH1', 'S', 'AH0', 'L']","['IH', 'S', 'AH', 'L']",4,0.3333333333333333,0.25
35,nic,"['EH1', 'N', 'AY1', 'S', 'IY1']","['EH', 'N', 'AY', 'S', 'IY']",5,0.3333333333333333,0.4
36,rep,"['R', 'EH1', 'P']","['R', 'EH', 'P']",3,0.3333333333333333,0.3333333333333333
37,eme,"['EH1', 'M', 'IY0']","['EH', 'M', 'IY']",3,0.3333333333333333,0.0
40,cri,"['K', 'R', 'IY1']","['K', 'R', 'IY']",3,0.3333333333333333,0.0
42,bri,"['B', 'R', 'AY1']","['B', 'R', 'AY']",3,0.3333333333333333,0.3333333333333333
43,sig,"['S', 'IH1', 'G']","['S', 'IH', 'G']",3,0.3333333333333333,0.3333333333333333
44,bot,"['B', 'AA1', 'T']","['B', 'AA', 'T']",3,0.3333333333333333,0.0
46,clu,"['K', 'L', 'UW1']","['K', 'L', 'UW']",3,0.3333333333333333,0.0
47,ind,"['IH1', 'N', 'D']","['IH', 'N', 'D']",3,0.3333333333333333,0.3333333333333333
49,int,"['IH1', 'N', 'T']","['IH', 'N', 'T']",3,0.3333333333333333,0.3333333333333333
50,gen,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'L']","['JH', 'EH', 'N', 'ER', 'AH', 'L']",6,0.3333333333333333,0.0
51,adv,"['AE1', 'D', 'V', 'IY0']","['AE', 'D', 'V', 'IY']",4,0.3333333333333333,0.5
52,dia,"['D', 'IY1', 'AH0']","['D', 'IY', 'AH']",3,0.3333333333333333,0.3333333333333333
53,fac,"['F', 'AE1', 'K']","['F', 'AE', 'K']",3,0.3333333333333333,0.3333333333333333
54,col,"['K', 'OW1', 'L']","['K', 'OW', 'L']",3,0.3333333333333333,0.0
55,inv,"['IH1', 'N', 'V']","['IH', 'N', 'V']",3,0.3333333333333333,0.3333333333333333
57,lon,"['L', 'AA1', 'N']","['L', 'AA', 'N']",3,0.3333333333333333,0.3333333333333333
58,inc,"['IH1', 'NG', 'K']","['IH', 'NG', 'K']",3,0.3333333333333333,0.0
59,mon,"['M', 'OW1', 'N']","['M', 'OW', 'N']",3,0.3333333333333333,0.0
60,dro,"['D', 'R', 'OW1']","['D', 'R', 'OW']",3,0.3333333333333333,0.3333333333333333
