,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf Frequency,Phonemes,No Stress,Part of Speech
0,solocomov,PLS,pseudo,long,simple,,9,,"['S', 'OW0', 'L', 'OW1', 'K', 'AH0', 'M', 'AO0', 'F']","['S', 'OW', 'L', 'OW', 'K', 'AH', 'M', 'AO', 'F']",
1,gostrient,PLS,pseudo,long,simple,,9,,"['G', 'AA1', 'S', 'T', 'R', 'IY0', 'EH0', 'N', 'T']","['G', 'AA', 'S', 'T', 'R', 'IY', 'EH', 'N', 'T']",
2,divestrate,PLS,pseudo,long,simple,,9,,"['D', 'IH1', 'V', 'EH0', 'S', 'T', 'R', 'EY2', 'T']","['D', 'IH', 'V', 'EH', 'S', 'T', 'R', 'EY', 'T']",
3,strusanad,PLS,pseudo,long,simple,,9,,"['S', 'T', 'R', 'UW1', 'S', 'AH0', 'N', 'AH0', 'D']","['S', 'T', 'R', 'UW', 'S', 'AH', 'N', 'AH', 'D']",
4,diuralim,PLS,pseudo,long,simple,,9,,"['D', 'AY0', 'Y', 'UH1', 'R', 'AH0', 'L', 'AH0', 'M']","['D', 'AY', 'Y', 'UH', 'R', 'AH', 'L', 'AH', 'M']",
5,speryborm,PLS,pseudo,long,simple,,9,,"['S', 'P', 'EH1', 'R', 'IY0', 'B', 'AO2', 'R', 'M']","['S', 'P', 'EH', 'R', 'IY', 'B', 'AO', 'R', 'M']",
6,inflegest,PLS,pseudo,long,simple,,9,,"['IH1', 'N', 'F', 'L', 'AH0', 'JH', 'EH0', 'S', 'T']","['IH', 'N', 'F', 'L', 'AH', 'JH', 'EH', 'S', 'T']",
7,balentina,PLS,pseudo,long,simple,,9,,"['B', 'AA0', 'L', 'EH0', 'N', 'T', 'IY1', 'N', 'AH0']","['B', 'AA', 'L', 'EH', 'N', 'T', 'IY', 'N', 'AH']",
8,cladwicheet,PLS,pseudo,long,simple,,9,,"['K', 'L', 'AE1', 'D', 'W', 'IH0', 'CH', 'IY2', 'T']","['K', 'L', 'AE', 'D', 'W', 'IH', 'CH', 'IY', 'T']",
9,websident,PLS,pseudo,long,simple,,9,,"['W', 'EH1', 'B', 'S', 'IH0', 'D', 'AH0', 'N', 'T']","['W', 'EH', 'B', 'S', 'IH', 'D', 'AH', 'N', 'T']",
10,livinisal,PLS,pseudo,long,simple,,9,,"['L', 'IH1', 'V', 'IH0', 'N', 'IH0', 'S', 'AH0', 'L']","['L', 'IH', 'V', 'IH', 'N', 'IH', 'S', 'AH', 'L']",
11,epirental,PLS,pseudo,long,simple,,9,,"['EH0', 'P', 'IH0', 'R', 'EH1', 'N', 'T', 'AH0', 'L']","['EH', 'P', 'IH', 'R', 'EH', 'N', 'T', 'AH', 'L']",
12,coallencite,PLS,pseudo,long,simple,,9,,"['K', 'OW0', 'AA1', 'L', 'EH0', 'N', 'S', 'AY0', 'T']","['K', 'OW', 'AA', 'L', 'EH', 'N', 'S', 'AY', 'T']",
13,notencest,PLS,pseudo,long,simple,,9,,"['N', 'OW1', 'T', 'AH0', 'N', 'S', 'AH0', 'S', 'T']","['N', 'OW', 'T', 'AH', 'N', 'S', 'AH', 'S', 'T']",
14,islaterdine,PLS,pseudo,long,simple,,9,,"['IH0', 'S', 'L', 'AA1', 'T', 'ER0', 'D', 'AY0', 'N']","['IH', 'S', 'L', 'AA', 'T', 'ER', 'D', 'AY', 'N']",
15,yesperest,PLS,pseudo,long,simple,,9,,"['Y', 'EH1', 'S', 'P', 'IH0', 'R', 'EH0', 'S', 'T']","['Y', 'EH', 'S', 'P', 'IH', 'R', 'EH', 'S', 'T']",
16,foldomence,PLS,pseudo,long,simple,,9,,"['F', 'OW1', 'L', 'D', 'AA0', 'M', 'AH0', 'N', 'S']","['F', 'OW', 'L', 'D', 'AA', 'M', 'AH', 'N', 'S']",
17,baventina,PLS,pseudo,long,simple,,9,,"['B', 'AA0', 'V', 'EH0', 'N', 'T', 'IY1', 'N', 'AH0']","['B', 'AA', 'V', 'EH', 'N', 'T', 'IY', 'N', 'AH']",
18,franciple,PLS,pseudo,long,simple,,9,,"['F', 'R', 'AE1', 'N', 'S', 'AH0', 'P', 'AH0', 'L']","['F', 'R', 'AE', 'N', 'S', 'AH', 'P', 'AH', 'L']",
19,vistormand,PLS,pseudo,long,simple,,9,,"['V', 'IH1', 'S', 'T', 'ER0', 'M', 'AE2', 'N', 'D']","['V', 'IH', 'S', 'T', 'ER', 'M', 'AE', 'N', 'D']",
20,mucipital,PLS,pseudo,long,simple,,9,,"['M', 'AH0', 'S', 'IH1', 'P', 'IH0', 'T', 'AH0', 'L']","['M', 'AH', 'S', 'IH', 'P', 'IH', 'T', 'AH', 'L']",
21,anclusent,PLS,pseudo,long,simple,,9,,"['AE1', 'N', 'K', 'L', 'UW0', 'S', 'EH2', 'N', 'T']","['AE', 'N', 'K', 'L', 'UW', 'S', 'EH', 'N', 'T']",
22,squistant,PLS,pseudo,long,simple,,9,,"['S', 'K', 'W', 'IH1', 'S', 'T', 'AH0', 'N', 'T']","['S', 'K', 'W', 'IH', 'S', 'T', 'AH', 'N', 'T']",
23,everialis,PLS,pseudo,long,simple,,9,,"['EH0', 'V', 'ER1', 'R', 'IY0', 'AH0', 'L', 'IH0', 'S']","['EH', 'V', 'ER', 'R', 'IY', 'AH', 'L', 'IH', 'S']",
24,alrelopal,PLS,pseudo,long,simple,,9,,"['AE2', 'L', 'R', 'EH0', 'L', 'AA1', 'P', 'AH0', 'L']","['AE', 'L', 'R', 'EH', 'L', 'AA', 'P', 'AH', 'L']",
25,storstent,PLS,pseudo,long,simple,,9,,"['S', 'T', 'AO1', 'R', 'S', 'T', 'AH0', 'N', 'T']","['S', 'T', 'AO', 'R', 'S', 'T', 'AH', 'N', 'T']",
26,trynkabel,PLS,pseudo,long,simple,,9,,"['T', 'R', 'IH1', 'N', 'K', 'AH0', 'B', 'EH0', 'L']","['T', 'R', 'IH', 'N', 'K', 'AH', 'B', 'EH', 'L']",
27,advantint,PLS,pseudo,long,simple,,9,,"['AE0', 'D', 'V', 'AE1', 'N', 'T', 'IH0', 'N', 'T']","['AE', 'D', 'V', 'AE', 'N', 'T', 'IH', 'N', 'T']",
