Unnamed: 0,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
208,company,0.000398,5.6,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY']",real,7,long
214,different,0.000389,5.59,ADJ,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",real,7,long
222,government,0.000372,5.57,NOUN,"['G', 'AH1', 'V', 'ER0', 'M', 'AH0', 'N', 'T']","['G', 'AH', 'V', 'ER', 'M', 'AH', 'N', 'T']",real,8,long
242,everything,0.000347,5.54,PRON,"['EH1', 'V', 'R', 'IY0', 'TH', 'IH2', 'NG']","['EH', 'V', 'R', 'IY', 'TH', 'IH', 'NG']",real,7,long
257,including,0.000331,5.52,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'IH0', 'NG']","['IH', 'N', 'K', 'L', 'UW', 'D', 'IH', 'NG']",real,8,long
269,national,0.000324,5.51,ADJ,"['N', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'L']","['N', 'AE', 'SH', 'AH', 'N', 'AH', 'L']",real,7,long
281,actually,0.000309,5.49,ADV,"['AE1', 'K', 'CH', 'AH0', 'W', 'AH0', 'L', 'IY0']","['AE', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IY']",real,8,long
282,american,0.000309,5.49,PROPN,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0', 'N']","['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH', 'N']",real,8,long
296,children,0.000295,5.47,NOUN,"['CH', 'IH1', 'L', 'D', 'R', 'AH0', 'N']","['CH', 'IH', 'L', 'D', 'R', 'AH', 'N']",real,7,long
297,everyone,0.000295,5.47,PRON,"['EH1', 'V', 'R', 'IY0', 'W', 'AH2', 'N']","['EH', 'V', 'R', 'IY', 'W', 'AH', 'N']",real,7,long
300,united,0.000295,5.47,ADJ,"['Y', 'UW0', 'N', 'AY1', 'T', 'AH0', 'D']","['Y', 'UW', 'N', 'AY', 'T', 'AH', 'D']",real,7,long
316,president,0.000282,5.45,PROPN,"['P', 'R', 'EH1', 'Z', 'AH0', 'D', 'EH2', 'N', 'T']","['P', 'R', 'EH', 'Z', 'AH', 'D', 'EH', 'N', 'T']",real,9,long
323,important,0.000275,5.44,ADJ,"['IH0', 'M', 'P', 'AO1', 'R', 'T', 'AH0', 'N', 'T']","['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'T']",real,9,long
332,information,0.000269,5.43,NOUN,"['IH2', 'N', 'F', 'ER0', 'M', 'EY1', 'SH', 'AH0', 'N']","['IH', 'N', 'F', 'ER', 'M', 'EY', 'SH', 'AH', 'N']",real,9,long
356,control,0.000251,5.4,NOUN,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L']","['K', 'AH', 'N', 'T', 'R', 'OW', 'L']",real,7,long
363,problem,0.000251,5.4,NOUN,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M']","['P', 'R', 'AA', 'B', 'L', 'AH', 'M']",real,7,long
375,started,0.000245,5.39,VERB,"['S', 'T', 'AA1', 'R', 'T', 'AH0', 'D']","['S', 'T', 'AA', 'R', 'T', 'AH', 'D']",real,7,long
387,remember,0.00024,5.38,VERB,"['R', 'IH0', 'M', 'EH1', 'M', 'B', 'ER0']","['R', 'IH', 'M', 'EH', 'M', 'B', 'ER']",real,7,long
395,probably,0.000234,5.37,ADV,"['P', 'R', 'AA1', 'B', 'AH0', 'B', 'L', 'IY0']","['P', 'R', 'AA', 'B', 'AH', 'B', 'L', 'IY']",real,8,long
397,understand,0.000234,5.37,VERB,"['AH2', 'N', 'D', 'ER0', 'S', 'T', 'AE1', 'N', 'D']","['AH', 'N', 'D', 'ER', 'S', 'T', 'AE', 'N', 'D']",real,9,long
407,possible,0.000229,5.36,ADJ,"['P', 'AA1', 'S', 'AH0', 'B', 'AH0', 'L']","['P', 'AA', 'S', 'AH', 'B', 'AH', 'L']",real,7,long
416,question,0.000224,5.35,NOUN,"['K', 'W', 'EH1', 'S', 'CH', 'AH0', 'N']","['K', 'W', 'EH', 'S', 'CH', 'AH', 'N']",real,7,long
421,community,0.000219,5.34,NOUN,"['K', 'AH0', 'M', 'Y', 'UW1', 'N', 'AH0', 'T', 'IY0']","['K', 'AH', 'M', 'Y', 'UW', 'N', 'AH', 'T', 'IY']",real,9,long
459,services,0.000204,5.31,NOUN,"['S', 'ER1', 'V', 'AH0', 'S', 'AH0', 'Z']","['S', 'ER', 'V', 'AH', 'S', 'AH', 'Z']",real,7,long
481,political,0.000195,5.29,ADJ,"['P', 'AH0', 'L', 'IH1', 'T', 'AH0', 'K', 'AH0', 'L']","['P', 'AH', 'L', 'IH', 'T', 'AH', 'K', 'AH', 'L']",real,9,long
487,according,0.000191,5.28,VERB,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']","['AH', 'K', 'AO', 'R', 'D', 'IH', 'NG']",real,7,long
488,available,0.000191,5.28,ADJ,"['AH0', 'V', 'EY1', 'L', 'AH0', 'B', 'AH0', 'L']","['AH', 'V', 'EY', 'L', 'AH', 'B', 'AH', 'L']",real,8,long
489,education,0.000191,5.28,NOUN,"['EH2', 'JH', 'AH0', 'K', 'EY1', 'SH', 'AH0', 'N']","['EH', 'JH', 'AH', 'K', 'EY', 'SH', 'AH', 'N']",real,8,long
496,sometimes,0.000191,5.28,ADV,"['S', 'AH0', 'M', 'T', 'AY1', 'M', 'Z']","['S', 'AH', 'M', 'T', 'AY', 'M', 'Z']",real,7,long
502,example,0.000186,5.27,NOUN,"['IH0', 'G', 'Z', 'AE1', 'M', 'P', 'AH0', 'L']","['IH', 'G', 'Z', 'AE', 'M', 'P', 'AH', 'L']",real,8,long
507,program,0.000186,5.27,NOUN,"['P', 'R', 'OW1', 'G', 'R', 'AE2', 'M']","['P', 'R', 'OW', 'G', 'R', 'AE', 'M']",real,7,long
522,himself,0.000178,5.25,PRON,"['HH', 'IH0', 'M', 'S', 'EH1', 'L', 'F']","['HH', 'IH', 'M', 'S', 'EH', 'L', 'F']",real,7,long
526,students,0.000178,5.25,NOUN,"['S', 'T', 'UW1', 'D', 'AH0', 'N', 'T', 'S']","['S', 'T', 'UW', 'D', 'AH', 'N', 'T', 'S']",real,8,long
554,results,0.00017,5.23,NOUN,"['R', 'IH0', 'Z', 'AH1', 'L', 'T', 'S']","['R', 'IH', 'Z', 'AH', 'L', 'T', 'S']",real,7,long
