Unnamed: 0,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
13914,absorbing,3.16e-06,3.5,VERB,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'IH0', 'NG']","['AH', 'B', 'Z', 'AO', 'R', 'B', 'IH', 'NG']",real,8,long
13915,adapting,3.16e-06,3.5,VERB,"['AH0', 'D', 'AE1', 'P', 'T', 'IH0', 'NG']","['AH', 'D', 'AE', 'P', 'T', 'IH', 'NG']",real,7,long
13918,albuquerque,3.16e-06,3.5,PROPN,"['AE1', 'L', 'B', 'AH0', 'K', 'ER0', 'K', 'IY0']","['AE', 'L', 'B', 'AH', 'K', 'ER', 'K', 'IY']",real,8,long
13919,allegation,3.16e-06,3.5,NOUN,"['AE2', 'L', 'AH0', 'G', 'EY1', 'SH', 'AH0', 'N']","['AE', 'L', 'AH', 'G', 'EY', 'SH', 'AH', 'N']",real,8,long
13920,alternating,3.16e-06,3.5,VERB,"['AO1', 'L', 'T', 'ER0', 'N', 'EY2', 'T', 'IH0', 'NG']","['AO', 'L', 'T', 'ER', 'N', 'EY', 'T', 'IH', 'NG']",real,9,long
13921,ancestry,3.16e-06,3.5,NOUN,"['AE1', 'N', 'S', 'EH0', 'S', 'T', 'R', 'IY0']","['AE', 'N', 'S', 'EH', 'S', 'T', 'R', 'IY']",real,8,long
13927,augmented,3.16e-06,3.5,VERB,"['AA0', 'G', 'M', 'EH1', 'N', 'T', 'AH0', 'D']","['AA', 'G', 'M', 'EH', 'N', 'T', 'AH', 'D']",real,8,long
13932,barbados,3.16e-06,3.5,PROPN,"['B', 'AA0', 'R', 'B', 'EY1', 'D', 'OW0', 'S']","['B', 'AA', 'R', 'B', 'EY', 'D', 'OW', 'S']",real,8,long
13934,bartender,3.16e-06,3.5,NOUN,"['B', 'AA1', 'R', 'T', 'EH2', 'N', 'D', 'ER0']","['B', 'AA', 'R', 'T', 'EH', 'N', 'D', 'ER']",real,8,long
13938,blended,3.16e-06,3.5,VERB,"['B', 'L', 'EH1', 'N', 'D', 'AH0', 'D']","['B', 'L', 'EH', 'N', 'D', 'AH', 'D']",real,7,long
13939,bohemian,3.16e-06,3.5,ADJ,"['B', 'OW0', 'HH', 'IY1', 'M', 'IY0', 'AH0', 'N']","['B', 'OW', 'HH', 'IY', 'M', 'IY', 'AH', 'N']",real,8,long
13946,broadcasts,3.16e-06,3.5,NOUN,"['B', 'R', 'AO1', 'D', 'K', 'AE2', 'S', 'T', 'S']","['B', 'R', 'AO', 'D', 'K', 'AE', 'S', 'T', 'S']",real,9,long
