Unnamed: 0,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
2,and,0.0257,7.41,CCONJ,"['AH0', 'N', 'D']","['AH', 'N', 'D']",real,3,short
8,for,0.0102,7.01,ADP,"['F', 'AO1', 'R']","['F', 'AO', 'R']",real,3,short
9,that,0.0102,7.01,PRON,"['DH', 'AE1', 'T']","['DH', 'AE', 'T']",real,3,short
13,with,0.00708,6.85,ADP,"['W', 'IH1', 'DH']","['W', 'IH', 'DH']",real,3,short
14,this,0.00661,6.82,PRON,"['DH', 'IH1', 'S']","['DH', 'IH', 'S']",real,3,short
15,was,0.00661,6.82,AUX,"['W', 'AA1', 'Z']","['W', 'AA', 'Z']",real,3,short
19,have,0.00513,6.71,VERB,"['HH', 'AE1', 'V']","['HH', 'AE', 'V']",real,3,short
22,not,0.0049,6.69,PART,"['N', 'AA1', 'T']","['N', 'AA', 'T']",real,3,short
24,but,0.00427,6.63,CCONJ,"['B', 'AH1', 'T']","['B', 'AH', 'T']",real,3,short
25,from,0.00427,6.63,ADP,"['F', 'R', 'AH1', 'M']","['F', 'R', 'AH', 'M']",real,4,short
30,your,0.00339,6.53,PRON,"['Y', 'AO1', 'R']","['Y', 'AO', 'R']",real,3,short
33,his,0.00324,6.51,PRON,"['HH', 'IH1', 'Z']","['HH', 'IH', 'Z']",real,3,short
37,one,0.00295,6.47,NUM,"['W', 'AH1', 'N']","['W', 'AH', 'N']",real,3,short
38,can,0.00288,6.46,AUX,"['K', 'AE1', 'N']","['K', 'AE', 'N']",real,3,short
39,will,0.00282,6.45,AUX,"['W', 'IH1', 'L']","['W', 'IH', 'L']",real,3,short
40,just,0.00269,6.43,ADV,"['JH', 'AH1', 'S', 'T']","['JH', 'AH', 'S', 'T']",real,4,short
41,like,0.00257,6.41,INTJ,"['L', 'AY1', 'K']","['L', 'AY', 'K']",real,3,short
42,about,0.00251,6.4,ADP,"['AH0', 'B', 'AW1', 'T']","['AH', 'B', 'AW', 'T']",real,4,short
45,what,0.0024,6.38,PRON,"['W', 'AH1', 'T']","['W', 'AH', 'T']",real,3,short
46,has,0.00234,6.37,VERB,"['HH', 'AE1', 'Z']","['HH', 'AE', 'Z']",real,3,short
47,when,0.00234,6.37,SCONJ,"['W', 'EH1', 'N']","['W', 'EH', 'N']",real,3,short
48,more,0.00229,6.36,ADJ,"['M', 'AO1', 'R']","['M', 'AO', 'R']",real,3,short
53,had,0.00214,6.33,VERB,"['HH', 'AE1', 'D']","['HH', 'AE', 'D']",real,3,short
54,their,0.00214,6.33,PRON,"['DH', 'EH1', 'R']","['DH', 'EH', 'R']",real,3,short
55,there,0.00204,6.31,PRON,"['DH', 'EH1', 'R']","['DH', 'EH', 'R']",real,3,short
57,which,0.002,6.3,PRON,"['W', 'IH1', 'CH']","['W', 'IH', 'CH']",real,3,short
58,time,0.00195,6.29,NOUN,"['T', 'AY1', 'M']","['T', 'AY', 'M']",real,3,short
59,get,0.00191,6.28,VERB,"['G', 'EH1', 'T']","['G', 'EH', 'T']",real,3,short
60,been,0.00186,6.27,AUX,"['B', 'IH1', 'N']","['B', 'IH', 'N']",real,3,short
61,would,0.00186,6.27,AUX,"['W', 'UH1', 'D']","['W', 'UH', 'D']",real,3,short
64,people,0.00178,6.25,NOUN,"['P', 'IY1', 'P', 'AH0', 'L']","['P', 'IY', 'P', 'AH', 'L']",real,5,short
66,some,0.00158,6.2,PRON,"['S', 'AH1', 'M']","['S', 'AH', 'M']",real,3,short
67,also,0.00155,6.19,ADV,"['AO1', 'L', 'S', 'OW0']","['AO', 'L', 'S', 'OW']",real,4,short
68,them,0.00155,6.19,PRON,"['DH', 'EH1', 'M']","['DH', 'EH', 'M']",real,3,short
70,other,0.00145,6.16,ADJ,"['AH1', 'DH', 'ER0']","['AH', 'DH', 'ER']",real,3,short
71,its,0.00138,6.14,PRON,"['IH1', 'T', 'S']","['IH', 'T', 'S']",real,3,short
73,than,0.00135,6.13,ADP,"['DH', 'AE1', 'N']","['DH', 'AE', 'N']",real,3,short
74,good,0.00132,6.12,ADJ,"['G', 'UH1', 'D']","['G', 'UH', 'D']",real,3,short
75,only,0.00132,6.12,ADV,"['OW1', 'N', 'L', 'IY0']","['OW', 'N', 'L', 'IY']",real,4,short
76,after,0.00129,6.11,ADP,"['AE1', 'F', 'T', 'ER0']","['AE', 'F', 'T', 'ER']",real,4,short
77,first,0.00129,6.11,ADV,"['F', 'ER1', 'S', 'T']","['F', 'ER', 'S', 'T']",real,4,short
78,him,0.00129,6.11,PRON,"['HH', 'IH1', 'M']","['HH', 'IH', 'M']",real,3,short
79,into,0.00129,6.11,ADP,"['IH0', 'N', 'T', 'UW1']","['IH', 'N', 'T', 'UW']",real,4,short
83,make,0.0012,6.08,VERB,"['M', 'EY1', 'K']","['M', 'EY', 'K']",real,3,short
84,over,0.0012,6.08,ADP,"['OW1', 'V', 'ER0']","['OW', 'V', 'ER']",real,3,short
85,think,0.0012,6.08,VERB,"['TH', 'IH1', 'NG', 'K']","['TH', 'IH', 'NG', 'K']",real,4,short
86,any,0.00117,6.07,PRON,"['EH1', 'N', 'IY0']","['EH', 'N', 'IY']",real,3,short
87,then,0.00117,6.07,ADV,"['DH', 'EH1', 'N']","['DH', 'EH', 'N']",real,3,short
88,could,0.00115,6.06,AUX,"['K', 'UH1', 'D']","['K', 'UH', 'D']",real,3,short
89,back,0.0011,6.04,ADV,"['B', 'AE1', 'K']","['B', 'AE', 'K']",real,3,short
90,these,0.0011,6.04,PRON,"['DH', 'IY1', 'Z']","['DH', 'IY', 'Z']",real,3,short
92,want,0.0011,6.04,VERB,"['W', 'AA1', 'N', 'T']","['W', 'AA', 'N', 'T']",real,4,short
93,because,0.00107,6.03,SCONJ,"['B', 'IH0', 'K', 'AO1', 'Z']","['B', 'IH', 'K', 'AO', 'Z']",real,5,short
95,well,0.00107,6.03,ADV,"['W', 'EH1', 'L']","['W', 'EH', 'L']",real,3,short
96,said,0.00102,6.01,VERB,"['S', 'EH1', 'D']","['S', 'EH', 'D']",real,3,short
98,most,0.001,6.0,ADJ,"['M', 'OW1', 'S', 'T']","['M', 'OW', 'S', 'T']",real,4,short
99,much,0.001,6.0,ADJ,"['M', 'AH1', 'CH']","['M', 'AH', 'CH']",real,3,short
100,very,0.001,6.0,ADV,"['V', 'EH1', 'R', 'IY0']","['V', 'EH', 'R', 'IY']",real,4,short
101,where,0.001,6.0,SCONJ,"['W', 'EH1', 'R']","['W', 'EH', 'R']",real,3,short
102,even,0.000977,5.99,ADV,"['IY1', 'V', 'IH0', 'N']","['IY', 'V', 'IH', 'N']",real,4,short
103,should,0.000977,5.99,AUX,"['SH', 'UH1', 'D']","['SH', 'UH', 'D']",real,3,short
105,here,0.000933,5.97,ADV,"['HH', 'IY1', 'R']","['HH', 'IY', 'R']",real,3,short
106,need,0.000933,5.97,VERB,"['N', 'IY1', 'D']","['N', 'IY', 'D']",real,3,short
107,really,0.000933,5.97,ADV,"['R', 'IH1', 'L', 'IY0']","['R', 'IH', 'L', 'IY']",real,4,short
108,did,0.000912,5.96,VERB,"['D', 'IH1', 'D']","['D', 'IH', 'D']",real,3,short
109,right,0.000912,5.96,INTJ,"['R', 'AY1', 'T']","['R', 'AY', 'T']",real,3,short
110,work,0.000912,5.96,VERB,"['W', 'ER1', 'K']","['W', 'ER', 'K']",real,3,short
111,year,0.000912,5.96,NOUN,"['Y', 'IH1', 'R']","['Y', 'IH', 'R']",real,3,short
112,years,0.000912,5.96,NOUN,"['Y', 'IH1', 'R', 'Z']","['Y', 'IH', 'R', 'Z']",real,4,short
113,being,0.000891,5.95,AUX,"['B', 'IY1', 'IH0', 'NG']","['B', 'IY', 'IH', 'NG']",real,4,short
116,going,0.000871,5.94,VERB,"['G', 'OW1', 'IH0', 'NG']","['G', 'OW', 'IH', 'NG']",real,4,short
117,before,0.000851,5.93,ADP,"['B', 'IH0', 'F', 'AO1', 'R']","['B', 'IH', 'F', 'AO', 'R']",real,5,short
120,made,0.000832,5.92,VERB,"['M', 'EY1', 'D']","['M', 'EY', 'D']",real,3,short
121,still,0.000832,5.92,ADV,"['S', 'T', 'IH1', 'L']","['S', 'T', 'IH', 'L']",real,4,short
122,take,0.000832,5.92,VERB,"['T', 'EY1', 'K']","['T', 'EY', 'K']",real,3,short
123,got,0.000813,5.91,VERB,"['G', 'AA1', 'T']","['G', 'AA', 'T']",real,3,short
124,many,0.000813,5.91,ADJ,"['M', 'EH1', 'N', 'IY0']","['M', 'EH', 'N', 'IY']",real,4,short
125,never,0.000813,5.91,ADV,"['N', 'EH1', 'V', 'ER0']","['N', 'EH', 'V', 'ER']",real,4,short
126,those,0.000794,5.9,PRON,"['DH', 'OW1', 'Z']","['DH', 'OW', 'Z']",real,3,short
127,life,0.000776,5.89,NOUN,"['L', 'AY1', 'F']","['L', 'AY', 'F']",real,3,short
129,world,0.000776,5.89,NOUN,"['W', 'ER1', 'L', 'D']","['W', 'ER', 'L', 'D']",real,4,short
130,down,0.000759,5.88,ADV,"['D', 'AW1', 'N']","['D', 'AW', 'N']",real,3,short
131,great,0.000759,5.88,ADJ,"['G', 'R', 'EY1', 'T']","['G', 'R', 'EY', 'T']",real,4,short
132,through,0.000741,5.87,ADP,"['TH', 'R', 'UW1']","['TH', 'R', 'UW']",real,3,short
133,last,0.000724,5.86,ADJ,"['L', 'AE1', 'S', 'T']","['L', 'AE', 'S', 'T']",real,4,short
134,while,0.000724,5.86,SCONJ,"['W', 'AY1', 'L']","['W', 'AY', 'L']",real,3,short
135,best,0.000692,5.84,ADJ,"['B', 'EH1', 'S', 'T']","['B', 'EH', 'S', 'T']",real,4,short
136,such,0.000692,5.84,ADJ,"['S', 'AH1', 'CH']","['S', 'AH', 'CH']",real,3,short
137,love,0.000661,5.82,VERB,"['L', 'AH1', 'V']","['L', 'AH', 'V']",real,3,short
138,man,0.000661,5.82,NOUN,"['M', 'AE1', 'N']","['M', 'AE', 'N']",real,3,short
139,home,0.000646,5.81,NOUN,"['HH', 'OW1', 'M']","['HH', 'OW', 'M']",real,3,short
140,long,0.000646,5.81,ADV,"['L', 'AO1', 'NG']","['L', 'AO', 'NG']",real,3,short
141,look,0.000646,5.81,VERB,"['L', 'UH1', 'K']","['L', 'UH', 'K']",real,3,short
143,use,0.000646,5.81,VERB,"['Y', 'UW1', 'S']","['Y', 'UW', 'S']",real,3,short
144,same,0.000631,5.8,ADJ,"['S', 'EY1', 'M']","['S', 'EY', 'M']",real,3,short
145,used,0.000631,5.8,VERB,"['Y', 'UW1', 'Z', 'D']","['Y', 'UW', 'Z', 'D']",real,4,short
146,both,0.000617,5.79,CCONJ,"['B', 'OW1', 'TH']","['B', 'OW', 'TH']",real,3,short
147,every,0.000617,5.79,PRON,"['EH1', 'V', 'ER0', 'IY0']","['EH', 'V', 'ER', 'IY']",real,4,short
149,come,0.000603,5.78,VERB,"['K', 'AH1', 'M']","['K', 'AH', 'M']",real,3,short
150,part,0.000603,5.78,NOUN,"['P', 'AA1', 'R', 'T']","['P', 'AA', 'R', 'T']",real,4,short
151,state,0.000603,5.78,NOUN,"['S', 'T', 'EY1', 'T']","['S', 'T', 'EY', 'T']",real,4,short
152,three,0.000603,5.78,NUM,"['TH', 'R', 'IY1']","['TH', 'R', 'IY']",real,3,short
153,around,0.000589,5.77,ADV,"['ER0', 'AW1', 'N', 'D']","['ER', 'AW', 'N', 'D']",real,4,short
155,always,0.000575,5.76,ADV,"['AO1', 'L', 'W', 'EY2', 'Z']","['AO', 'L', 'W', 'EY', 'Z']",real,5,short
156,better,0.000575,5.76,ADJ,"['B', 'EH1', 'T', 'ER0']","['B', 'EH', 'T', 'ER']",real,4,short
157,find,0.000575,5.76,VERB,"['F', 'AY1', 'N', 'D']","['F', 'AY', 'N', 'D']",real,4,short
158,help,0.000562,5.75,VERB,"['HH', 'EH1', 'L', 'P']","['HH', 'EH', 'L', 'P']",real,4,short
160,little,0.000562,5.75,ADJ,"['L', 'IH1', 'T', 'AH0', 'L']","['L', 'IH', 'T', 'AH', 'L']",real,5,short
161,old,0.000562,5.75,ADJ,"['OW1', 'L', 'D']","['OW', 'L', 'D']",real,3,short
162,since,0.000562,5.75,SCONJ,"['S', 'IH1', 'N', 'S']","['S', 'IH', 'N', 'S']",real,4,short
163,another,0.00055,5.74,PRON,"['AH0', 'N', 'AH1', 'DH', 'ER0']","['AH', 'N', 'AH', 'DH', 'ER']",real,5,short
164,does,0.00055,5.74,VERB,"['D', 'AH1', 'Z']","['D', 'AH', 'Z']",real,3,short
166,things,0.00055,5.74,NOUN,"['TH', 'IH1', 'NG', 'Z']","['TH', 'IH', 'NG', 'Z']",real,4,short
167,under,0.000537,5.73,ADP,"['AH1', 'N', 'D', 'ER0']","['AH', 'N', 'D', 'ER']",real,4,short
168,during,0.000525,5.72,ADP,"['D', 'UH1', 'R', 'IH0', 'NG']","['D', 'UH', 'R', 'IH', 'NG']",real,5,short
169,game,0.000525,5.72,NOUN,"['G', 'EY1', 'M']","['G', 'EY', 'M']",real,3,short
170,thing,0.000525,5.72,NOUN,"['TH', 'IH1', 'NG']","['TH', 'IH', 'NG']",real,3,short
171,give,0.000513,5.71,VERB,"['G', 'IH1', 'V']","['G', 'IH', 'V']",real,3,short
172,house,0.000513,5.71,PROPN,"['HH', 'AW1', 'S']","['HH', 'AW', 'S']",real,3,short
173,place,0.000513,5.71,NOUN,"['P', 'L', 'EY1', 'S']","['P', 'L', 'EY', 'S']",real,4,short
