,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
0,company,0.000398,5.6,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY']",real,7,long
1,different,0.000389,5.59,ADJ,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",real,7,long
2,government,0.000372,5.57,NOUN,"['G', 'AH1', 'V', 'ER0', 'M', 'AH0', 'N', 'T']","['G', 'AH', 'V', 'ER', 'M', 'AH', 'N', 'T']",real,8,long
3,everything,0.000347,5.54,PRON,"['EH1', 'V', 'R', 'IY0', 'TH', 'IH2', 'NG']","['EH', 'V', 'R', 'IY', 'TH', 'IH', 'NG']",real,7,long
4,including,0.000331,5.52,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'IH0', 'NG']","['IH', 'N', 'K', 'L', 'UW', 'D', 'IH', 'NG']",real,8,long
5,national,0.000324,5.51,ADJ,"['N', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'L']","['N', 'AE', 'SH', 'AH', 'N', 'AH', 'L']",real,7,long
6,actually,0.000309,5.49,ADV,"['AE1', 'K', 'CH', 'AH0', 'W', 'AH0', 'L', 'IY0']","['AE', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IY']",real,8,long
7,american,0.000309,5.49,PROPN,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0', 'N']","['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH', 'N']",real,8,long
8,children,0.000295,5.47,NOUN,"['CH', 'IH1', 'L', 'D', 'R', 'AH0', 'N']","['CH', 'IH', 'L', 'D', 'R', 'AH', 'N']",real,7,long
9,everyone,0.000295,5.47,PRON,"['EH1', 'V', 'R', 'IY0', 'W', 'AH2', 'N']","['EH', 'V', 'R', 'IY', 'W', 'AH', 'N']",real,7,long
10,united,0.000295,5.47,ADJ,"['Y', 'UW0', 'N', 'AY1', 'T', 'AH0', 'D']","['Y', 'UW', 'N', 'AY', 'T', 'AH', 'D']",real,7,long
11,president,0.000282,5.45,PROPN,"['P', 'R', 'EH1', 'Z', 'AH0', 'D', 'EH2', 'N', 'T']","['P', 'R', 'EH', 'Z', 'AH', 'D', 'EH', 'N', 'T']",real,9,long
12,information,0.000269,5.43,NOUN,"['IH2', 'N', 'F', 'ER0', 'M', 'EY1', 'SH', 'AH0', 'N']","['IH', 'N', 'F', 'ER', 'M', 'EY', 'SH', 'AH', 'N']",real,9,long
13,started,0.000245,5.39,VERB,"['S', 'T', 'AA1', 'R', 'T', 'AH0', 'D']","['S', 'T', 'AA', 'R', 'T', 'AH', 'D']",real,7,long
14,probably,0.000234,5.37,ADV,"['P', 'R', 'AA1', 'B', 'AH0', 'B', 'L', 'IY0']","['P', 'R', 'AA', 'B', 'AH', 'B', 'L', 'IY']",real,8,long
15,understand,0.000234,5.37,VERB,"['AH2', 'N', 'D', 'ER0', 'S', 'T', 'AE1', 'N', 'D']","['AH', 'N', 'D', 'ER', 'S', 'T', 'AE', 'N', 'D']",real,9,long
