,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
0,avoids,3.16e-06,3.5,VERB,"['AH0', 'V', 'OY1', 'D', 'Z']","['AH', 'V', 'OY', 'D', 'Z']",real,5,short
1,badges,3.16e-06,3.5,NOUN,"['B', 'AE1', 'JH', 'IH0', 'Z']","['B', 'AE', 'JH', 'IH', 'Z']",real,5,short
2,bows,3.16e-06,3.5,VERB,"['B', 'AW1', 'Z']","['B', 'AW', 'Z']",real,3,short
3,bursts,3.16e-06,3.5,NOUN,"['B', 'ER1', 'S', 'T', 'S']","['B', 'ER', 'S', 'T', 'S']",real,5,short
4,chilly,3.16e-06,3.5,ADJ,"['CH', 'IH1', 'L', 'IY0']","['CH', 'IH', 'L', 'IY']",real,4,short
5,chords,3.16e-06,3.5,NOUN,"['K', 'AO1', 'R', 'D', 'Z']","['K', 'AO', 'R', 'D', 'Z']",real,5,short
6,clowns,3.16e-06,3.5,NOUN,"['K', 'L', 'AW1', 'N', 'Z']","['K', 'L', 'AW', 'N', 'Z']",real,5,short
7,crappy,3.16e-06,3.5,ADJ,"['K', 'R', 'AE1', 'P', 'IY2']","['K', 'R', 'AE', 'P', 'IY']",real,5,short
8,footing,3.16e-06,3.5,VERB,"['F', 'UH1', 'T', 'IH0', 'NG']","['F', 'UH', 'T', 'IH', 'NG']",real,5,short
9,growers,3.16e-06,3.5,NOUN,"['G', 'R', 'OW1', 'ER0', 'Z']","['G', 'R', 'OW', 'ER', 'Z']",real,5,short
10,haters,3.16e-06,3.5,NOUN,"['HH', 'EY1', 'T', 'ER0', 'Z']","['HH', 'EY', 'T', 'ER', 'Z']",real,5,short
11,hitter,3.16e-06,3.5,NOUN,"['HH', 'IH1', 'T', 'ER0']","['HH', 'IH', 'T', 'ER']",real,4,short
12,legged,3.16e-06,3.5,ADJ,"['L', 'EH1', 'G', 'AH0', 'D']","['L', 'EH', 'G', 'AH', 'D']",real,5,short
13,longing,3.16e-06,3.5,NOUN,"['L', 'AO1', 'NG', 'IH0', 'NG']","['L', 'AO', 'NG', 'IH', 'NG']",real,5,short
14,mailed,3.16e-06,3.5,VERB,"['M', 'EY1', 'L', 'D']","['M', 'EY', 'L', 'D']",real,4,short
15,mapped,3.16e-06,3.5,VERB,"['M', 'AE1', 'P', 'T']","['M', 'AE', 'P', 'T']",real,4,short
16,mating,3.16e-06,3.5,VERB,"['M', 'EY1', 'T', 'IH0', 'NG']","['M', 'EY', 'T', 'IH', 'NG']",real,5,short
17,milky,3.16e-06,3.5,ADJ,"['M', 'IH1', 'L', 'K', 'IY0']","['M', 'IH', 'L', 'K', 'IY']",real,5,short
18,mixer,3.16e-06,3.5,NOUN,"['M', 'IH1', 'K', 'S', 'ER0']","['M', 'IH', 'K', 'S', 'ER']",real,5,short
19,outing,3.16e-06,3.5,NOUN,"['AW1', 'T', 'IH0', 'NG']","['AW', 'T', 'IH', 'NG']",real,4,short
20,overdue,3.16e-06,3.5,ADJ,"['OW1', 'V', 'ER0', 'D', 'UW1']","['OW', 'V', 'ER', 'D', 'UW']",real,5,short
21,paycheck,3.16e-06,3.5,NOUN,"['P', 'EY1', 'CH', 'EH2', 'K']","['P', 'EY', 'CH', 'EH', 'K']",real,5,short
22,primer,3.16e-06,3.5,NOUN,"['P', 'R', 'AY1', 'M', 'ER0']","['P', 'R', 'AY', 'M', 'ER']",real,5,short
23,roaming,3.16e-06,3.5,VERB,"['R', 'OW1', 'M', 'IH0', 'NG']","['R', 'OW', 'M', 'IH', 'NG']",real,5,short
24,skinner,3.16e-06,3.5,PROPN,"['S', 'K', 'IH1', 'N', 'ER0']","['S', 'K', 'IH', 'N', 'ER']",real,5,short
25,smelled,3.16e-06,3.5,VERB,"['S', 'M', 'EH1', 'L', 'D']","['S', 'M', 'EH', 'L', 'D']",real,5,short
26,suing,3.16e-06,3.5,VERB,"['S', 'UW1', 'IH0', 'NG']","['S', 'UW', 'IH', 'NG']",real,4,short
27,surname,3.16e-06,3.5,NOUN,"['S', 'ER1', 'N', 'EY2', 'M']","['S', 'ER', 'N', 'EY', 'M']",real,5,short
28,authored,3.09e-06,3.49,VERB,"['AO1', 'TH', 'ER0', 'D']","['AO', 'TH', 'ER', 'D']",real,4,short
29,detour,1.58e-06,3.2,NOUN,"['D', 'IH0', 'T', 'UH1', 'R']","['D', 'IH', 'T', 'UH', 'R']",real,5,short
30,docked,1.58e-06,3.2,VERB,"['D', 'AA1', 'K', 'T']","['D', 'AA', 'K', 'T']",real,4,short
31,dries,1.58e-06,3.2,VERB,"['D', 'R', 'AY1', 'Z']","['D', 'R', 'AY', 'Z']",real,4,short
32,equate,1.58e-06,3.2,VERB,"['IH0', 'K', 'W', 'EY1', 'T']","['IH', 'K', 'W', 'EY', 'T']",real,5,short
33,faiths,1.58e-06,3.2,NOUN,"['F', 'EY1', 'TH', 'S']","['F', 'EY', 'TH', 'S']",real,4,short
34,newtown,1.58e-06,3.2,PROPN,"['N', 'UW1', 'T', 'AW2', 'N']","['N', 'UW', 'T', 'AW', 'N']",real,5,short
35,seaman,1.58e-06,3.2,NOUN,"['S', 'IY1', 'M', 'AH0', 'N']","['S', 'IY', 'M', 'AH', 'N']",real,5,short
36,unveil,1.58e-06,3.2,VERB,"['AH0', 'N', 'V', 'EY1', 'L']","['AH', 'N', 'V', 'EY', 'L']",real,5,short
37,airway,1.55e-06,3.19,NOUN,"['EH1', 'R', 'W', 'EY2']","['EH', 'R', 'W', 'EY']",real,4,short
38,deepen,1.55e-06,3.19,VERB,"['D', 'IY1', 'P', 'AH0', 'N']","['D', 'IY', 'P', 'AH', 'N']",real,5,short
39,drier,1.55e-06,3.19,ADJ,"['D', 'R', 'AY1', 'ER0']","['D', 'R', 'AY', 'ER']",real,4,short
40,foggy,1.55e-06,3.19,ADJ,"['F', 'AA1', 'G', 'IY0']","['F', 'AA', 'G', 'IY']",real,4,short
41,perverse,1.55e-06,3.19,ADJ,"['P', 'ER0', 'V', 'ER1', 'S']","['P', 'ER', 'V', 'ER', 'S']",real,5,short
42,recoil,1.55e-06,3.19,VERB,"['R', 'IY0', 'K', 'OY1', 'L']","['R', 'IY', 'K', 'OY', 'L']",real,5,short
43,redo,1.55e-06,3.19,VERB,"['R', 'IY0', 'D', 'UW1']","['R', 'IY', 'D', 'UW']",real,4,short
44,rejoin,1.55e-06,3.19,VERB,"['R', 'IY0', 'JH', 'OY1', 'N']","['R', 'IY', 'JH', 'OY', 'N']",real,5,short
45,signage,1.55e-06,3.19,NOUN,"['S', 'AY1', 'N', 'IH0', 'JH']","['S', 'AY', 'N', 'IH', 'JH']",real,5,short
46,sorely,1.55e-06,3.19,ADV,"['S', 'AO1', 'R', 'L', 'IY0']","['S', 'AO', 'R', 'L', 'IY']",real,5,short
47,unearthed,1.55e-06,3.19,VERB,"['AH0', 'N', 'ER1', 'TH', 'T']","['AH', 'N', 'ER', 'TH', 'T']",real,5,short
48,biggie,1.51e-06,3.18,NOUN,"['B', 'IH1', 'G', 'IY0']","['B', 'IH', 'G', 'IY']",real,4,short
49,ferries,1.51e-06,3.18,NOUN,"['F', 'EH1', 'R', 'IY0', 'Z']","['F', 'EH', 'R', 'IY', 'Z']",real,5,short
