,Phonemes,No Stress,Type,Real,Length
0,['AH0'],['AH'],V,True,1
1,"['AH0', 'AH0']","['AH', 'AH']",VV,False,2
2,"['AH0', 'AH0', 'AH0']","['AH', 'AH', 'AH']",VVV,False,3
3,"['AH0', 'AH0', 'OY0']","['AH', 'AH', 'OY']",VVV,False,3
4,"['AH0', 'AH0', 'AA0']","['AH', 'AH', 'AA']",VVV,False,3
5,"['AH0', 'AH0', 'AY0']","['AH', 'AH', 'AY']",VVV,False,3
6,"['AH0', 'AH0', 'ER0']","['AH', 'AH', 'ER']",VVV,False,3
7,"['AH0', 'AH0', 'AO0']","['AH', 'AH', 'AO']",VVV,False,3
8,"['AH0', 'AH0', 'UW0']","['AH', 'AH', 'UW']",VVV,False,3
9,"['AH0', 'AH0', 'IH0']","['AH', 'AH', 'IH']",VVV,False,3
10,"['AH0', 'AH0', 'EH0']","['AH', 'AH', 'EH']",VVV,False,3
11,"['AH0', 'AH0', 'UH0']","['AH', 'AH', 'UH']",VVV,False,3
12,"['AH0', 'AH0', 'IY0']","['AH', 'AH', 'IY']",VVV,False,3
13,"['AH0', 'AH0', 'EY0']","['AH', 'AH', 'EY']",VVV,False,3
14,"['AH0', 'AH0', 'OW0']","['AH', 'AH', 'OW']",VVV,False,3
15,"['AH0', 'AH0', 'AE0']","['AH', 'AH', 'AE']",VVV,False,3
16,"['AH0', 'AH0', 'AW0']","['AH', 'AH', 'AW']",VVV,False,3
17,"['AH0', 'AH0', 'P']","['AH', 'AH', 'P']",VVC,False,3
18,"['AH0', 'AH0', 'T']","['AH', 'AH', 'T']",VVC,False,3
19,"['AH0', 'AH0', 'K']","['AH', 'AH', 'K']",VVC,False,3
20,"['AH0', 'AH0', 'B']","['AH', 'AH', 'B']",VVC,False,3
21,"['AH0', 'AH0', 'D']","['AH', 'AH', 'D']",VVC,False,3
22,"['AH0', 'AH0', 'G']","['AH', 'AH', 'G']",VVC,False,3
23,"['AH0', 'AH0', 'F']","['AH', 'AH', 'F']",VVC,False,3
24,"['AH0', 'AH0', 'TH']","['AH', 'AH', 'TH']",VVC,False,3
25,"['AH0', 'AH0', 'S']","['AH', 'AH', 'S']",VVC,False,3
26,"['AH0', 'AH0', 'SH']","['AH', 'AH', 'SH']",VVC,False,3
27,"['AH0', 'AH0', 'Z']","['AH', 'AH', 'Z']",VVC,False,3
28,"['AH0', 'AH0', 'ZH']","['AH', 'AH', 'ZH']",VVC,False,3
29,"['AH0', 'AH0', 'V']","['AH', 'AH', 'V']",VVC,False,3
30,"['AH0', 'AH0', 'DH']","['AH', 'AH', 'DH']",VVC,False,3
31,"['AH0', 'AH0', 'HH']","['AH', 'AH', 'HH']",VVC,False,3
32,"['AH0', 'AH0', 'CH']","['AH', 'AH', 'CH']",VVC,False,3
33,"['AH0', 'AH0', 'JH']","['AH', 'AH', 'JH']",VVC,False,3
34,"['AH0', 'AH0', 'M']","['AH', 'AH', 'M']",VVC,False,3
35,"['AH0', 'AH0', 'N']","['AH', 'AH', 'N']",VVC,False,3
36,"['AH0', 'AH0', 'NG']","['AH', 'AH', 'NG']",VVC,False,3
37,"['AH0', 'AH0', 'L']","['AH', 'AH', 'L']",VVC,False,3
38,"['AH0', 'AH0', 'R']","['AH', 'AH', 'R']",VVC,False,3
39,"['AH0', 'AH0', 'W']","['AH', 'AH', 'W']",VVC,False,3
40,"['AH0', 'AH0', 'Y']","['AH', 'AH', 'Y']",VVC,False,3
41,"['AH0', 'OY0']","['AH', 'OY']",VV,False,2
42,"['AH0', 'OY0', 'AH0']","['AH', 'OY', 'AH']",VVV,False,3
43,"['AH0', 'OY0', 'OY0']","['AH', 'OY', 'OY']",VVV,False,3
44,"['AH0', 'OY0', 'AA0']","['AH', 'OY', 'AA']",VVV,False,3
45,"['AH0', 'OY0', 'AY0']","['AH', 'OY', 'AY']",VVV,False,3
46,"['AH0', 'OY0', 'ER0']","['AH', 'OY', 'ER']",VVV,False,3
47,"['AH0', 'OY0', 'AO0']","['AH', 'OY', 'AO']",VVV,False,3
48,"['AH0', 'OY0', 'UW0']","['AH', 'OY', 'UW']",VVV,False,3
49,"['AH0', 'OY0', 'IH0']","['AH', 'OY', 'IH']",VVV,False,3
50,"['AH0', 'OY0', 'EH0']","['AH', 'OY', 'EH']",VVV,False,3
51,"['AH0', 'OY0', 'UH0']","['AH', 'OY', 'UH']",VVV,False,3
52,"['AH0', 'OY0', 'IY0']","['AH', 'OY', 'IY']",VVV,False,3
53,"['AH0', 'OY0', 'EY0']","['AH', 'OY', 'EY']",VVV,False,3
54,"['AH0', 'OY0', 'OW0']","['AH', 'OY', 'OW']",VVV,False,3
55,"['AH0', 'OY0', 'AE0']","['AH', 'OY', 'AE']",VVV,False,3
56,"['AH0', 'OY0', 'AW0']","['AH', 'OY', 'AW']",VVV,False,3
57,"['AH0', 'OY0', 'P']","['AH', 'OY', 'P']",VVC,False,3
58,"['AH0', 'OY0', 'T']","['AH', 'OY', 'T']",VVC,False,3
59,"['AH0', 'OY0', 'K']","['AH', 'OY', 'K']",VVC,False,3
60,"['AH0', 'OY0', 'B']","['AH', 'OY', 'B']",VVC,False,3
61,"['AH0', 'OY0', 'D']","['AH', 'OY', 'D']",VVC,False,3
62,"['AH0', 'OY0', 'G']","['AH', 'OY', 'G']",VVC,False,3
63,"['AH0', 'OY0', 'F']","['AH', 'OY', 'F']",VVC,False,3
64,"['AH0', 'OY0', 'TH']","['AH', 'OY', 'TH']",VVC,False,3
65,"['AH0', 'OY0', 'S']","['AH', 'OY', 'S']",VVC,False,3
66,"['AH0', 'OY0', 'SH']","['AH', 'OY', 'SH']",VVC,False,3
67,"['AH0', 'OY0', 'Z']","['AH', 'OY', 'Z']",VVC,False,3
68,"['AH0', 'OY0', 'ZH']","['AH', 'OY', 'ZH']",VVC,False,3
69,"['AH0', 'OY0', 'V']","['AH', 'OY', 'V']",VVC,False,3
70,"['AH0', 'OY0', 'DH']","['AH', 'OY', 'DH']",VVC,False,3
71,"['AH0', 'OY0', 'HH']","['AH', 'OY', 'HH']",VVC,False,3
72,"['AH0', 'OY0', 'CH']","['AH', 'OY', 'CH']",VVC,False,3
73,"['AH0', 'OY0', 'JH']","['AH', 'OY', 'JH']",VVC,False,3
74,"['AH0', 'OY0', 'M']","['AH', 'OY', 'M']",VVC,False,3
75,"['AH0', 'OY0', 'N']","['AH', 'OY', 'N']",VVC,False,3
76,"['AH0', 'OY0', 'NG']","['AH', 'OY', 'NG']",VVC,False,3
77,"['AH0', 'OY0', 'L']","['AH', 'OY', 'L']",VVC,False,3
78,"['AH0', 'OY0', 'R']","['AH', 'OY', 'R']",VVC,False,3
79,"['AH0', 'OY0', 'W']","['AH', 'OY', 'W']",VVC,False,3
80,"['AH0', 'OY0', 'Y']","['AH', 'OY', 'Y']",VVC,False,3
81,"['AH0', 'AA0']","['AH', 'AA']",VV,False,2
82,"['AH0', 'AA0', 'AH0']","['AH', 'AA', 'AH']",VVV,False,3
83,"['AH0', 'AA0', 'OY0']","['AH', 'AA', 'OY']",VVV,False,3
84,"['AH0', 'AA0', 'AA0']","['AH', 'AA', 'AA']",VVV,False,3
85,"['AH0', 'AA0', 'AY0']","['AH', 'AA', 'AY']",VVV,False,3
86,"['AH0', 'AA0', 'ER0']","['AH', 'AA', 'ER']",VVV,False,3
87,"['AH0', 'AA0', 'AO0']","['AH', 'AA', 'AO']",VVV,False,3
88,"['AH0', 'AA0', 'UW0']","['AH', 'AA', 'UW']",VVV,False,3
89,"['AH0', 'AA0', 'IH0']","['AH', 'AA', 'IH']",VVV,False,3
90,"['AH0', 'AA0', 'EH0']","['AH', 'AA', 'EH']",VVV,False,3
91,"['AH0', 'AA0', 'UH0']","['AH', 'AA', 'UH']",VVV,False,3
92,"['AH0', 'AA0', 'IY0']","['AH', 'AA', 'IY']",VVV,False,3
93,"['AH0', 'AA0', 'EY0']","['AH', 'AA', 'EY']",VVV,False,3
94,"['AH0', 'AA0', 'OW0']","['AH', 'AA', 'OW']",VVV,False,3
95,"['AH0', 'AA0', 'AE0']","['AH', 'AA', 'AE']",VVV,False,3
96,"['AH0', 'AA0', 'AW0']","['AH', 'AA', 'AW']",VVV,False,3
97,"['AH0', 'AA0', 'P']","['AH', 'AA', 'P']",VVC,False,3
98,"['AH0', 'AA0', 'T']","['AH', 'AA', 'T']",VVC,False,3
99,"['AH0', 'AA0', 'K']","['AH', 'AA', 'K']",VVC,False,3
100,"['AH0', 'AA0', 'B']","['AH', 'AA', 'B']",VVC,False,3
101,"['AH0', 'AA0', 'D']","['AH', 'AA', 'D']",VVC,False,3
102,"['AH0', 'AA0', 'G']","['AH', 'AA', 'G']",VVC,False,3
103,"['AH0', 'AA0', 'F']","['AH', 'AA', 'F']",VVC,False,3
104,"['AH0', 'AA0', 'TH']","['AH', 'AA', 'TH']",VVC,False,3
105,"['AH0', 'AA0', 'S']","['AH', 'AA', 'S']",VVC,False,3
